  22.98970    -0.3751     1.4480     1.2155Na
  22.98970     3.0360     2.7116     4.6424Na
  32.06500     2.0104     3.9926     1.4749S
  32.06500     0.6505     0.1670     4.3830S
  15.99940     2.1784    -0.3978     2.4292O
  15.99940     0.4825     4.5574     3.4286O
  15.99940     2.8963     4.8446     0.6843O
  15.99940    -0.2354    -0.6849     5.1736O
  15.99940     0.8549     3.4494     0.7631O
  15.99940     1.8060     0.7102     5.0947O
  15.99940     2.6730     3.0093     2.3306O
  15.99940    -0.0120     1.1503     3.5272O
