       2.59865126     -0.00000000     -0.00000000
      -0.00000000      2.59865126      0.00000000
      -0.00000000      0.00000000      2.73926634
       2.59865126     -0.00000000     -0.00000000
       0.00000000      2.59865126      0.00000000
       0.00000000      0.00000000      2.73926634
      -2.59865620     -0.00000000      0.00000000
       0.00000000     -2.59865620     -0.00000000
       0.00000000      0.00000000     -2.73927484
      -2.59865620     -0.00000000      0.00000000
       0.00000000     -2.59865620     -0.00000000
       0.00000000      0.00000000     -2.73927484
