    2.5986512636    0.0000010161    0.0000006852
    0.0000011175    2.5986498936   -0.0000005653
   -0.0000005993    0.0000008238    2.7392663354
    2.5986556300    0.0000012725   -0.0000006474
    0.0000009320    2.5986542621    0.0000005749
   -0.0000008219    0.0000015183    2.7392772196
   -2.5986561981   -0.0000009945    0.0000006165
   -0.0000011728   -2.5986548167   -0.0000007162
    0.0000014590   -0.0000026834   -2.7392748414
   -2.5986506956   -0.0000012941   -0.0000006543
   -0.0000008767   -2.5986493390    0.0000007065
   -0.0000000378    0.0000003413   -2.7392687135
