  1.3966709184359E-01  4.4502980369437E-20  7.2962197173096E-22 -4.0157997141161E-03
  2.7336381068151E-21  2.1725684178030E-23 -1.0546909663226E-02  2.6230872234860E-20
 -6.7475683302801E-22 -1.2510102261461E-01 -2.0932056996397E-20  9.2004512164992E-23
  8.9005960738874E-20  1.3966709184359E-01  2.2587546606437E-21  2.3445621187406E-21
 -4.0157997141161E-03  0.0000000000000E+00  2.7659211807574E-20 -1.0546909663226E-02
  0.0000000000000E+00  3.2398386989646E-22 -1.2510102261461E-01  0.0000000000000E+00
  1.4592428664038E-21  4.5175090520229E-21  2.0765888942641E-01  2.1725686281659E-23
  8.4145163223575E-30 -8.2620794239273E-02 -2.6148092817793E-22  0.0000000000000E+00
 -7.2389943116914E-02  7.4613041955979E-22 -2.6926452231544E-28 -5.1657936921795E-02
 -4.0157997141161E-03  0.0000000000000E+00  0.0000000000000E+00  1.3966709184359E-01
 -6.6535117618851E-21  7.2962123125352E-22 -1.2510102261461E-01 -2.6650089901972E-19
  9.2005252642428E-23 -1.0546909663226E-02  8.4175962444455E-20  4.5462043076659E-22
  5.4672762136303E-21 -4.0157997141161E-03  1.6829032644715E-29 -1.3307023523770E-20
  1.3966709184359E-01  2.2587545260115E-21 -2.0135324985906E-19 -1.2510102261461E-01
  9.0350179694136E-21  4.7174550200214E-20 -1.0546909663226E-02  0.0000000000000E+00
  4.3451372563319E-23  0.0000000000000E+00 -8.2620794239273E-02  1.4592428664038E-21
  4.5175090520229E-21  2.0765888942641E-01  7.4612967908235E-22  0.0000000000000E+00
 -5.1657936921795E-02 -2.6148092817793E-22  0.0000000000000E+00 -7.2389943116914E-02
 -1.0470937809692E-02  0.0000000000000E+00  0.0000000000000E+00 -1.2518035430979E-01
  0.0000000000000E+00 -4.0389678347316E-28  1.4209024741186E-01  6.4351161634917E-19
 -3.2720074829786E-21 -6.4456749599626E-03 -2.9619292432278E-20 -3.9797935776114E-22
  5.2461744469720E-20 -1.0470937809692E-02  0.0000000000000E+00 -5.3300179803945E-19
 -1.2518035430979E-01  0.0000000000000E+00  1.2870232326983E-18  1.4209024741186E-01
  6.7762634434021E-21 -1.0770134692739E-20 -6.4456749599626E-03 -1.4117215787572E-22
 -1.3495136655301E-21  0.0000000000000E+00 -7.3365193500288E-02  1.8400942822677E-22
  1.8070036208092E-20 -5.1672901428752E-02 -6.5440138888991E-21  1.3552527156069E-20
  1.8413300707738E-01  1.6670927301861E-22 -1.4117215787572E-22 -6.1075341728599E-02
 -1.2518035430979E-01  0.0000000000000E+00  1.0770580892618E-27 -1.0470937809692E-02
  0.0000000000000E+00  0.0000000000000E+00 -6.4456749599626E-03  0.0000000000000E+00
 -1.0518145402947E-30  1.4209024741186E-01  2.3627393519470E-19  1.2455022422057E-21
 -4.1864113992794E-20 -1.2518035430979E-01 -5.3852904463088E-28  1.6835192488891E-19
 -1.0470937809692E-02  0.0000000000000E+00 -5.9238584864557E-20 -6.4456749599626E-03
  0.0000000000000E+00  4.7254787038940E-19  1.4209024741186E-01 -2.2587545260115E-21
  1.8400942822677E-22  0.0000000000000E+00 -5.1672901428752E-02  9.0924086048136E-22
  0.0000000000000E+00 -7.3365193500288E-02 -7.9595871591671E-22 -2.8234431575143E-22
 -6.1075341728599E-02  2.4910042151468E-21 -4.5175090520229E-21  1.8413300707738E-01
