    4.6625067653    0.0000497955    3.8840057772   -4.6625882790    0.0000015038    0.0000077735
    0.0000109517   -4.6626026885   -0.0000003754    0.0000914152    3.8840062571   -0.0000103197
    6.0024828751   -0.0000012433   -0.0000163686    6.0025014171    0.0000272755  -10.3414763008
   -4.6626126637    0.0000219019    3.8839845315    4.6626069933   -0.0000011035   -0.0000070883
   -0.0000103880    4.6625857035    0.0000018419    0.0000435500    3.8839873556    0.0000100324
    6.0024877449   -0.0000075383    0.0000143258    6.0025159681   -0.0000259398  -10.3415619503
    8.0097450429   -0.0000231962   -3.8839821530   -8.0097339340    0.0000001063    0.0000296647
    0.0000122207   -8.0097144207   -0.0000002446   -0.0000467020   -3.8839874570   -0.0000364902
   -6.0024985439    0.0000064538    0.0000161822   -6.0025255267   -0.0000281822   10.3415012736
   -8.0096391446   -0.0000485012   -3.8840081556    8.0097152195   -0.0000005066   -0.0000303499
   -0.0000127844    8.0097314060   -0.0000012220   -0.0000882632   -3.8840061558    0.0000367775
   -6.0024720761    0.0000023278   -0.0000141394   -6.0024918589    0.0000268465   10.3415369776
