../../../pdielec -processors 4 -vmin 300 -vmax 800 -sphere -needle 0 0 1 -dielectric 3 -vf 0.1 -vf 0.2 -method maxwell -method bruggeman -method ap -sigma 10 -csv command.csv -program experiment data.expt -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   1,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   2,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.2),maxwell_needle[0 0 1]_real_dielectric(vf=0.2),bruggeman_sphere_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_sphere_real_dielectric(vf=0.2),bruggeman_needle[0 0 1]_real_dielectric(vf=0.2),ap_noshape_real_dielectric(vf=0.1),ap_noshape_real_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_needle[0 0 1]_imag_dielectric(vf=0.2),bruggeman_sphere_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_sphere_imag_dielectric(vf=0.2),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.2),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.2),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),ap_noshape_absorption_coefficent_cm-1(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.2)
,,,,,,  300.000000,    8.993774,          4.14381246,          4.15780535,          4.15452825,          4.16700711,          4.14918934,          4.14918934,          4.16406895,          4.16406895,          4.53663156,          4.50239927,          3.04443729,          3.04448691,          3.08931509,          3.08940417,          3.04445655,          3.04445655,          3.08938397,          3.08938397,          3.04650133,          3.09300265,          0.00146662,          0.00147158,          0.00296242,          0.00297136,          0.00146853,          0.00146853,          0.00296925,          0.00296925,          0.00160619,          0.00321239,          0.68809613,          0.69041970,          1.37975106,          1.38389538,          0.68898898,          0.68898898,          1.38291960,          1.38291960,          0.75332526,          1.49528172
,,,,,,  300.200000,    8.999770,          4.16517947,          4.17928202,          4.17596532,          4.18854202,          4.17059820,          4.17059820,          4.18558026,          4.18558026,          4.56057762,          4.52611855,          3.04449572,          3.04454554,          3.08943311,          3.08952255,          3.04451506,          3.04451506,          3.08950226,          3.08950226,          3.04656530,          3.09313060,          0.00147321,          0.00147821,          0.00297578,          0.00298478,          0.00147513,          0.00147513,          0.00298266,          0.00298266,          0.00161361,          0.00322723,          0.69164421,          0.69398599,          1.38687047,          1.39104729,          0.69254401,          0.69254401,          1.39006367,          1.39006367,          0.75730160,          1.50315908
,,,,,,  300.400000,    9.005765,          4.18669394,          4.20090725,          4.19755044,          4.21022598,          4.19215493,          4.19215493,          4.20724037,          4.20724037,          4.58469343,          4.55000559,          3.04455442,          3.04460443,          3.08955167,          3.08964146,          3.04457383,          3.04457383,          3.08962109,          3.08962109,          3.04662957,          3.09325915,          0.00147985,          0.00148489,          0.00298923,          0.00299830,          0.00148179,          0.00148179,          0.00299616,          0.00299616,          0.00162108,          0.00324216,          0.69521677,          0.69757694,          1.39403906,          1.39824870,          0.69612358,          0.69612358,          1.39725716,          1.39725716,          0.76130612,          1.51109215
,,,,,,  300.600000,    9.011761,          4.20835719,          4.22268238,          4.21928495,          4.23206032,          4.21386087,          4.21386087,          4.22905062,          4.22905062,          4.60898053,          4.57406193,          3.04461338,          3.04466359,          3.08967076,          3.08976091,          3.04463287,          3.04463287,          3.08974046,          3.08974046,          3.04669414,          3.09338828,          0.00148653,          0.00149161,          0.00300276,          0.00301190,          0.00148848,          0.00148848,          0.00300975,          0.00300975,          0.00162860,          0.00325721,          0.69881403,          0.70119279,          1.40125726,          1.40550006,          0.69972794,          0.69972794,          1.40450051,          1.40450051,          0.76533909,          1.51908144
,,,,,,  300.800000,    9.017757,          4.23017055,          4.24460877,          4.24117020,          4.25404641,          4.23571735,          4.23571735,          4.25101237,          4.25101237,          4.63344053,          4.59828914,          3.04467260,          3.04472301,          3.08979038,          3.08988089,          3.04469217,          3.04469217,          3.08986036,          3.08986036,          3.04675900,          3.09351800,          0.00149326,          0.00149837,          0.00301639,          0.00302559,          0.00149522,          0.00149522,          0.00302342,          0.00302342,          0.00163617,          0.00327235,          0.70243623,          0.70483375,          1.40852552,          1.41280181,          0.70335729,          0.70335729,          1.41179418,          1.41179418,          0.76940077,          1.52712749
,,,,,,  301.000000,    9.023753,          4.25213540,          4.26668778,          4.26320754,          4.27618563,          4.25772576,          4.25772576,          4.27312699,          4.27312699,          4.65807503,          4.62268881,          3.04473209,          3.04478271,          3.08991055,          3.09000142,          3.04475174,          3.04475174,          3.08998080,          3.08998080,          3.04682417,          3.09364833,          0.00150003,          0.00150518,          0.00303011,          0.00303937,          0.00150201,          0.00150201,          0.00303719,          0.00303719,          0.00164380,          0.00328760,          0.70608357,          0.70850005,          1.41584429,          1.42015442,          0.70701187,          0.70701187,          1.41913862,          1.41913862,          0.77349142,          1.53523081
,,,,,,  301.200000,    9.029749,          4.27425310,          4.28892081,          4.28539837,          4.29847937,          4.27988745,          4.27988745,          4.29539588,          4.29539588,          4.68288566,          4.64726253,          3.04479185,          3.04484267,          3.09003126,          3.09012250,          3.04481157,          3.04481157,          3.09010179,          3.09010179,          3.04688963,          3.09377926,          0.00150685,          0.00151203,          0.00304392,          0.00305325,          0.00150884,          0.00150884,          0.00305105,          0.00305105,          0.00165147,          0.00330295,          0.70975630,          0.71219193,          1.42321404,          1.42755834,          0.71069191,          0.71069191,          1.42653429,          1.42653429,          0.77761133,          1.54339193
,,,,,,  301.400000,    9.035745,          4.29652504,          4.31130925,          4.30774408,          4.32092903,          4.30220383,          4.30220383,          4.31782043,          4.31782043,          4.70787406,          4.67201194,          3.04485188,          3.04490290,          3.09015252,          3.09024413,          3.04487168,          3.04487168,          3.09022333,          3.09022333,          3.04695540,          3.09391080,          0.00151371,          0.00151893,          0.00305782,          0.00306722,          0.00151571,          0.00151571,          0.00306500,          0.00306500,          0.00165920,          0.00331841,          0.71345465,          0.71590962,          1.43063522,          1.43501405,          0.71439763,          0.71439763,          1.43398166,          1.43398166,          0.78176075,          1.55161141
,,,,,,  301.600000,    9.041741,          4.31895263,          4.33385454,          4.33024608,          4.34353605,          4.32467631,          4.32467631,          4.34040208,          4.34040208,          4.73304189,          4.69693867,          3.04491218,          3.04496341,          3.09027432,          3.09036630,          3.04493206,          3.04493206,          3.09034542,          3.09034542,          3.04702148,          3.09404296,          0.00152062,          0.00152587,          0.00307181,          0.00308129,          0.00152264,          0.00152264,          0.00307905,          0.00307905,          0.00166698,          0.00333397,          0.71717883,          0.71965335,          1.43810831,          1.44252201,          0.71812927,          0.71812927,          1.44148120,          1.44148120,          0.78593996,          1.55988977
,,,,,,  301.800000,    9.047736,          4.34153728,          4.35655809,          4.35290579,          4.36630186,          4.34730631,          4.34730631,          4.36314224,          4.36314224,          4.75839084,          4.72204438,          3.04497275,          3.04502419,          3.09039669,          3.09048904,          3.04499271,          3.04499271,          3.09046807,          3.09046807,          3.04708786,          3.09417573,          0.00152757,          0.00153287,          0.00308590,          0.00309544,          0.00152960,          0.00152960,          0.00309319,          0.00309319,          0.00167482,          0.00334964,          0.72092910,          0.72342337,          1.44563378,          1.45008272,          0.72188707,          0.72188707,          1.44903338,          1.44903338,          0.79014925,          1.56822757
