    2.0606255716    0.0000000689    0.0000001123
    0.0000000383    2.0606276606    0.0000000718
   -0.0000002994    0.0000002676    2.1132292264
    2.0606288213    0.0000004540    0.0000000017
    0.0000003112    2.0606306472    0.0000002751
   -0.0000002214    0.0000006017    2.1132346934
   -2.0606290356   -0.0000002106   -0.0000000242
   -0.0000001323   -2.0606310730   -0.0000003808
    0.0000003176   -0.0000006773   -2.1132332681
   -2.0606253573   -0.0000003123   -0.0000000898
   -0.0000002173   -2.0606272347    0.0000000338
    0.0000002032   -0.0000001920   -2.1132306517
