    0.1647508525    0.0000118248    0.4081714564   -0.1646537478    0.0000092684    0.0000028810
   -0.0000157418   -0.1646764428    0.0000096036   -0.0000025414    0.4081935910    0.0000022221
    2.6038189690    0.0000039529   -0.0000153959    2.6038721737    0.0000159365    1.2705626295
   -0.1647817018   -0.0000153361    0.4081849529    0.1646942690    0.0000136890    0.0000058522
    0.0000261360    0.1647216253    0.0000100980    0.0000041397    0.4081986177   -0.0000043405
    2.6038407553    0.0000029721    0.0000097403    2.6038881348   -0.0000030041    1.2706272073
    3.1383329625    0.0000101134   -0.4081801101   -3.1382976800   -0.0000134881   -0.0000086211
   -0.0000164170   -3.1383179719   -0.0000080902   -0.0000050147   -0.4082047564    0.0000225093
   -2.6038809623    0.0000020299    0.0000004756   -2.6039306541   -0.0000111001   -1.2707020686
   -3.1383021132   -0.0000066021   -0.4081762992    3.1382571588   -0.0000094693   -0.0000001122
    0.0000060229    3.1382727894   -0.0000116114    0.0000034164   -0.4081874523   -0.0000203908
   -2.6037787620   -0.0000089550    0.0000051800   -2.6038296542   -0.0000018322   -1.2704877682
