       2.06062557      0.00000000      0.00000000
       0.00000000      2.06062557     -0.00000000
       0.00000000      0.00000000      2.11322923
       2.06062557      0.00000000      0.00000000
       0.00000000      2.06062557      0.00000000
      -0.00000000      0.00000000      2.11322923
      -2.06062904      0.00000000     -0.00000000
       0.00000000     -2.06062904      0.00000000
       0.00000000     -0.00000000     -2.11323327
      -2.06062904      0.00000000      0.00000000
       0.00000000     -2.06062904     -0.00000000
       0.00000000     -0.00000000     -2.11323327
