../../../../pdielec -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 ZnO_noeckart.out -optical 5.73897 5.73897 5.67346 -csv command.csv
Calculated Integrated IR band intensities (espilon_max assumes a fwhm line width)
Mode,Freq(cm1),Intensity(Debye2/Angstrom2/amu),Integrated_Molar_Absorption_Coefficient(L/mole/cm/cm),epsilon_max(L/mole/cm),FWHM(cm-1)
6 , 373.577031918 , 16.2223846423 , 68549.3085446 , 8727.96904033 , 5.0
7 , 398.071436763 , 15.5592985036 , 65747.3717569 , 8371.21536833 , 5.0
8 , 398.071436763 , 15.5592985036 , 65747.3717569 , 8371.21536833 , 5.0
,,,,,cm-1,thz,maxwell_sphere_real_dielectric(vf=0.100000),maxwell_sphere_imag_dielectric(vf=0.100000),maxwell_sphere_absorption_coeficient_cm-1(vf=0.100000),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.100000),maxwell_needle[0 0 1]_real_dielectric(vf=0.100000),maxwell_needle[0 0 1]_imag_dielectric(vf=0.100000),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(vf=0.100000),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.100000),maxwell_plate(1 0 0)_real_dielectric(vf=0.100000),maxwell_plate(1 0 0)_imag_dielectric(vf=0.100000),maxwell_plate(1 0 0)_absorption_coeficient_cm-1(vf=0.100000),maxwell_plate(1 0 0)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.100000)
,,,,,300.000000,8.993774,2.46000604976,0.00261333842609,1.36399550727,0.403847466939,2.84492082027,0.0160404870412,7.78513535078,2.30499820157,3.13971130763,0.0223456416205,10.3235877914,3.05657515518
,,,,,300.200000,8.999770,2.46021528454,0.00262004413885,1.36834893217,0.405136415187,2.84620461071,0.0161264848173,7.83032481908,2.31837775612,3.1414999053,0.0224587040387,10.3797826513,3.0732131512
,,,,,300.400000,9.005765,2.46042505626,0.00262677398802,1.37271911911,0.406430326288,2.84749527729,0.0162131774054,7.87587793596,2.3318649786,3.14329754539,0.0225726265832,10.4363986261,3.08997582957
,,,,,300.600000,9.011761,2.46063536685,0.00263352809155,1.3771061509,0.407729224756,2.84879287546,0.0163005723826,7.92179858135,2.34546101775,3.1451042966,0.0226874181514,10.4934399307,3.10686443828
,,,,,300.800000,9.017757,2.46084621824,0.00264030656814,1.38151011084,0.409033135258,2.85009746128,0.0163886774294,7.96809068696,2.35916703767,3.14692022831,0.0228030877575,10.5509108337,3.1238802411
,,,,,301.000000,9.023753,2.46105761238,0.00264710953718,1.38593108276,0.410342082612,2.85140909142,0.0164775003321,8.01475823715,2.37298421803,3.14874541062,0.0229196445343,10.6088156577,3.14102451787
,,,,,301.200000,9.029749,2.46126955125,0.00265393711883,1.39036915099,0.411656091787,2.85272782319,0.0165670489842,8.06180526974,2.38691375433,3.15057991438,0.0230370977351,10.6671587804,3.15829856472
,,,,,301.400000,9.035745,2.4614820368,0.00266078943394,1.39482440038,0.412975187908,2.85405371448,0.0166573313883,8.10923587689,2.40095685818,3.15242381115,0.0231554567355,10.7259446353,3.17570369436
,,,,,301.600000,9.041741,2.46169507103,0.00266766660415,1.39929691631,0.414299396251,2.85538682387,0.0167483556577,8.15705420596,2.4151147575,3.15427717326,0.0232747310356,10.7851777131,3.1932412363
,,,,,301.800000,9.047736,2.46190865592,0.00267456875182,1.40378678469,0.41562874225,2.85672721055,0.0168401300187,8.20526446044,2.42938869686,3.15614007378,0.0233949302618,10.8448625617,3.21091253712
,,,,,302.000000,9.053732,2.46212279346,0.00268149600006,1.40829409194,0.416963251496,2.85807493438,0.0169326628121,8.25387090082,2.44377993768,3.15801258655,0.0235160641689,10.9050037878,3.22871896075
,,,,,302.200000,9.059728,2.46233748568,0.00268844847276,1.41281892503,0.418302949738,2.85943005588,0.0170259624951,8.30287784557,2.45828975856,3.15989478619,0.0236381426423,10.9656060577,3.24666188873
,,,,,302.400000,9.065724,2.46255273458,0.00269542629456,1.41736137147,0.419647862882,2.86079263625,0.0171200376436,8.35228967203,2.47291945554,3.16178674811,0.0237611757,11.0266740978,3.2647427205
,,,,,302.600000,9.071720,2.46276854221,0.00270242959087,1.42192151929,0.420998016997,2.86216273736,0.0172148969539,8.40211081744,2.48767034238,3.16368854851,0.0238851734948,11.0882126961,3.28296287368
,,,,,302.800000,9.077716,2.46298491059,0.00270945848788,1.42649945709,0.422353438312,2.86354042178,0.0173105492447,8.45234577985,2.50254375084,3.1656002644,0.0240101463164,11.1502267031,3.30132378431
,,,,,303.000000,9.083711,2.46320184179,0.00271651311255,1.43109527401,0.423714153221,2.86492575278,0.0174070034596,8.5029991192,2.51754103102,3.16752197362,0.0241361045939,11.2127210323,3.31982690724
,,,,,303.200000,9.089707,2.46341933785,0.00272359359265,1.43570905975,0.425080188279,2.86631879434,0.0175042686688,8.55407545828,2.53266355163,3.16945375483,0.0242630588978,11.2757006617,3.33847371633
,,,,,303.400000,9.095703,2.46363740085,0.00273070005673,1.44034090455,0.426451570208,2.86771961117,0.0176023540712,8.60557948383,2.54791270028,3.17139568753,0.0243910199425,11.3391706348,3.3572657048
,,,,,303.600000,9.101699,2.46385603287,0.00273783263414,1.44499089922,0.427828325895,2.86912826869,0.0177012689971,8.65751594755,2.56328988386,3.17334785208,0.0245199985887,11.4031360613,3.37620438556
