../../../pdielec -processors 4 -LO 1 0 0 -vmin 300 -vmax 800 -sphere -needle 0 0 1 -dielectric 3 -vf 0.1 -vf 0.2 -method maxwell -method bruggeman -method ap -sigma 10 -csv command.csv phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   4,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   5,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.2),maxwell_needle[0 0 1]_real_dielectric(vf=0.2),bruggeman_sphere_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_sphere_real_dielectric(vf=0.2),bruggeman_needle[0 0 1]_real_dielectric(vf=0.2),ap_noshape_real_dielectric(vf=0.1),ap_noshape_real_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_needle[0 0 1]_imag_dielectric(vf=0.2),bruggeman_sphere_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_sphere_imag_dielectric(vf=0.2),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.2),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.2),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),ap_noshape_absorption_coefficent_cm-1(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.2)
,,,,,,  302.000000,    9.053732,          0.57978145,          1.70095694,          0.61245099,          1.62869234,          0.74747145,          0.74747145,          0.98721015,          0.98721015,          3.83271356,          3.27672886,          3.63632725,          3.92614337,          4.36944347,          4.95432688,          3.69550799,          3.69550799,          4.63401907,          4.63401907,          4.74691395,          6.49382789,          0.01163349,          0.03546456,          0.02694202,          0.07629358,          0.01511981,          0.01511981,          0.04472366,          0.04472366,          0.08787076,          0.17574151,          5.02746625,         14.74952958,         10.62150809,         28.24580128,          6.48155866,          6.48155866,         17.12081578,         17.12081578,         33.23465782,         56.82708127
,,,,,,  302.200000,    9.059728,          0.58138101,          1.70923477,          0.61417258,          1.63642700,          0.74982647,          0.74982647,          0.99078815,          0.99078815,          3.85193818,          3.29260346,          3.63679248,          3.92755634,          4.37052078,          4.95736652,          3.69611235,          3.69611235,          4.63580524,          4.63580524,          4.75041304,          6.50082608,          0.01165861,          0.03561997,          0.02700320,          0.07662868,          0.01515865,          0.01515865,          0.04486469,          0.04486469,          0.08828562,          0.17657123,          5.04133657,         14.82130924,         10.65136498,         28.37994053,          6.50197978,          6.50197978,         17.18286786,         17.18286786,         33.40136053,         57.10238857
,,,,,,  302.400000,    9.065724,          0.58298563,          1.71756844,          0.61589976,          1.64421253,          0.75219066,          0.75219066,          0.99438319,          0.99438319,          3.87129224,          3.30858156,          3.63725871,          3.92897546,          4.37160054,          4.96041943,          3.69671827,          3.69671827,          4.63759703,          4.63759703,          4.75392856,          6.50785712,          0.01168381,          0.03577644,          0.02706458,          0.07696603,          0.01519763,          0.01519763,          0.04500640,          0.04500640,          0.08870336,          0.17740672,          5.05525072,         14.89357308,         10.68131893,         28.51496209,          6.52248040,          6.52248040,         17.24521513,         17.24521513,         33.56918566,         57.37949074
,,,,,,  302.600000,    9.071720,          0.58459533,          1.72595845,          0.61763257,          1.65204939,          0.75456406,          0.75456406,          0.99799535,          0.99799535,          3.89077689,          3.32466405,          3.63772595,          3.93040079,          4.37268276,          4.96348571,          3.69732574,          3.69732574,          4.63939446,          4.63939446,          4.75746062,          6.51492125,          0.01170908,          0.03593396,          0.02712614,          0.07730567,          0.01523676,          0.01523676,          0.04514878,          0.04514878,          0.08912401,          0.17824802,          5.06920888,         14.96632546,         10.71137033,         28.65087376,          6.54306094,          6.54306094,         17.30785949,         17.30785949,         33.73814313,         57.65840326
,,,,,,  302.800000,    9.077716,          0.58621012,          1.73440531,          0.61937102,          1.65993803,          0.75694673,          0.75694673,          1.00162475,          1.00162475,          3.91039328,          3.34085182,          3.63819419,          3.93183235,          4.37376743,          4.96656544,          3.69793477,          3.69793477,          4.64119756,          4.64119756,          4.76100934,          6.52201869,          0.01173442,          0.03609254,          0.02718790,          0.07764760,          0.01527604,          0.01527604,          0.04529185,          0.04529185,          0.08954760,          0.17909520,          5.08321124,         15.03957082,         10.74151959,         28.78768345,          6.56372181,          6.56372181,         17.37080288,         17.37080288,         33.90824297,         57.93914177
,,,,,,  303.000000,    9.083711,          0.58783002,          1.74290954,          0.62111513,          1.66787890,          0.75933871,          0.75933871,          1.00527151,          1.00527151,          3.93014258,          3.35714580,          3.63866345,          3.93327019,          4.37485457,          4.96965872,          3.69854537,          3.69854537,          4.64300637,          4.64300637,          4.76457483,          6.52914967,          0.01175984,          0.03625220,          0.02724985,          0.07799185,          0.01531546,          0.01531546,          0.04543560,          0.04543560,          0.08997416,          0.17994831,          5.09725797,         15.11331364,         10.77176712,         28.92539912,          6.58446342,          6.58446342,         17.43404725,         17.43404725,         34.07949534,         58.22172209
,,,,,,  303.200000,    9.089707,          0.58945507,          1.75147166,          0.62286494,          1.67587249,          0.76174005,          0.76174005,          1.00893574,          1.00893574,          3.95002597,          3.37354690,          3.63913373,          3.93471436,          4.37594418,          4.97276563,          3.69915754,          3.69915754,          4.64482089,          4.64482089,          4.76815721,          6.53631442,          0.01178533,          0.03641295,          0.02731199,          0.07833844,          0.01535503,          0.01535503,          0.04558004,          0.04558004,          0.09040370,          0.18080741,          5.11134924,         15.18755844,         10.80211333,         29.06402887,          6.60528621,          6.60528621,         17.49759455,         17.49759455,         34.25191048,         58.50616021
,,,,,,  303.400000,    9.095703,          0.59108527,          1.76009219,          0.62462046,          1.68391925,          0.76415080,          0.76415080,          1.01261754,          1.01261754,          3.97004466,          3.39005605,          3.63960503,          3.93616490,          4.37703628,          4.97588627,          3.69977129,          3.69977129,          4.64664117,          4.64664117,          4.77175659,          6.54351318,          0.01181090,          0.03657479,          0.02737433,          0.07868739,          0.01539475,          0.01539475,          0.04572517,          0.04572517,          0.09083627,          0.18167254,          5.12548524,         15.26230981,         10.83255862,         29.20358084,          6.62619058,          6.62619058,         17.56144677,         17.56144677,         34.42549876,         58.79247227
,,,,,,  303.600000,    9.101699,          0.59272065,          1.76877168,          0.62638171,          1.69201967,          0.76657101,          0.76657101,          1.01631705,          1.01631705,          3.99019985,          3.40667420,          3.64007734,          3.93762185,          4.37813086,          4.97902073,          3.70038663,          3.70038663,          4.64846723,          4.64846723,          4.77537310,          6.55074620,          0.01183654,          0.03673774,          0.02743686,          0.07903873,          0.01543461,          0.01543461,          0.04587101,          0.04587101,          0.09127189,          0.18254378,          5.13966615,         15.33757237,         10.86310340,         29.34406329,          6.64717698,          6.64717698,         17.62560590,         17.62560590,         34.60027068,         59.08067463
,,,,,,  303.800000,    9.107695,          0.59436124,          1.77751066,          0.62814873,          1.70017421,          0.76900073,          0.76900073,          1.02003437,          1.02003437,          4.01049275,          3.42340230,          3.64055069,          3.93908524,          4.37922795,          4.98216910,          3.70100356,          3.70100356,          4.65029909,          4.65029909,          4.77900685,          6.55801370,          0.01186226,          0.03690180,          0.02749959,          0.07939247,          0.01547463,          0.01547463,          0.04601755,          0.04601755,          0.09171058,          0.18342116,          5.15389214,         15.41335082,         10.89374809,         29.48548458,          6.66824581,          6.66824581,         17.69007396,         17.69007396,         34.77623683,         59.37078378
