../../../pdielec -method ap -method maxwell -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -csv command.csv -program abinit AlAs.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  344.26,         5.179774,               21887.651109,  2786.8223,     5.0
   4,  344.26,         5.179774,               21887.651626,  2786.8224,     5.0
   5,  344.26,         5.179773,               21887.650695,  2786.8222,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),maxwell_plate(0 0 1)_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),maxwell_plate(0 0 1)_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    3.400000,    0.101929,          0.00004324,          0.00003159,          0.00000908,          0.00003159,          2.98675470,          2.73360031,          2.42020002,          2.73360031,          0.00003023,          0.00002113,          0.00000571,          0.00002113,          0.00016226,          0.00011855,          0.00003407,          0.00011855
,,,,,,    3.600000,    0.107925,          0.00004847,          0.00003542,          0.00001018,          0.00003542,          2.98675718,          2.73360205,          2.42020049,          2.73360205,          0.00003200,          0.00002237,          0.00000605,          0.00002237,          0.00018192,          0.00013291,          0.00003819,          0.00013291
,,,,,,    3.800000,    0.113921,          0.00005401,          0.00003946,          0.00001134,          0.00003946,          2.98675982,          2.73360389,          2.42020099,          2.73360389,          0.00003378,          0.00002361,          0.00000638,          0.00002361,          0.00020270,          0.00014810,          0.00004256,          0.00014810
,,,,,,    4.000000,    0.119917,          0.00005985,          0.00004373,          0.00001257,          0.00004373,          2.98676259,          2.73360582,          2.42020151,          2.73360582,          0.00003556,          0.00002486,          0.00000672,          0.00002486,          0.00022460,          0.00016410,          0.00004716,          0.00016410
,,,,,,    4.200000,    0.125913,          0.00006598,          0.00004821,          0.00001385,          0.00004821,          2.98676550,          2.73360786,          2.42020206,          2.73360786,          0.00003734,          0.00002610,          0.00000706,          0.00002610,          0.00024763,          0.00018092,          0.00005199,          0.00018092
,,,,,,    4.400000,    0.131909,          0.00007242,          0.00005291,          0.00001520,          0.00005291,          2.98676856,          2.73361000,          2.42020264,          2.73361000,          0.00003912,          0.00002734,          0.00000739,          0.00002734,          0.00027178,          0.00019857,          0.00005706,          0.00019857
,,,,,,    4.600000,    0.137905,          0.00007916,          0.00005783,          0.00001662,          0.00005783,          2.98677176,          2.73361224,          2.42020324,          2.73361224,          0.00004090,          0.00002859,          0.00000773,          0.00002859,          0.00029706,          0.00021704,          0.00006237,          0.00021704
,,,,,,    4.800000,    0.143900,          0.00008619,          0.00006297,          0.00001810,          0.00006297,          2.98677510,          2.73361457,          2.42020388,          2.73361457,          0.00004268,          0.00002983,          0.00000807,          0.00002983,          0.00032346,          0.00023633,          0.00006791,          0.00023633
,,,,,,    5.000000,    0.149896,          0.00009353,          0.00006833,          0.00001964,          0.00006833,          2.98677859,          2.73361701,          2.42020453,          2.73361701,          0.00004446,          0.00003108,          0.00000840,          0.00003108,          0.00035099,          0.00025644,          0.00007369,          0.00025644
,,,,,,    5.200000,    0.155892,          0.00010116,          0.00007391,          0.00002124,          0.00007391,          2.98678222,          2.73361954,          2.42020522,          2.73361954,          0.00004624,          0.00003232,          0.00000874,          0.00003232,          0.00037964,          0.00027738,          0.00007971,          0.00027738
,,,,,,    5.400000,    0.161888,          0.00010910,          0.00007971,          0.00002290,          0.00007971,          2.98678599,          2.73362218,          2.42020593,          2.73362218,          0.00004802,          0.00003356,          0.00000908,          0.00003356,          0.00040942,          0.00029914,          0.00008596,          0.00029914
,,,,,,    5.600000,    0.167884,          0.00011733,          0.00008573,          0.00002463,          0.00008573,          2.98678990,          2.73362491,          2.42020667,          2.73362491,          0.00004980,          0.00003481,          0.00000941,          0.00003481,          0.00044033,          0.00032172,          0.00009245,          0.00032172
,,,,,,    5.800000,    0.173880,          0.00012587,          0.00009196,          0.00002643,          0.00009196,          2.98679395,          2.73362775,          2.42020744,          2.73362775,          0.00005158,          0.00003605,          0.00000975,          0.00003605,          0.00047236,          0.00034512,          0.00009917,          0.00034512
,,,,,,    6.000000,    0.179875,          0.00013470,          0.00009842,          0.00002828,          0.00009842,          2.98679815,          2.73363068,          2.42020823,          2.73363068,          0.00005336,          0.00003730,          0.00001008,          0.00003730,          0.00050552,          0.00036935,          0.00010613,          0.00036935
,,,,,,    6.200000,    0.185871,          0.00014384,          0.00010509,          0.00003020,          0.00010509,          2.98680249,          2.73363371,          2.42020905,          2.73363371,          0.00005514,          0.00003854,          0.00001042,          0.00003854,          0.00053980,          0.00039440,          0.00011333,          0.00039440
,,,,,,    6.400000,    0.191867,          0.00015327,          0.00011199,          0.00003218,          0.00011199,          2.98680697,          2.73363685,          2.42020990,          2.73363685,          0.00005692,          0.00003979,          0.00001076,          0.00003979,          0.00057522,          0.00042027,          0.00012076,          0.00042027
,,,,,,    6.600000,    0.197863,          0.00016301,          0.00011910,          0.00003422,          0.00011910,          2.98681159,          2.73364008,          2.42021077,          2.73364008,          0.00005870,          0.00004103,          0.00001109,          0.00004103,          0.00061175,          0.00044697,          0.00012843,          0.00044697
,,,,,,    6.800000,    0.203859,          0.00017305,          0.00012643,          0.00003633,          0.00012643,          2.98681636,          2.73364341,          2.42021167,          2.73364341,          0.00006049,          0.00004228,          0.00001143,          0.00004228,          0.00064942,          0.00047449,          0.00013634,          0.00047449
,,,,,,    7.000000,    0.209855,          0.00018339,          0.00013399,          0.00003850,          0.00013399,          2.98682127,          2.73364684,          2.42021260,          2.73364684,          0.00006227,          0.00004352,          0.00001177,          0.00004352,          0.00068822,          0.00050283,          0.00014448,          0.00050283
,,,,,,    7.200000,    0.215851,          0.00019402,          0.00014176,          0.00004073,          0.00014176,          2.98682632,          2.73365037,          2.42021356,          2.73365037,          0.00006405,          0.00004477,          0.00001210,          0.00004477,          0.00072814,          0.00053200,          0.00015287,          0.00053200
,,,,,,    7.400000,    0.221846,          0.00020496,          0.00014975,          0.00004303,          0.00014975,          2.98683152,          2.73365400,          2.42021454,          2.73365400,          0.00006583,          0.00004602,          0.00001244,          0.00004602,          0.00076919,          0.00056199,          0.00016148,          0.00056199
,,,,,,    7.600000,    0.227842,          0.00021620,          0.00015796,          0.00004539,          0.00015796,          2.98683685,          2.73365773,          2.42021555,          2.73365773,          0.00006762,          0.00004726,          0.00001278,          0.00004726,          0.00081137,          0.00059281,          0.00017034,          0.00059281
