,,,,,,  932.400000,   27.952649,         45.38864771,         16.60375447,         34.07561072,         34.07557261,         25.38525195,         18.05929941,          2.45726753,          2.27064623,          2.36881668,          2.36881637,          2.32154623,          2.28212617,          0.00867561,          0.00305075,          0.00639493,          0.00639492,          0.00471624,          0.00332657,         14.08119754,          5.15108421,         10.57148494,         10.57147312,          7.87542184,          5.60264681
,,,,,,  932.600000,   27.958645,         45.63041451,         16.64181474,         34.27180132,         34.27176314,         25.53030871,         18.11734429,          2.45900556,          2.27125658,          2.37009810,          2.37009780,          2.32249134,          2.28279204,          0.00872303,          0.00305750,          0.00643211,          0.00643210,          0.00474314,          0.00333703,         14.15620233,          5.16289188,         10.63235035,         10.63233851,          7.92042368,          5.62065443
,,,,,,  932.800000,   27.964640,         45.87770250,         16.68137581,         34.47194908,         34.47191082,         25.67800002,         18.17693551,          2.46075320,          2.27186832,          2.37138704,          2.37138674,          2.32344187,          2.28346005,          0.00877154,          0.00306453,          0.00647004,          0.00647003,          0.00477053,          0.00334778,         14.23292000,          5.17516516,         10.69444342,         10.69443155,          7.96624286,          5.63914178
,,,,,,  933.000000,   27.970636,         46.13048836,         16.72240484,         34.67604945,         34.67601110,         25.82832729,         18.23804801,          2.46251064,          2.27248151,          2.37268365,          2.37268334,          2.32439793,          2.28413024,          0.00882113,          0.00307182,          0.00650873,          0.00650873,          0.00479842,          0.00335881,         14.31134330,          5.18789384,         10.75776272,         10.75775082,          8.01287981,          5.65810108
,,,,,,  933.200000,   27.976632,         46.38875335,         16.76487086,         34.88410090,         34.88406247,         25.98129393,         18.30065839,          2.46427812,          2.27309619,          2.37398806,          2.37398775,          2.32535962,          2.28480267,          0.00887180,          0.00307938,          0.00654818,          0.00654817,          0.00482680,          0.00337011,         14.39146642,          5.20106833,         10.82230779,         10.82229587,          8.06033558,          5.67752508
,,,,,,  933.400000,   27.982628,         46.65248319,         16.80874470,         35.09610486,         35.09606633,         26.13690521,         18.36474486,          2.46605584,          2.27371241,          2.37530044,          2.37530013,          2.32632703,          2.28547739,          0.00892354,          0.00308719,          0.00658839,          0.00658838,          0.00485568,          0.00338169,         14.47328494,          5.21467958,         10.88807908,         10.88806712,          8.10861182,          5.69740702
,,,,,,  933.600000,   27.988624,         46.92166785,         16.85399889,         35.31206556,         35.31202692,         26.29516825,         18.43028716,          2.46784402,          2.27433023,          2.37662094,          2.37662062,          2.32730026,          2.28615447,          0.00897636,          0.00309526,          0.00662935,          0.00662934,          0.00488506,          0.00339353,         14.55679575,          5.22871907,         10.95507788,         10.95506590,          8.15771073,          5.71774061
,,,,,,  933.800000,   27.994620,         47.19630141,         16.90060751,         35.53198998,         35.53195123,         26.45609193,         18.49726645,          2.46964287,          2.27494970,          2.37794970,          2.37794938,          2.32827942,          2.28683394,          0.00903026,          0.00310358,          0.00667107,          0.00667106,          0.00491494,          0.00340564,         14.64199699,          5.24317875,         11.02330638,         11.02329436,          8.20763507,          5.73852000
,,,,,,  934.000000,   28.000616,         47.47638194,         16.94854621,         35.75588776,         35.75584890,         26.61968689,         18.56566525,          2.47145260,          2.27557087,          2.37928687,          2.37928656,          2.32926459,          2.28751587,          0.00908523,          0.00311214,          0.00671356,          0.00671355,          0.00494531,          0.00341802,         14.72888809,          5.25805106,         11.09276756,         11.09275550,          8.25838813,          5.75973978
,,,,,,  934.200000,   28.006611,         47.76191133,         16.99779203,         35.98377114,         35.98373215,         26.78596542,         18.63546742,          2.47327343,          2.27619377,          2.38063262,          2.38063230,          2.33025589,          2.28820030,          0.00914128,          0.00312094,          0.00675681,          0.00675680,          0.00497620,          0.00343064,         14.81746962,          5.27332889,         11.16346521,         11.16345312,          8.30997374,          5.78139494
,,,,,,  934.400000,   28.012607,         48.05289521,         17.04832338,         36.21565485,         36.21561574,         26.95494147,         18.70665802,          2.47510558,          2.27681847,          2.38198708,          2.38198676,          2.33125341,          2.28888729,          0.00919840,          0.00312998,          0.00680083,          0.00680082,          0.00500759,          0.00344353,         14.90774332,          5.28900554,         11.23540391,         11.23539178,          8.36239621,          5.80348083
,,,,,,  934.600000,   28.018603,         48.34934282,         17.10011997,         36.45155611,         36.45151686,         27.12663063,         18.77922331,          2.47694925,          2.27744501,          2.38335042,          2.38335010,          2.33225726,          2.28957689,          0.00925662,          0.00313925,          0.00684562,          0.00684561,          0.00503949,          0.00345667,         14.99971208,          5.30507471,         11.30858900,         11.30857682,          8.41566038,          5.82599320
,,,,,,  934.800000,   28.024599,         48.65126692,         17.15316274,         36.69149451,         36.69145512,         27.30105002,         18.85315066,          2.47880467,          2.27807342,          2.38472279,          2.38472247,          2.33326753,          2.29026914,          0.00931592,          0.00314875,          0.00689119,          0.00689118,          0.00507191,          0.00347006,         15.09337984,          5.32153050,         11.38302656,         11.38301434,          8.46977158,          5.84892814
,,,,,,  935.000000,   28.030595,         48.95868369,         17.20743378,         36.93549201,         36.93545247,         27.47821835,         18.92842853,          2.48067205,          2.27870377,          2.38610434,          2.38610402,          2.33428433,          2.29096409,          0.00937631,          0.00315847,          0.00693754,          0.00693753,          0.00510484,          0.00348370,         15.18875162,          5.33836733,         11.45872339,         11.45871113,          8.52473559,          5.87228205
,,,,,,  935.200000,   28.036591,         49.27161264,         17.26291630,         37.18357287,         37.18353319,         27.65815583,         19.00504640,          2.48255161,          2.27933608,          2.38749523,          2.38749491,          2.33530776,          2.29166181,          0.00943779,          0.00316842,          0.00698468,          0.00698467,          0.00513830,          0.00349758,         15.28583348,          5.35558001,         11.53568703,         11.53567472,          8.58055870,          5.89605168
,,,,,,  935.400000,   28.042587,         49.59007657,         17.31959457,         37.43576362,         37.43572378,         27.84088421,         19.08299472,          2.48444357,          2.27997042,          2.38889562,          2.38889529,          2.33633793,          2.29236233,          0.00950038,          0.00317858,          0.00703261,          0.00703260,          0.00517228,          0.00351171,         15.38463249,          5.37316366,         11.61392571,         11.61391335,          8.63724764,          5.92023407
,,,,,,  935.600000,   28.048582,         49.91410146,         17.37745386,         37.69209303,         37.69205303,         28.02642668,         19.16226491,          2.48634814,          2.28060681,          2.39030567,          2.39030534,          2.33737494,          2.29306570,          0.00956408,          0.00318896,          0.00708134,          0.00708133,          0.00520679,          0.00352609,         15.48515671,          5.39111370,         11.69344835,         11.69343594,          8.69480961,          5.94482654
,,,,,,  935.800000,   28.054578,         50.24371642,         17.43648041,         37.95259205,         37.95255189,         28.21480794,         19.24284924,          2.48826555,          2.28124530,          2.39172552,          2.39172520,          2.33841889,          2.29377197,          0.00962889,          0.00319956,          0.00713087,          0.00713087,          0.00524184,          0.00354071,         15.58741517,          5.40942587,         11.77426455,         11.77425209,          8.75325228,          5.96982671
,,,,,,  936.000000,   28.060574,         50.57895365,         17.49666137,         38.21729383,         38.21725349,         28.40605413,         19.32474090,          2.49019602,          2.28188594,          2.39315536,          2.39315503,          2.33946990,          2.29448119,          0.00969482,          0.00321037,          0.00718122,          0.00718121,          0.00527743,          0.00355556,         15.69141787,          5.42809617,         11.85638460,         11.85637209,          8.81258376,          5.99523246
,,,,,,  936.200000,   28.066570,         50.91984836,         17.55798475,         38.48623364,         38.48619312,         28.60019283,         19.40793388,          2.49213978,          2.28252876,          2.39459533,          2.39459500,          2.34052808,          2.29519341,          0.00976188,          0.00322138,          0.00723238,          0.00723238,          0.00531356,          0.00357066,         15.79717572,          5.44712090,         11.93981944,         11.93980687,          8.87281259,          6.02104192
,,,,,,  936.400000,   28.072566,         51.26643878,         17.62043944,         38.75944890,         38.75940820,         28.79725307,         19.49242295,          2.49409705,          2.28317381,          2.39604561,          2.39604528,          2.34159352,          2.29590867,          0.00983009,          0.00323261,          0.00728438,          0.00728437,          0.00535025,          0.00358600,         15.90470058,          5.46649660,         12.02458068,         12.02456806,          8.93394780,          6.04725349
,,,,,,  936.600000,   28.078562,         51.61876606,         17.68401509,         39.03697915,         39.03693826,         28.99726533,         19.57820369,          2.49606806,          2.28382113,          2.39750635,          2.39750602,          2.34266635,          2.29662703,          0.00989944,          0.00324404,          0.00733720,          0.00733720,          0.00538749,          0.00360157,         16.01400523,          5.48622006,         12.11068059,         12.11066791,          8.99599882,          6.07386577
,,,,,,  936.800000,   28.084557,         51.97687427,         17.74870213,         39.31886602,         39.31882494,         29.20026148,         19.66527238,          2.49805304,          2.28447076,          2.39897773,          2.39897739,          2.34374668,          2.29734852,          0.00996995,          0.00325567,          0.00739088,          0.00739087,          0.00542530,          0.00361739,         16.12510333,          5.50628832,         12.19813208,         12.19811933,          9.05897556,          6.10087762
,,,,,,  937.000000,   28.090553,         52.34081037,         17.81449172,         39.60515325,         39.60511198,         29.40627486,         19.75362605,          2.50005222,          2.28512274,          2.40045992,          2.40045958,          2.34483461,          2.29807321,          0.01004164,          0.00326751,          0.00744540,          0.00744539,          0.00546368,          0.00363344,         16.23800944,          5.52669863,         12.28694871,         12.28693591,          9.12288835,          6.12828812
,,,,,,  937.200000,   28.096549,         52.71062417,         17.88137574,         39.89588666,         39.89584518,         29.61534021,         19.84326238,          2.50206583,          2.28577711,          2.40195307,          2.40195273,          2.34593026,          2.29880112,          0.01011450,          0.00327955,          0.00750079,          0.00750078,          0.00550263,          0.00364972,         16.35273904,          5.54744847,         12.37714472,         12.37713185,          9.18774797,          6.15609655
,,,,,,  937.400000,   28.102545,         53.08636834,         17.94934673,         40.19111417,         40.19107248,         29.82749373,         19.93417974,          2.50409412,          2.28643391,          2.40345738,          2.40345704,          2.34703375,          2.29953232,          0.01018855,          0.00329178,          0.00755705,          0.00755704,          0.00554217,          0.00366625,         16.46930845,          5.56853552,         12.46873495,         12.46872202,          9.25356565,          6.18430240
,,,,,,  937.600000,   28.108541,         53.46809837,         18.01839788,         40.49088576,         40.49084386,         30.04277305,         20.02637714,          2.50613731,          2.28709317,          2.40497301,          2.40497266,          2.34814519,          2.30026685,          0.01026381,          0.00330422,          0.00761419,          0.00761418,          0.00558230,          0.00368300,         16.58773489,          5.58995768,         12.56173492,         12.56172192,          9.32035307,          6.21290536
,,,,,,  937.800000,   28.114537,         53.85587259,         18.08852301,         40.79525354,         40.79521142,         30.26121723,         20.11985421,          2.50819566,          2.28775495,          2.40650013,          2.40649979,          2.34926471,          2.30100475,          0.01034029,          0.00331685,          0.00767222,          0.00767221,          0.00562303,          0.00370000,         16.70803646,          5.61171303,         12.65616080,         12.65614773,          9.38812234,          6.24190532
,,,,,,  938.000000,   28.120533,         54.24975211,         18.15971653,         41.10427169,         41.10422935,         30.48286682,         20.21461118,          2.51026940,          2.28841927,          2.40803894,          2.40803859,          2.35039242,          2.30174608,          0.01041800,          0.00332968,          0.00773116,          0.00773115,          0.00566437,          0.00371723,         16.83023211,          5.63379983,         12.75202939,         12.75201625,          9.45688605,          6.27130235
,,,,,,  938.200000,   28.126528,         54.64980087,         18.23197344,         41.41799652,         41.41795394,         30.70776381,         20.31064887,          2.51235879,          2.28908618,          2.40958960,          2.40958925,          2.35152845,          2.30249087,          0.01049695,          0.00334270,          0.00779101,          0.00779100,          0.00570632,          0.00373470,         16.95434168,          5.65621653,         12.84935816,         12.84934495,          9.52665722,          6.30109672
,,,,,,  938.400000,   28.132524,         55.05608563,         18.30528930,         41.73648643,         41.73644361,         30.93595168,         20.40796869,          2.51446406,          2.28975572,          2.41115231,          2.41115196,          2.35267291,          2.30323918,          0.01057716,          0.00335592,          0.00785179,          0.00785179,          0.00574890,          0.00375240,         17.08038588,          5.67896176,         12.94816523,         12.94815195,          9.59744933,          6.33128884
,,,,,,  938.600000,   28.138520,         55.46867596,         18.37966018,         42.05980198,         42.05975892,         31.16747540,         20.50657259,          2.51658548,          2.29042792,          2.41272725,          2.41272689,          2.35382594,          2.30399106,          0.01065865,          0.00336933,          0.00791352,          0.00791351,          0.00579211,          0.00377035,         17.20838630,          5.70203429,         13.04846939,         13.04845603,          9.66927635,          6.36187933
,,,,,,  938.800000,   28.144516,         55.88764427,         18.45508270,         42.38800587,         42.38796257,         31.40238146,         20.60646304,          2.51872330,          2.29110282,          2.41431460,          2.41431425,          2.35498766,          2.30474654,          0.01074143,          0.00338293,          0.00797619,          0.00797618,          0.00583596,          0.00378853,         17.33836540,          5.72543308,         13.15029009,         13.15027665,          9.74215270,          6.39286895
,,,,,,  939.000000,   28.150512,         56.31306578,         18.53155396,         42.72116297,         42.72111942,         31.64071789,         20.70764308,          2.52087778,          2.29178046,          2.41591456,          2.41591421,          2.35615820,          2.30550569,          0.01082552,          0.00339673,          0.00803983,          0.00803982,          0.00588046,          0.00380694,         17.47034652,          5.74915723,         13.25364745,         13.25363394,          9.81609326,          6.42425865
,,,,,,  939.200000,   28.156508,         56.74501860,         18.60907155,         43.05934036,         43.05929655,         31.88253424,         20.81011623,          2.52304918,          2.29246088,          2.41752733,          2.41752697,          2.35733768,          2.30626854,          0.01091093,          0.00341072,          0.00810445,          0.00810445,          0.00592562,          0.00382560,         17.60435388,          5.77320598,         13.35856229,         13.35854870,          9.89111343,          6.45604953
,,,,,,  939.400000,   28.162504,         57.18358371,         18.68763352,         43.40260730,         43.40256324,         32.12788167,         20.91388655,          2.52523776,          2.29314412,          2.41915310,          2.41915274,          2.35852625,          2.30703515,          0.01099768,          0.00342490,          0.00817007,          0.00817006,          0.00597146,          0.00384450,         17.74041261,          5.79757875,         13.46505609,         13.46504242,          9.96722906,          6.48824282
,,,,,,  939.600000,   28.168499,         57.62884499,         18.76723841,         43.75103535,         43.75099102,         32.37681291,         21.01895855,          2.52744380,          2.29383022,          2.42079206,          2.42079170,          2.35972404,          2.30780555,          0.01108580,          0.00343927,          0.00823669,          0.00823668,          0.00601797,          0.00386364,         17.87854874,          5.82227505,         13.57315105,         13.57313730,         10.04445652,          6.52083996
,,,,,,  939.800000,   28.174495,         58.08088923,         18.84788514,         44.10469828,         44.10465368,         32.62938233,         21.12533727,          2.52966757,          2.29451920,          2.42244443,          2.42244406,          2.36093118,          2.30857981,          0.01117529,          0.00345383,          0.00830434,          0.00830433,          0.00606518,          0.00388301,         18.01878919,          5.84729458,         13.68287006,         13.68285623,         10.12281267,          6.55384247
,,,,,,  940.000000,   28.180491,         58.53980620,         18.92957311,         44.46367223,         44.46362735,         32.88564593,         21.23302819,          2.53190935,          2.29521112,          2.42411040,          2.42411003,          2.36214781,          2.30935797,          0.01126618,          0.00346859,          0.00837303,          0.00837302,          0.00611309,          0.00390264,         18.16116180,          5.87263714,         13.79423674,         13.79422282,         10.20231490,          6.58725209
,,,,,,  940.200000,   28.186487,         59.00568865,         19.01230211,         44.82803563,         44.82799047,         33.14566141,         21.34203728,          2.53416941,          2.29590601,          2.42579019,          2.42578982,          2.36337408,          2.31014007,          0.01135849,          0.00348353,          0.00844277,          0.00844276,          0.00616171,          0.00392250,         18.30569536,          5.89830267,         13.90727543,         13.90726142,         10.28298109,          6.62107064
,,,,,,  940.400000,   28.192483,         59.47863236,         19.09607234,         45.19786933,         45.19782388,         33.40948819,         21.45237095,          2.53644804,          2.29660391,          2.42748400,          2.42748363,          2.36461013,          2.31092617,          0.01145224,          0.00349867,          0.00851358,          0.00851357,          0.00621106,          0.00394261,         18.45241958,          5.92429121,         14.02201120,         14.02199710,         10.36482968,          6.65530013
,,,,,,  940.600000,   28.198479,         59.95873617,         19.18088439,         45.57325657,         45.57321083,         33.67718739,         21.56403607,          2.53874553,          2.29730486,          2.42919206,          2.42919169,          2.36585609,          2.31171631,          0.01154746,          0.00351400,          0.00858549,          0.00858548,          0.00626114,          0.00396297,         18.60136512,          5.95060297,         14.13846987,         14.13845568,         10.44787964,          6.68994268
,,,,,,  940.800000,   28.204474,         60.44610202,         19.26673922,         45.95428306,         45.95423702,         33.94882196,         21.67703997,          2.54106217,          2.29800889,          2.43091458,          2.43091421,          2.36711213,          2.31251054,          0.01164415,          0.00352952,          0.00865849,          0.00865849,          0.00631198,          0.00398357,         18.75256361,          5.97723824,         14.25667805,         14.25666377,         10.53215049,          6.72500057
,,,,,,  941.000000,   28.210470,         60.94083504,         19.35363819,         46.34103702,         46.34099068,         34.22445663,         21.79139040,          2.54339826,          2.29871604,          2.43265178,          2.43265141,          2.36837839,          2.31330892,          0.01174236,          0.00354523,          0.00873263,          0.00873262,          0.00636357,          0.00400443,         18.90604765,          6.00419744,         14.37666310,         14.37664872,         10.61766232,          6.76047621
,,,,,,  941.200000,   28.216466,         61.44304352,         19.44158301,         46.73360922,         46.73356258,         34.50415800,         21.90709556,          2.54575411,          2.29942635,          2.43440389,          2.43440352,          2.36965503,          2.31411149,          0.01184209,          0.00356113,          0.00880790,          0.00880790,          0.00641595,          0.00402553,         19.06185086,          6.03148110,         14.49845317,         14.49843870,         10.70443578,          6.79637213
,,,,,,  941.400000,   28.222462,         61.95283903,         19.53057573,         47.13209304,         47.13204608,         34.78799457,         22.02416407,          2.54813002,          2.30013986,          2.43617114,          2.43617077,          2.37094219,          2.31491831,          0.01194338,          0.00357723,          0.00888434,          0.00888433,          0.00646911,          0.00404689,         19.22000784,          6.05908986,         14.62207724,         14.62206267,         10.79249214,          6.83269101
,,,,,,  941.600000,   28.228458,         62.47033646,         19.62061878,         47.53658451,         47.53653723,         35.07603677,         22.14260498,          2.55052630,          2.30085661,          2.43795377,          2.43795339,          2.37224005,          2.31572942,          0.01204624,          0.00359351,          0.00896196,          0.00896195,          0.00652307,          0.00406850,         19.38055423,          6.08702446,         14.74756510,         14.74755043,         10.88185323,          6.86943565
,,,,,,  941.800000,   28.234454,         62.99565407,         19.71171490,         47.94718237,         47.94713476,         35.36835701,         22.26242776,          2.55294327,          2.30157663,          2.43975200,          2.43975162,          2.37354875,          2.31654487,          0.01215072,          0.00361000,          0.00904079,          0.00904078,          0.00657785,          0.00409037,         19.54352672,          6.11528577,         14.87494738,         14.87493261,         10.97254153,          6.90660901
,,,,,,  942.000000,   28.240450,         63.52891354,         19.80386718,         48.36398813,         48.36394019,         35.66502974,         22.38364232,          2.55538125,          2.30229997,          2.44156608,          2.44156570,          2.37486847,          2.31736472,          0.01225682,          0.00362667,          0.00912083,          0.00912082,          0.00663346,          0.00411250,         19.70896306,          6.14387473,         15.00425558,         15.00424071,         11.06458012,          6.94421414
,,,,,,  942.200000,   28.246445,         64.07024006,         19.89707904,         48.78710613,         48.78705785,         35.96613149,         22.50625894,          2.55784057,          2.30302666,          2.44339627,          2.44339588,          2.37619937,          2.31818902,          0.01236458,          0.00364354,          0.00920212,          0.00920211,          0.00668992,          0.00413488,         19.87690209,          6.17279242,         15.13552206,         15.13550709,         11.15799275,          6.98225424
,,,,,,  942.400000,   28.252441,         64.61976240,         19.99135421,         49.21664361,         49.21659499,         36.27174091,         22.63028838,          2.56032157,          2.30375675,          2.44524279,          2.44524240,          2.37754162,          2.31901782,          0.01247403,          0.00366061,          0.00928467,          0.00928466,          0.00674723,          0.00415753,         20.04738377,          6.20203998,         15.26878010,         15.26876502,         11.25280383,          7.02073265
,,,,,,  942.600000,   28.258437,         65.17761297,         20.08669674,         49.65271076,         49.65266180,         36.58193883,         22.75574175,          2.56282457,          2.30449027,          2.44710592,          2.44710553,          2.37889539,          2.31985117,          0.01258519,          0.00367787,          0.00936852,          0.00936851,          0.00680543,          0.00418044,         20.22044916,          6.23161867,         15.40406388,         15.40404869,         11.34903843,          7.05965282
,,,,,,  942.800000,   28.264433,         65.74392790,         20.18311098,         50.09542083,         50.09537151,         36.89680835,         22.88263061,          2.56534994,          2.30522725,          2.44898591,          2.44898552,          2.38026087,          2.32068913,          0.01269810,          0.00369533,          0.00945367,          0.00945366,          0.00686452,          0.00420362,         20.39614050,          6.26152986,         15.54140853,         15.54139323,         11.44672232,          7.09901833
,,,,,,  943.000000,   28.270429,         66.31884714,         20.28060161,         50.54489014,         50.54484046,         37.21643484,         23.01096693,          2.56789801,          2.30596775,          2.45088302,          2.45088263,          2.38163822,          2.32153174,          0.01281279,          0.00371299,          0.00954016,          0.00954015,          0.00692452,          0.00422706,         20.57450121,          6.29177497,         15.68085014,         15.68083473,         11.54588200,          7.13883289
,,,,,,  943.200000,   28.276425,         66.90251449,         20.37917359,         51.00123820,         51.00118815,         37.54090604,         23.14076307,          2.57046915,          2.30671180,          2.45279753,          2.45279713,          2.38302764,          2.32237907,          0.01292928,          0.00373085,          0.00962802,          0.00962801,          0.00698545,          0.00425078,         20.75557590,          6.32235556,         15.82242579,         15.82241026,         11.64654469,          7.17910034
,,,,,,  943.400000,   28.282420,         67.49507777,         20.47883218,         51.46458780,         51.46453738,         37.87031210,         23.27203182,          2.57306371,          2.30745944,          2.45472970,          2.45472930,          2.38442931,          2.32323116,          0.01304761,          0.00374891,          0.00971725,          0.00971724,          0.00704732,          0.00427477,         20.93941043,          6.35327325,         15.96617356,         15.96615792,         11.74873834,          7.21982464
,,,,,,  943.600000,   28.288416,         68.09668885,         20.57958294,         51.93506504,         51.93501424,         38.20474570,         23.40478638,          2.57568207,          2.30821071,          2.45667981,          2.45667941,          2.38584342,          2.32408807,          0.01316782,          0.00376717,          0.00980790,          0.00980789,          0.00711015,          0.00429904,         21.12605191,          6.38452977,         16.11213259,         16.11211683,         11.85249172,          7.26100990
,,,,,,  943.800000,   28.294412,         68.70750376,         20.68143172,         52.41279947,         52.41274828,         38.54430202,         23.53904033,          2.57832460,          2.30896564,          2.45864816,          2.45864776,          2.38727016,          2.32494986,          0.01328993,          0.00378563,          0.00989999,          0.00989998,          0.00717397,          0.00432358,         21.31554875,          6.41612694,         16.26034306,         16.26032718,         11.95783435,          7.30266032
,,,,,,  944.000000,   28.300408,         69.32768280,         20.78438465,         52.89792415,         52.89787257,         38.88907892,         23.67480771,          2.58099169,          2.30972429,          2.46063502,          2.46063461,          2.38870973,          2.32581659,          0.01341398,          0.00380429,          0.00999354,          0.00999353,          0.00723879,          0.00434841,         21.50795068,          6.44806666,         16.41084626,         16.41083026,         12.06479660,          7.34478027
,,,,,,  944.200000,   28.306404,         69.95739065,         20.88844814,         53.39057576,         53.39052378,         39.23917695,         23.81210293,          2.58368373,          2.31048669,          2.46264069,          2.46264028,          2.39016234,          2.32668830,          0.01354001,          0.00382316,          0.01008858,          0.01008857,          0.00730463,          0.00437352,         21.70330880,          6.48035091,         16.56368458,         16.56366845,         12.17340965,          7.38737420
,,,,,,  944.400000,   28.312400,         70.59679647,         20.99362890,         53.89089468,         53.89084230,         39.59469942,         23.95094085,          2.58640111,          2.31125288,          2.46466547,          2.46466506,          2.39162818,          2.32756506,          0.01366805,          0.00384223,          0.01018515,          0.01018514,          0.00737151,          0.00439892,         21.90167557,          6.51298178,         16.71890157,         16.71888532,         12.28370556,          7.43044674
,,,,,,  944.600000,   28.318396,         71.24607400,         21.09993390,         54.39902511,         54.39897232,         39.95575253,         24.09133673,          2.58914424,          2.31202291,          2.46670968,          2.46670926,          2.39310747,          2.32844692,          0.01379815,          0.00386151,          0.01028327,          0.01028326,          0.00743946,          0.00442460,         22.10310491,          6.54596143,         16.87654198,         16.87652560,         12.39571727,          7.47400261
,,,,,,  944.800000,   28.324391,         71.90540172,         21.20737039,         54.91511515,         54.91506194,         40.32244543,         24.23330624,          2.59191353,          2.31279681,          2.46877361,          2.46877319,          2.39460042,          2.32933394,          0.01393034,          0.00388100,          0.01038297,          0.01038296,          0.00750848,          0.00445058,         22.30765218,          6.57929211,         17.03665175,         17.03663524,         12.50947865,          7.51804668
,,,,,,  945.000000,   28.330387,         72.57496293,         21.31594591,         55.43931694,         55.43926331,         40.69489028,         24.37686550,          2.59470940,          2.31357462,          2.47085759,          2.47085717,          2.39610725,          2.33022619,          0.01406466,          0.00390070,          0.01048429,          0.01048428,          0.00757862,          0.00447686,         22.51537424,          6.61297616,         17.19927807,         17.19926144,         12.62502449,          7.56258395
,,,,,,  945.200000,   28.336383,         73.25494590,         21.42566825,         55.97178676,         55.97173270,         41.07320240,         24.52203103,          2.59753229,          2.31435640,          2.47296194,          2.47296152,          2.39762818,          2.33112371,          0.01420115,          0.00392061,          0.01058725,          0.01058724,          0.00764988,          0.00450343,         22.72632952,          6.64701599,         17.36446944,         17.36445267,         12.74239057,          7.60761954
,,,,,,  945.400000,   28.342379,         73.94554401,         21.53654550,         56.51268513,         56.51263063,         41.45750030,         24.66881979,          2.60038262,          2.31514217,          2.47508700,          2.47508658,          2.39916343,          2.33202657,          0.01433986,          0.00394074,          0.01069190,          0.01069189,          0.00772229,          0.00453031,         22.94057799,          6.68141412,         17.53227565,         17.53225874,         12.86161366,          7.65315871
,,,,,,  945.600000,   28.348375,         74.64695587,         21.64858599,         57.06217698,         57.06212203,         41.84790583,         24.81724917,          2.60326084,          2.31593199,          2.47723309,          2.47723267,          2.40071325,          2.33293484,          0.01448083,          0.00396108,          0.01079825,          0.01079824,          0.00779588,          0.00455749,         23.15818127,          6.71617312,         17.70274786,         17.70273081,         12.98273155,          7.69920686
,,,,,,  945.800000,   28.354371,         75.35938549,         21.76179834,         57.62043171,         57.62037631,         42.24454426,         24.96733699,          2.60616742,          2.31672590,          2.47940058,          2.47940016,          2.40227786,          2.33384856,          0.01462410,          0.00398163,          0.01090636,          0.01090635,          0.00787067,          0.00458498,         23.37920267,          6.75129568,         17.87593864,         17.87592145,         13.10578312,          7.74576952
,,,,,,  946.000000,   28.360367,         76.08304239,         21.87619145,         58.18762339,         58.18756754,         42.64754439,         25.11910152,          2.60910280,          2.31752393,          2.48158980,          2.48158938,          2.40385751,          2.33476781,          0.01476972,          0.00400240,          0.01101625,          0.01101624,          0.00794669,          0.00461278,         23.60370717,          6.78678455,         18.05190198,         18.05188465,         13.23080831,          7.79285236
,,,,,,  946.200000,   28.366362,         76.81814182,         21.99177445,         58.76393087,         58.76387455,         43.05703867,         25.27256147,          2.61206746,          2.31832614,          2.48380112,          2.48380069,          2.40545244,          2.33569264,          0.01491774,          0.00402340,          0.01112796,          0.01112795,          0.00802395,          0.00464090,         23.83176156,          6.82264258,         18.23069337,         18.23067590,         13.35784822,          7.84046118
,,,,,,  946.400000,   28.372358,         77.56490486,         22.10855679,         59.34953791,         59.34948111,         43.47316328,         25.42773600,          2.61506189,          2.31913257,          2.48603490,          2.48603447,          2.40706291,          2.33662313,          0.01506820,          0.00404461,          0.01124153,          0.01124152,          0.00810250,          0.00466934,         24.06343442,          6.85887268,         18.41236982,         18.41235220,         13.48694510,          7.88860192
,,,,,,  946.600000,   28.378354,         78.32355862,         22.22654816,         59.94463335,         59.94457608,         43.89605830,         25.58464472,          2.61808658,          2.31994326,          2.48829152,          2.48829109,          2.40868917,          2.33755932,          0.01522117,          0.00406605,          0.01135700,          0.01135699,          0.00818235,          0.00469810,         24.29879621,          6.89547786,         18.59698992,         18.59697215,         13.61814241,          7.93728068
,,,,,,  946.800000,   28.384350,         79.09433644,         22.34575851,         60.54941127,         60.54935351,         44.32586782,         25.74330772,          2.62114203,          2.32075825,          2.49057136,          2.49057093,          2.41033148,          2.33850130,          0.01537668,          0.00408771,          0.01147441,          0.01147440,          0.00826354,          0.00472719,         24.53791932,          6.93246121,         18.78461387,         18.78459594,         13.75148484,          7.98650367
,,,,,,  947.000000,   28.390346,         79.87747800,         22.46619808,         61.16407113,         61.16401286,         44.76274004,         25.90374553,          2.62422875,          2.32157760,          2.49287481,          2.49287437,          2.41199012,          2.33944912,          0.01553479,          0.00410960,          0.01159380,          0.01159379,          0.00834609,          0.00475661,         24.78087812,          6.96982592,         18.97530355,         18.97528547,         13.88701838,          8.03627727
,,,,,,  947.200000,   28.396342,         80.67322959,         22.58787738,         61.78881793,         61.78875917,         45.20682744,         26.06597916,          2.62734726,          2.32240134,          2.49520227,          2.49520183,          2.41366536,          2.34040285,          0.01569555,          0.00413172,          0.01171522,          0.01171521,          0.00843004,          0.00478637,         25.02774900,          7.00757523,         19.16912257,         19.16910434,         14.02479033,          8.08660800
