,,,,,,  903.800000,   27.095242,         37.90410575,         16.53781311,         25.51364650,         25.51359031,         16.82408884,         15.81004775,          2.35409382,          2.23126990,          2.28350121,          2.28350092,          2.24906906,          2.23435722,          0.00731568,          0.00310749,          0.00484986,          0.00484985,          0.00317387,          0.00297280,         11.75922235,          5.13062682,          7.91525446,          7.91523703,          5.21943989,          4.90484773
,,,,,,  904.000000,   27.101238,         38.96569503,         16.94795038,         26.14831842,         26.14826005,         17.13788198,         16.16107033,          2.35555420,          2.23189071,          2.28446995,          2.28446966,          2.24970388,          2.23495140,          0.00752124,          0.00318430,          0.00497046,          0.00497045,          0.00323281,          0.00303853,         12.08856568,          5.25786621,          8.11215261,          8.11213450,          5.31678985,          5.01374760
,,,,,,  904.200000,   27.107234,         40.10054694,         17.38529392,         26.82558837,         26.82552767,         17.47061618,         16.53472004,          2.35705479,          2.23252660,          2.28546231,          2.28546201,          2.25035030,          2.23555848,          0.00774104,          0.00326621,          0.00509918,          0.00509917,          0.00329532,          0.00310852,         12.44063772,          5.39354597,          8.32226621,          8.32224738,          5.42001602,          5.12966724
,,,,,,  904.400000,   27.113230,         41.31601121,         17.85244961,         27.54969266,         27.54962944,         17.82406234,         16.93314422,          2.35859826,          2.23317854,          2.28647981,          2.28647951,          2.25100900,          2.23617930,          0.00797652,          0.00335372,          0.00523683,          0.00523682,          0.00336173,          0.00318316,         12.81771863,          5.53847454,          8.54690950,          8.54688989,          5.52966778,          5.25327281
,,,,,,  904.600000,   27.119226,         42.62038370,         18.35234272,         28.32540963,         28.32534371,         18.20020527,         17.35875150,          2.36018757,          2.23384758,          2.28752414,          2.28752384,          2.25168072,          2.23681471,          0.00822930,          0.00344739,          0.00538432,          0.00538431,          0.00343243,          0.00326291,         13.22238208,          5.69355943,          8.78756492,          8.78754447,          5.64636090,          5.38531156
,,,,,,  904.800000,   27.125222,         44.02305552,         18.88826583,         29.15814465,         29.15807581,         18.60127531,         17.81425078,          2.36182595,          2.23453489,          2.28859714,          2.28859684,          2.25236628,          2.23746571,          0.00850120,          0.00354782,          0.00554269,          0.00554267,          0.00350783,          0.00334828,         13.65754153,          5.85982213,          9.04590939,          9.04588804,          5.77078731,          5.52662388
,,,,,,  905.000000,   27.131217,         45.53469005,         19.46393526,         30.05403092,         30.05395894,         19.02978557,         18.30269692,          2.36351695,          2.23524174,          2.28970085,          2.28970054,          2.25306656,          2.23813333,          0.00879432,          0.00365572,          0.00571310,          0.00571309,          0.00358840,          0.00343984,         14.12650515,          6.03841558,          9.32384567,          9.32382334,          5.90372667,          5.67815751
,,,,,,  905.200000,   27.137213,         47.16743402,         20.08355778,         31.02004959,         31.01997420,         19.48857575,         18.82754492,          2.36526450,          2.23596952,          2.29083748,          2.29083718,          2.25378254,          2.23881875,          0.00911101,          0.00377188,          0.00589690,          0.00589688,          0.00367468,          0.00353824,         14.63304129,          6.23064486,          9.62353954,          9.62351615,          6.04605995,          5.84098431
,,,,,,  905.400000,   27.143209,         48.93517028,         20.75190983,         32.06417346,         32.06409436,         19.98086421,         19.39271401,          2.36707294,          2.23671979,          2.29200951,          2.29200920,          2.25451527,          2.23952323,          0.00945400,          0.00389719,          0.00609560,          0.00609558,          0.00376729,          0.00364422,         15.18145691,          6.43799180,          9.94746447,          9.94743993,          6.19878560,          6.01632017
,,,,,,  905.600000,   27.149205,         50.85382180,         21.47443197,         33.19553967,         33.19545653,         20.51030975,         20.00266402,          2.36894705,          2.23749422,          2.29321966,          2.29321935,          2.25526594,          2.24024819,          0.00982639,          0.00403269,          0.00631095,          0.00631093,          0.00386690,          0.00375861,         15.77669190,          6.66214426,         10.29845512,         10.29842933,          6.36303873,          6.20554869
