../../../pdielec -vmin 300 -vmax 800 -sphere -needle 0 0 1 -dielectric 3 -vf 0.1 -vf 0.2 -method maxwell -method bruggeman -method ap -sigma 10 -csv command.csv -program experiment data.expt
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   1,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   2,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.2),maxwell_needle[0 0 1]_real_dielectric(vf=0.2),bruggeman_sphere_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_sphere_real_dielectric(vf=0.2),bruggeman_needle[0 0 1]_real_dielectric(vf=0.2),ap_noshape_real_dielectric(vf=0.1),ap_noshape_real_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_needle[0 0 1]_imag_dielectric(vf=0.2),bruggeman_sphere_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_sphere_imag_dielectric(vf=0.2),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.2),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.2),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),ap_noshape_absorption_coefficent_cm-1(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.2)
,,,,,,  302.000000,    9.053732,          0.57977884,          1.70095782,          0.61244831,          1.62869273,          0.74746876,          0.74746876,          0.98720773,          0.98720773,          3.83271689,          3.27673038,          3.63632836,          3.92614675,          4.36944604,          4.95433415,          3.69550943,          3.69550943,          4.63402333,          4.63402333,          4.74692232,          6.49384464,          0.01163349,          0.03546475,          0.02694203,          0.07629399,          0.01511982,          0.01511982,          0.04472377,          0.04472377,          0.08787130,          0.17574260,          5.02746591,         14.74960256,         10.62150869,         28.24593315,          6.48156409,          6.48156409,         17.12084986,         17.12084986,         33.23483409,         56.82735952
,,,,,,  302.200000,    9.059728,          0.58137839,          1.70923567,          0.61416989,          1.63642739,          0.74982377,          0.74982377,          0.99078574,          0.99078574,          3.85194155,          3.29260500,          3.63679359,          3.92755972,          4.37052336,          4.95737380,          3.69611379,          3.69611379,          4.63580951,          4.63580951,          4.75042143,          6.50084286,          0.01165861,          0.03562017,          0.02700321,          0.07662909,          0.01515866,          0.01515866,          0.04486480,          0.04486480,          0.08828616,          0.17657233,          5.04133621,         14.82138267,         10.65136556,         28.38007318,          6.50198521,          6.50198521,         17.18290207,         17.18290207,         33.40153782,         57.10266837
,,,,,,  302.400000,    9.065724,          0.58298300,          1.71756935,          0.61589707,          1.64421294,          0.75218795,          0.75218795,          0.99438076,          0.99438076,          3.87129564,          3.30858312,          3.63725982,          3.92897886,          4.37160312,          4.96042673,          3.69671971,          3.69671971,          4.63760130,          4.63760130,          4.75393698,          6.50787395,          0.01168381,          0.03577663,          0.02706459,          0.07696645,          0.01519765,          0.01519765,          0.04500651,          0.04500651,          0.08870391,          0.17740782,          5.05525035,         14.89364695,         10.68131948,         28.51509552,          6.52248584,          6.52248584,         17.24524947,         17.24524947,         33.56936397,         57.37977210
,,,,,,  302.600000,    9.071720,          0.58459269,          1.72595937,          0.61762986,          1.65204980,          0.75456134,          0.75456134,          0.99799291,          0.99799291,          3.89078032,          3.32466562,          3.63772706,          3.93040419,          4.37268533,          4.96349303,          3.69732718,          3.69732718,          4.63939874,          4.63939874,          4.75746906,          6.51493812,          0.01170908,          0.03593415,          0.02712615,          0.07730608,          0.01523678,          0.01523678,          0.04514889,          0.04514889,          0.08912456,          0.17824913,          5.06920851,         14.96639979,         10.71137086,         28.65100799,          6.54306638,          6.54306638,         17.30789396,         17.30789396,         33.73832247,         57.65868620
,,,,,,  302.800000,    9.077716,          0.58620747,          1.73440624,          0.61936830,          1.65993845,          0.75694400,          0.75694400,          1.00162231,          1.00162231,          3.91039674,          3.34085342,          3.63819530,          3.93183576,          4.37377000,          4.96657278,          3.69793621,          3.69793621,          4.64120185,          4.64120185,          4.76101780,          6.52203560,          0.01173442,          0.03609274,          0.02718791,          0.07764802,          0.01527605,          0.01527605,          0.04529196,          0.04529196,          0.08954816,          0.17909631,          5.08321085,         15.03964560,         10.74152010,         28.78781847,          6.56372725,          6.56372725,         17.37083748,         17.37083748,         33.90842335,         57.93942630
,,,,,,  303.000000,    9.083711,          0.58782737,          1.74291049,          0.62111241,          1.66787934,          0.75933597,          0.75933597,          1.00526905,          1.00526905,          3.93014608,          3.35714741,          3.63866457,          3.93327361,          4.37485714,          4.96966607,          3.69854681,          3.69854681,          4.64301065,          4.64301065,          4.76458331,          6.52916662,          0.01175984,          0.03625240,          0.02724986,          0.07799227,          0.01531547,          0.01531547,          0.04543571,          0.04543571,          0.08997471,          0.17994943,          5.09725756,         15.11338888,         10.77176760,         28.92553495,          6.58446888,          6.58446888,         17.43408197,         17.43408197,         34.07967676,         58.22200821
,,,,,,  303.200000,    9.089707,          0.58945241,          1.75147262,          0.62286220,          1.67587294,          0.76173731,          0.76173731,          1.00893327,          1.00893327,          3.95002951,          3.37354853,          3.63913484,          3.93471779,          4.37594675,          4.97277300,          3.69915898,          3.69915898,          4.64482518,          4.64482518,          4.76816571,          6.53633142,          0.01178533,          0.03641315,          0.02731200,          0.07833886,          0.01535504,          0.01535504,          0.04558015,          0.04558015,          0.09040427,          0.18080853,          5.11134882,         15.18763414,         10.80211378,         29.06416551,          6.60529167,          6.60529167,         17.49762941,         17.49762941,         34.25209295,         58.50644793
,,,,,,  303.400000,    9.095703,          0.59108260,          1.76009317,          0.62461771,          1.68391971,          0.76414805,          0.76414805,          1.01261507,          1.01261507,          3.97004823,          3.39005770,          3.63960614,          3.93616833,          4.37703885,          4.97589366,          3.69977274,          3.69977274,          4.64664547,          4.64664547,          4.77176512,          6.54353023,          0.01181090,          0.03657499,          0.02737434,          0.07868782,          0.01539476,          0.01539476,          0.04572529,          0.04572529,          0.09083684,          0.18167367,          5.12548481,         15.26238597,         10.83255904,         29.20371829,          6.62619605,          6.62619605,         17.56148176,         17.56148176,         34.42568230,         58.79276162
,,,,,,  303.600000,    9.101699,          0.59271797,          1.76877268,          0.62637896,          1.69202014,          0.76656825,          0.76656825,          1.01631457,          1.01631457,          3.99020345,          3.40667587,          3.64007845,          3.93762529,          4.37813344,          4.97902813,          3.70038807,          3.70038807,          4.64847153,          4.64847153,          4.77538164,          6.55076329,          0.01183654,          0.03673794,          0.02743687,          0.07903916,          0.01543463,          0.01543463,          0.04587112,          0.04587112,          0.09127246,          0.18254491,          5.13966570,         15.33764900,         10.86310380,         29.34420157,          6.64718244,          6.64718244,         17.62564102,         17.62564102,         34.60045528,         59.08096561
,,,,,,  303.800000,    9.107695,          0.59435855,          1.77751167,          0.62814596,          1.70017470,          0.76899795,          0.76899795,          1.02003188,          1.02003188,          4.01049639,          3.42340399,          3.64055180,          3.93908869,          4.37923053,          4.98217652,          3.70100500,          3.70100500,          4.65030340,          4.65030340,          4.77901542,          6.55803083,          0.01186226,          0.03690200,          0.02749960,          0.07939291,          0.01547465,          0.01547465,          0.04601766,          0.04601766,          0.09171115,          0.18342231,          5.15389167,         15.41342792,         10.89374846,         29.48562368,          6.66825128,          6.66825128,         17.69010922,         17.69010922,         34.77642251,         59.37107641
