../../../pdielec -processors 1 -size 0 -size 1 -size 2 -matrix ptfe -vmin 0 -vmax 1000 -mf 0.01 -method ap -method maxwell -sphere -needle 0 0 1 -csv command.csv -sigma 5 . -processors 1
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   91.25,         0.000000,                   0.000007,     0.0000,     5.0
   4,   91.25,         0.000000,                   0.000000,     0.0000,     5.0
   6,  349.99,        17.118884,               72337.557354,  9210.3039,     5.0
   7,  372.09,        16.426646,               69412.437372,  8837.8660,     5.0
   8,  372.09,        16.426556,               69412.054294,  8837.8172,     5.0
   9,  402.06,         0.000000,                   0.000001,     0.0000,     5.0
  10,  402.06,         0.000000,                   0.000010,     0.0000,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(mf=0.01),ap_noshape_imag_dielectric(mf=0.01),ap_noshape_absorption_coeficient_cm-1(mf=0.01),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),ap_noshape_real_dielectric(mf=0.01/1mu),ap_noshape_imag_dielectric(mf=0.01/1mu),ap_noshape_absorption_coeficient_cm-1(mf=0.01/1mu),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),ap_noshape_real_dielectric(mf=0.01/2mu),ap_noshape_imag_dielectric(mf=0.01/2mu),ap_noshape_absorption_coeficient_cm-1(mf=0.01/2mu),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu),maxwell_sphere_real_dielectric(mf=0.01),maxwell_sphere_imag_dielectric(mf=0.01),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),maxwell_needle[0 0 1]_real_dielectric(mf=0.01),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),maxwell_sphere_real_dielectric(mf=0.01/1mu),maxwell_sphere_imag_dielectric(mf=0.01/1mu),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01/1mu),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),maxwell_needle[0 0 1]_real_dielectric(mf=0.01/1mu),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01/1mu),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01/1mu),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),maxwell_sphere_real_dielectric(mf=0.01/2mu),maxwell_sphere_imag_dielectric(mf=0.01/2mu),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01/2mu),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu),maxwell_needle[0 0 1]_real_dielectric(mf=0.01/2mu),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01/2mu),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01/2mu),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu)
,,,,,    2.000000,    0.059958,          2.03707680,          0.00000166,          0.00000636,          0.00004674,          2.03707680,          0.00000166,          0.00000636,          0.00004674,          2.03707680,          0.00000166,          0.00000636,          0.00004674,          2.01475051,          0.00000026,          0.00000101,          0.00000741,          2.02062575,          0.00000076,          0.00000293,          0.00002155,          2.01475051,          0.00000026,          0.00000101,          0.00000741,          2.02062575,          0.00000076,          0.00000293,          0.00002155,          2.01475053,          0.00000026,          0.00000101,          0.00000741,          2.02062576,          0.00000076,          0.00000293,          0.00002155
,,,,,    2.200000,    0.065954,          2.03707694,          0.00000183,          0.00000769,          0.00005656,          2.03707694,          0.00000183,          0.00000769,          0.00005656,          2.03707694,          0.00000183,          0.00000769,          0.00005656,          2.01475053,          0.00000029,          0.00000122,          0.00000896,          2.02062581,          0.00000084,          0.00000355,          0.00002607,          2.01475054,          0.00000029,          0.00000122,          0.00000896,          2.02062581,          0.00000084,          0.00000355,          0.00002607,          2.01475055,          0.00000029,          0.00000122,          0.00000896,          2.02062583,          0.00000084,          0.00000355,          0.00002607
,,,,,    2.400000,    0.071950,          2.03707709,          0.00000199,          0.00000915,          0.00006731,          2.03707709,          0.00000199,          0.00000915,          0.00006731,          2.03707709,          0.00000199,          0.00000915,          0.00006731,          2.01475055,          0.00000031,          0.00000145,          0.00001067,          2.02062588,          0.00000092,          0.00000422,          0.00003103,          2.01475056,          0.00000031,          0.00000145,          0.00001067,          2.02062589,          0.00000092,          0.00000422,          0.00003103,          2.01475058,          0.00000031,          0.00000145,          0.00001066,          2.02062590,          0.00000092,          0.00000422,          0.00003103
,,,,,    2.600000,    0.077946,          2.03707726,          0.00000216,          0.00001074,          0.00007899,          2.03707726,          0.00000216,          0.00001074,          0.00007899,          2.03707726,          0.00000216,          0.00001074,          0.00007899,          2.01475058,          0.00000034,          0.00000170,          0.00001252,          2.02062596,          0.00000099,          0.00000495,          0.00003642,          2.01475059,          0.00000034,          0.00000170,          0.00001252,          2.02062596,          0.00000099,          0.00000495,          0.00003642,          2.01475061,          0.00000034,          0.00000170,          0.00001251,          2.02062598,          0.00000099,          0.00000495,          0.00003641
,,,,,    2.800000,    0.083942,          2.03707744,          0.00000233,          0.00001246,          0.00009161,          2.03707744,          0.00000233,          0.00001246,          0.00009161,          2.03707744,          0.00000233,          0.00001246,          0.00009161,          2.01475061,          0.00000037,          0.00000197,          0.00001452,          2.02062604,          0.00000107,          0.00000574,          0.00004223,          2.01475062,          0.00000037,          0.00000197,          0.00001452,          2.02062605,          0.00000107,          0.00000574,          0.00004223,          2.01475065,          0.00000037,          0.00000197,          0.00001451,          2.02062606,          0.00000107,          0.00000574,          0.00004223
,,,,,    3.000000,    0.089938,          2.03707763,          0.00000249,          0.00001430,          0.00010517,          2.03707763,          0.00000249,          0.00001430,          0.00010517,          2.03707763,          0.00000249,          0.00001430,          0.00010517,          2.01475064,          0.00000039,          0.00000227,          0.00001667,          2.02062613,          0.00000114,          0.00000659,          0.00004848,          2.01475065,          0.00000039,          0.00000227,          0.00001667,          2.02062614,          0.00000114,          0.00000659,          0.00004848,          2.01475068,          0.00000039,          0.00000227,          0.00001666,          2.02062616,          0.00000114,          0.00000659,          0.00004848
,,,,,    3.200000,    0.095934,          2.03707784,          0.00000266,          0.00001627,          0.00011966,          2.03707784,          0.00000266,          0.00001627,          0.00011966,          2.03707784,          0.00000266,          0.00001627,          0.00011966,          2.01475067,          0.00000042,          0.00000258,          0.00001896,          2.02062622,          0.00000122,          0.00000750,          0.00005517,          2.01475068,          0.00000042,          0.00000258,          0.00001896,          2.02062623,          0.00000122,          0.00000750,          0.00005516,          2.01475072,          0.00000042,          0.00000258,          0.00001896,          2.02062625,          0.00000122,          0.00000750,          0.00005516
,,,,,    3.400000,    0.101929,          2.03707806,          0.00000283,          0.00001837,          0.00013509,          2.03707806,          0.00000283,          0.00001837,          0.00013509,          2.03707806,          0.00000283,          0.00001837,          0.00013509,          2.01475071,          0.00000045,          0.00000291,          0.00002141,          2.02062632,          0.00000130,          0.00000847,          0.00006228,          2.01475072,          0.00000045,          0.00000291,          0.00002141,          2.02062633,          0.00000130,          0.00000847,          0.00006228,          2.01475077,          0.00000045,          0.00000291,          0.00002140,          2.02062636,          0.00000130,          0.00000847,          0.00006227
,,,,,    3.600000,    0.107925,          2.03707829,          0.00000299,          0.00002059,          0.00015146,          2.03707829,          0.00000299,          0.00002059,          0.00015146,          2.03707829,          0.00000299,          0.00002059,          0.00015146,          2.01475074,          0.00000047,          0.00000326,          0.00002400,          2.02062643,          0.00000137,          0.00000949,          0.00006982,          2.01475076,          0.00000047,          0.00000326,          0.00002400,          2.02062644,          0.00000137,          0.00000949,          0.00006982,          2.01475081,          0.00000047,          0.00000326,          0.00002399,          2.02062647,          0.00000137,          0.00000949,          0.00006982
,,,,,    3.800000,    0.113921,          2.03707854,          0.00000316,          0.00002295,          0.00016875,          2.03707854,          0.00000316,          0.00002295,          0.00016875,          2.03707854,          0.00000316,          0.00002295,          0.00016875,          2.01475078,          0.00000050,          0.00000364,          0.00002674,          2.02062654,          0.00000145,          0.00001058,          0.00007780,          2.01475080,          0.00000050,          0.00000364,          0.00002674,          2.02062655,          0.00000145,          0.00001058,          0.00007780,          2.01475086,          0.00000050,          0.00000363,          0.00002673,          2.02062659,          0.00000145,          0.00001058,          0.00007779
