../../../pdielec -processors 4 -program castep phonon -vmin 300 -vmax 800 -sphere -vf 0.1 -method mie -size 1.0 0.1 -sigma 5 -csv command.csv -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   4,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   5,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
,,,,,,cm-1,thz,mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1/0.1mu),mie_sphere_real_dielectric(vf=0.1/1/0.1mu),mie_sphere_imag_dielectric(vf=0.1/1/0.1mu),mie_sphere_absorption_coefficent_cm-1(vf=0.1/1/0.1mu)
,,,,,,  311.600000,    9.341533,          0.72383689,          1.50965674,         -0.00906995,          6.27661601
,,,,,,  311.800000,    9.347529,          0.72647672,          1.50933949,         -0.00909624,          6.29950684
,,,,,,  312.000000,    9.353525,          0.72912815,          1.50902139,         -0.00912262,          6.32249816
,,,,,,  312.200000,    9.359521,          0.73179123,          1.50870241,         -0.00914911,          6.34559064
,,,,,,  312.400000,    9.365516,          0.73446607,          1.50838256,         -0.00917570,          6.36878494
,,,,,,  312.600000,    9.371512,          0.73715272,          1.50806184,         -0.00920239,          6.39208173
,,,,,,  312.800000,    9.377508,          0.73985127,          1.50774022,         -0.00922919,          6.41548171
,,,,,,  313.000000,    9.383504,          0.74256180,          1.50741772,         -0.00925609,          6.43898556
,,,,,,  313.200000,    9.389500,          0.74528439,          1.50709433,         -0.00928310,          6.46259398
,,,,,,  313.400000,    9.395496,          0.74801912,          1.50677004,         -0.00931022,          6.48630767
,,,,,,  313.600000,    9.401491,          0.75076607,          1.50644485,         -0.00933744,          6.51012735
,,,,,,  313.800000,    9.407487,          0.75352532,          1.50611875,         -0.00936477,          6.53405373
,,,,,,  314.000000,    9.413483,          0.75629697,          1.50579174,         -0.00939221,          6.55808755
,,,,,,  314.200000,    9.419479,          0.75908109,          1.50546381,         -0.00941976,          6.58222954
,,,,,,  314.400000,    9.425475,          0.76187778,          1.50513496,         -0.00944742,          6.60648045
,,,,,,  314.600000,    9.431471,          0.76468711,          1.50480518,         -0.00947519,          6.63084104
,,,,,,  314.800000,    9.437467,          0.76750917,          1.50447447,         -0.00950307,          6.65531205
,,,,,,  315.000000,    9.443462,          0.77034406,          1.50414282,         -0.00953107,          6.67989428
,,,,,,  315.200000,    9.449458,          0.77319187,          1.50381023,         -0.00955918,          6.70458849
,,,,,,  315.400000,    9.455454,          0.77605268,          1.50347669,         -0.00958740,          6.72939548
,,,,,,  315.600000,    9.461450,          0.77892659,          1.50314220,         -0.00961573,          6.75431605
,,,,,,  315.800000,    9.467446,          0.78181369,          1.50280674,         -0.00964419,          6.77935100
,,,,,,  316.000000,    9.473442,          0.78471408,          1.50247032,         -0.00967276,          6.80450115
,,,,,,  316.200000,    9.479438,          0.78762784,          1.50213294,         -0.00970144,          6.82976734
,,,,,,  316.400000,    9.485433,          0.79055509,          1.50179457,         -0.00973025,          6.85515039
,,,,,,  316.600000,    9.491429,          0.79349591,          1.50145523,         -0.00975917,          6.88065115
,,,,,,  316.800000,    9.497425,          0.79645040,          1.50111489,         -0.00978822,          6.90627048
,,,,,,  317.000000,    9.503421,          0.79941867,          1.50077357,         -0.00981738,          6.93200926
,,,,,,  317.200000,    9.509417,          0.80240081,          1.50043124,         -0.00984667,          6.95786835
,,,,,,  317.400000,    9.515413,          0.80539693,          1.50008792,         -0.00987608,          6.98384865
,,,,,,  317.600000,    9.521408,          0.80840713,          1.49974358,         -0.00990561,          7.00995106
,,,,,,  317.800000,    9.527404,          0.81143152,          1.49939822,         -0.00993527,          7.03617648
,,,,,,  318.000000,    9.533400,          0.81447021,          1.49905184,         -0.00996505,          7.06252585
,,,,,,  318.200000,    9.539396,          0.81752329,          1.49870443,         -0.00999496,          7.08900010
,,,,,,  318.400000,    9.545392,          0.82059088,          1.49835599,         -0.01002500,          7.11560017
,,,,,,  318.600000,    9.551388,          0.82367310,          1.49800651,         -0.01005516,          7.14232703
,,,,,,  318.800000,    9.557384,          0.82677005,          1.49765598,         -0.01008546,          7.16918163
,,,,,,  319.000000,    9.563379,          0.82988184,          1.49730439,         -0.01011588,          7.19616498
,,,,,,  319.200000,    9.569375,          0.83300860,          1.49695174,         -0.01014644,          7.22327805
,,,,,,  319.400000,    9.575371,          0.83615043,          1.49659803,         -0.01017713,          7.25052186
,,,,,,  319.600000,    9.581367,          0.83930746,          1.49624324,         -0.01020795,          7.27789743
,,,,,,  319.800000,    9.587363,          0.84247980,          1.49588738,         -0.01023891,          7.30540580
,,,,,,  320.000000,    9.593359,          0.84566758,          1.49553042,         -0.01027000,          7.33304801
