../../../pdielec -size 0 -size 1 -size 3 -processors 4 -method ap -method bruggeman -matrix ptfe -sigma 5 -ellipsoid 0 0 1 0.5 -csv command1.csv -masses program -program abinit BaTiO3.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,   65.74,         1.935128,                8177.076262,  1041.1377,     5.0
   1,   65.74,         1.935115,                8177.020635,  1041.1306,     5.0
   2,   65.75,         1.934571,                8174.722771,  1040.8380,     5.0
   3,  198.01,        37.112289,              156821.689833, 19967.1577,     5.0
   4,  198.01,        37.112483,              156822.507130, 19967.2618,     5.0
   5,  198.02,        37.125602,              156877.944975, 19974.3203,     5.0
   6,  270.59,         0.000000,                   0.000141,     0.0000,     5.0
   7,  270.59,         0.000000,                   0.000128,     0.0000,     5.0
   8,  270.59,         0.000000,                   0.000001,     0.0000,     5.0
   9,  279.35,        33.055024,              139677.308047, 17784.2672,     5.0
  10,  279.35,        33.063614,              139713.606233, 17788.8888,     5.0
  11,  279.35,        33.063542,              139713.302190, 17788.8501,     5.0
  12,  493.63,        20.513710,               86682.731944, 11036.7882,     5.0
  13,  493.63,        20.515522,               86690.388406, 11037.7631,     5.0
  14,  493.63,        20.515522,               86690.388408, 11037.7631,     5.0
,,,,,,cm-1,thz,ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,    2.000000,    0.059958,          0.00328738,          0.00328738,          0.00328738,          0.00009746,          0.00009746,          0.00009744,          8.12613696,          8.12613696,          8.12613696,          2.73013795,          2.73013840,          2.73014195,          0.00390139,          0.00390139,          0.00390139,          0.00006704,          0.00006704,          0.00006703,          0.00746915,          0.00746915,          0.00746915,          0.00022143,          0.00022143,          0.00022140
,,,,,,    2.200000,    0.065954,          0.00397888,          0.00397888,          0.00397888,          0.00011795,          0.00011795,          0.00011793,          8.12646321,          8.12646321,          8.12646321,          2.73014356,          2.73014410,          2.73014841,          0.00429286,          0.00429286,          0.00429286,          0.00007376,          0.00007376,          0.00007375,          0.00904029,          0.00904029,          0.00904029,          0.00026799,          0.00026799,          0.00026795
,,,,,,    2.400000,    0.071950,          0.00473670,          0.00473670,          0.00473670,          0.00014040,          0.00014040,          0.00014038,          8.12682065,          8.12682065,          8.12682065,          2.73014971,          2.73015035,          2.73015548,          0.00468470,          0.00468470,          0.00468470,          0.00008049,          0.00008048,          0.00008047,          0.01076211,          0.01076211,          0.01076211,          0.00031901,          0.00031900,          0.00031895
,,,,,,    2.600000,    0.077946,          0.00556096,          0.00556096,          0.00556096,          0.00016482,          0.00016482,          0.00016479,          8.12720930,          8.12720930,          8.12720930,          2.73015640,          2.73015715,          2.73016316,          0.00507697,          0.00507697,          0.00507697,          0.00008722,          0.00008721,          0.00008720,          0.01263489,          0.01263489,          0.01263489,          0.00037449,          0.00037449,          0.00037441
,,,,,,    2.800000,    0.083942,          0.00645180,          0.00645180,          0.00645180,          0.00019121,          0.00019121,          0.00019116,          8.12762920,          8.12762920,          8.12762920,          2.73016362,          2.73016449,          2.73017146,          0.00546969,          0.00546969,          0.00546969,          0.00009395,          0.00009395,          0.00009393,          0.01465894,          0.01465894,          0.01465894,          0.00043444,          0.00043444,          0.00043433
,,,,,,    3.000000,    0.089938,          0.00740938,          0.00740938,          0.00740938,          0.00021957,          0.00021957,          0.00021951,          8.12808040,          8.12808040,          8.12808040,          2.73017138,          2.73017238,          2.73018039,          0.00586289,          0.00586289,          0.00586289,          0.00010069,          0.00010069,          0.00010066,          0.01683461,          0.01683461,          0.01683461,          0.00049887,          0.00049887,          0.00049873
,,,,,,    3.200000,    0.095934,          0.00843383,          0.00843383,          0.00843383,          0.00024990,          0.00024990,          0.00024982,          8.12856292,          8.12856292,          8.12856292,          2.73017968,          2.73018082,          2.73018992,          0.00625661,          0.00625661,          0.00625661,          0.00010744,          0.00010744,          0.00010741,          0.01916225,          0.01916225,          0.01916225,          0.00056779,          0.00056779,          0.00056761
,,,,,,    3.400000,    0.101929,          0.00952535,          0.00952535,          0.00952535,          0.00028221,          0.00028221,          0.00028211,          8.12907681,          8.12907681,          8.12907681,          2.73018852,          2.73018980,          2.73020008,          0.00665089,          0.00665089,          0.00665089,          0.00011420,          0.00011419,          0.00011416,          0.02164225,          0.02164225,          0.02164225,          0.00064121,          0.00064120,          0.00064097
,,,,,,    3.600000,    0.107925,          0.01068411,          0.01068411,          0.01068411,          0.00031651,          0.00031650,          0.00031638,          8.12962212,          8.12962212,          8.12962212,          2.73019789,          2.73019933,          2.73021086,          0.00704577,          0.00704577,          0.00704577,          0.00012096,          0.00012096,          0.00012091,          0.02427503,          0.02427503,          0.02427503,          0.00071913,          0.00071912,          0.00071884
,,,,,,    3.800000,    0.113921,          0.01191030,          0.01191030,          0.01191030,          0.00035279,          0.00035278,          0.00035263,          8.13019890,          8.13019890,          8.13019890,          2.73020780,          2.73020941,          2.73022225,          0.00744127,          0.00744127,          0.00744127,          0.00012773,          0.00012773,          0.00012767,          0.02706102,          0.02706102,          0.02706102,          0.00080156,          0.00080155,          0.00080120
