../../../pdielec -size 0 -size 1 -size 3 -processors 4 -method ap -method bruggeman -matrix ptfe -sigma 5 -ellipsoid 0 0 1 0.5 -csv command1.csv -masses program -program abinit BaTiO3.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,   65.74,         1.935128,                8177.076262,  1041.1377,     5.0
   1,   65.74,         1.935115,                8177.020635,  1041.1306,     5.0
   2,   65.75,         1.934571,                8174.722771,  1040.8380,     5.0
   3,  198.01,        37.112289,              156821.689833, 19967.1577,     5.0
   4,  198.01,        37.112483,              156822.507130, 19967.2618,     5.0
   5,  198.02,        37.125602,              156877.944975, 19974.3203,     5.0
   6,  270.59,         0.000000,                   0.000141,     0.0000,     5.0
   7,  270.59,         0.000000,                   0.000128,     0.0000,     5.0
   8,  270.59,         0.000000,                   0.000001,     0.0000,     5.0
   9,  279.35,        33.055024,              139677.308047, 17784.2672,     5.0
  10,  279.35,        33.063614,              139713.606233, 17788.8888,     5.0
  11,  279.35,        33.063542,              139713.302190, 17788.8501,     5.0
  12,  493.63,        20.513710,               86682.731944, 11036.7882,     5.0
  13,  493.63,        20.515522,               86690.388406, 11037.7631,     5.0
  14,  493.63,        20.515522,               86690.388408, 11037.7631,     5.0
,,,,,,cm-1,thz,ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,   75.200000,    2.254439,         55.12636575,         55.12636575,         55.12636575,          7.14501816,          7.15362489,          7.21259068,          3.46116984,          3.46116984,          3.46116984,          2.56590188,          2.56624505,          2.56907583,          1.15073778,          1.15073778,          1.15073778,          0.12676375,          0.12692502,          0.12804241,        125.25086528,        125.25086528,        125.25086528,         16.23396890,         16.25352399,         16.38749827
,,,,,,   75.400000,    2.260435,         52.71524521,         52.71524521,         52.71524521,          6.63590118,          6.64393547,          6.69803257,          3.54043171,          3.54043171,          3.54043171,          2.56837649,          2.56872790,          2.57161954,          1.10837099,          1.10837099,          1.10837099,          0.11747043,          0.11762078,          0.11864568,        119.77263487,        119.77263487,        119.77263487,         15.07722038,         15.09547483,         15.21838713
,,,,,,   75.600000,    2.266431,         50.46652678,         50.46652678,         50.46652678,          6.17011786,          6.17762719,          6.22723066,          3.61722402,          3.61722402,          3.61722402,          2.57117637,          2.57153608,          2.57448948,          1.06835178,          1.06835178,          1.06835178,          0.10899141,          0.10913175,          0.11007155,        114.66339312,        114.66339312,        114.66339312,         14.01892888,         14.03599060,         14.14869306
,,,,,,   75.800000,    2.272427,         48.36641937,         48.36641937,         48.36641937,          5.74459781,          5.75162504,          5.79707439,          3.69165343,          3.69165343,          3.69165343,          2.57420393,          2.57457193,          2.57758754,          1.03051440,          1.03051440,          1.03051440,          0.10126353,          0.10139469,          0.10225604,        109.89180575,        109.89180575,        109.89180575,         13.05211828,         13.06808463,         13.17134866
,,,,,,   76.000000,    2.278423,         46.40247060,         46.40247060,         46.40247060,          5.35614017,          5.36272397,          5.40432638,          3.76382174,          3.76382174,          3.76382174,          2.57738147,          2.57775774,          2.58083566,          0.99470715,          0.99470715,          0.99470715,          0.09422310,          0.09434584,          0.09513473,        105.42958012,        105.42958012,        105.42958012,         12.16951602,         12.18447486,         12.27899836
,,,,,,   76.200000,    2.284419,         44.56343408,         44.56343408,         44.56343408,          5.00156832,          5.00774358,          5.04577693,          3.83382601,          3.83382601,          3.83382601,          2.58064782,          2.58103231,          2.58417240,          0.96079103,          0.96079103,          0.96079103,          0.08780831,          0.08792330,          0.08864513,        101.25116362,        101.25116362,        101.25116362,         11.36390456,         11.37793518,         11.46434956
,,,,,,   76.400000,    2.290414,         42.83914699,         42.83914699,         42.83914699,          4.67782853,          4.68362676,          4.71834258,          3.90175872,          3.90175872,          3.90175872,          2.58395534,          2.58434796,          2.58754988,          0.92863846,          0.92863846,          0.92863846,          0.08196062,          0.08206847,          0.08272812,         97.33346567,         97.33346567,         97.33346567,         10.62834567,         10.64151966,         10.72039636
,,,,,,   76.600000,    2.296410,         41.22041858,         41.22041858,         41.22041858,          4.38204836,          4.38749806,          4.41912412,          3.96770796,          3.96770796,          3.96770796,          2.58726729,          2.58766796,          2.59093122,          0.89813227,          0.89813227,          0.89813227,          0.07662559,          0.07672685,          0.07732874,         93.65560427,         93.65560427,         93.65560427,          9.95631293,          9.96869503,         10.04055160
,,,,,,   76.800000,    2.302406,         39.69892928,         39.69892928,         39.69892928,          4.11156681,          4.11669375,          4.14543654,          4.03175758,          4.03175758,          4.03175758,          2.59055574,          2.59096434,          2.59428836,          0.86916466,          0.86916466,          0.86916466,          0.07175323,          0.07184838,          0.07239651,         90.19867672,         90.19867672,         90.19867672,          9.34176040,          9.35340915,          9.41871474
,,,,,,   77.000000,    2.308402,         38.26713987,         38.26713987,         38.26713987,          3.86394551,          3.86877303,          3.89481991,          4.09398741,          4.09398741,          4.09398741,          2.59379969,          2.59421613,          2.59760024,          0.84163637,          0.84163637,          0.84163637,          0.06729801,          0.06738751,          0.06788551,         86.94555346,         86.94555346,         86.94555346,          8.77914791,          8.79011637,          8.84929665
,,,,,,   77.200000,    2.314398,         36.91821026,         36.91821026,         36.91821026,          3.63696751,          3.64151679,          3.66503795,          4.15447338,          4.15447338,          4.15447338,          2.59698371,          2.59740787,          2.60085134,          0.81545587,          0.81545587,          0.81545587,          0.06321878,          0.06330303,          0.06375419,         83.88069333,         83.88069333,         83.88069333,          8.26343839,          8.27377468,          8.32721635
,,,,,,   77.400000,    2.320394,         35.64592686,         35.64592686,         35.64592686,          3.42862843,          3.43291872,          3.45406895,          4.21328777,          4.21328777,          4.21328777,          2.60009670,          2.60052845,          2.60403055,          0.79053868,          0.79053868,          0.79053868,          0.05947847,          0.05955785,          0.05996517,         80.98997861,         80.98997861,         80.98997861,          7.79007780,          7.79982563,          7.84788039
,,,,,,   77.600000,    2.326389,         34.44463780,         34.44463780,         34.44463780,          3.23712328,          3.24117207,          3.26009231,          4.27049933,          4.27049933,          4.27049933,          2.60313095,          2.60357019,          2.60713013,          0.76680673,          0.76680673,          0.76680673,          0.05604384,          0.05611868,          0.05648488,         78.26056788,         78.26056788,         78.26056788,          7.35496501,          7.36416414,          7.40715222
,,,,,,   77.800000,    2.332385,         33.30919532,         33.30919532,         33.30919532,          3.06083092,          3.06465415,          3.08147291,          4.32617349,          4.32617349,          4.32617349,          2.60608144,          2.60652804,          2.61014506,          0.74418782,          0.74418782,          0.74418782,          0.05288509,          0.05295569,          0.05328327,         75.68076508,         75.68076508,         75.68076508,          6.95441675,          6.96310339,          7.00131677
,,,,,,   78.000000,    2.338381,         32.23490444,         32.23490444,         32.23490444,          2.89829798,          2.90191018,          2.91674478,          4.38037253,          4.38037253,          4.38037253,          2.60894518,          2.60939904,          2.61307235,          0.72261506,          0.72261506,          0.72261506,          0.04997560,          0.05004224,          0.05033347,         73.23990288,         73.23990288,         73.23990288,          6.58513081,          6.59333799,          6.62704321
,,,,,,   78.200000,    2.344377,         31.21747731,         31.21747731,         31.21747731,          2.74822274,          2.75163721,          2.76459486,          4.43315569,          4.43315569,          4.43315569,          2.61172077,          2.61218177,          2.61591061,          0.70202645,          0.70202645,          0.70202645,          0.04729155,          0.04735449,          0.04761145,         70.92823900,         70.92823900,         70.92823900,          6.24414963,          6.25190753,          6.28134821
,,,,,,   78.400000,    2.350373,         30.25299256,         30.25299256,         30.25299256,          2.60943989,          2.61266876,          2.62384761,          4.48457939,          4.48457939,          4.48457939,          2.61440802,          2.61487605,          2.61865966,          0.68236447,          0.68236447,          0.68236447,          0.04481166,          0.04487113,          0.04509572,         68.73686381,         68.73686381,         68.73686381,          5.92882551,          5.93616174,          5.96156084
,,,,,,   78.600000,    2.356369,         29.33785914,         29.33785914,         29.33785914,          2.48090619,          2.48396060,          2.49345056,          4.53469734,          4.53469734,          4.53469734,          2.61700765,          2.61748261,          2.62132025,          0.66357567,          0.66357567,          0.66357567,          0.04251692,          0.04257313,          0.04276711,         66.65761824,         66.65761824,         66.65761824,          5.63678818,          5.64372801,          5.66528984
,,,,,,   78.800000,    2.362365,         28.46878411,         28.46878411,         28.46878411,          2.36168740,          2.36457756,          2.37246112,          4.58356069,          4.58356069,          4.58356069,          2.61952106,          2.62000284,          2.62389379,          0.64561037,          0.64561037,          0.64561037,          0.04039031,          0.04044346,          0.04060843,         64.68302046,         64.68302046,         64.68302046,          5.36591495,          5.37248160,          5.39039358
,,,,,,   79.000000,    2.368360,         27.64274385,         27.64274385,         27.64274385,          2.25094636,          2.25368165,          2.26003459,          4.63121817,          4.63121817,          4.63121817,          2.62195014,          2.62243865,          2.62638221,          0.62842231,          0.62842231,          0.62842231,          0.03841662,          0.03846688,          0.03860432,         62.80620062,         62.80620062,         62.80620062,          5.11430375,          5.12051851,          5.13495282
,,,,,,   79.200000,    2.374356,         26.85695846,         26.85695846,         26.85695846,          2.14793228,          2.15052133,          2.15541332,          4.67771620,          4.67771620,          4.67771620,          2.62429714,          2.62479229,          2.62878779,          0.61196842,          0.61196842,          0.61196842,          0.03658219,          0.03662974,          0.03674100,         61.02084258,         61.02084258,         61.02084258,          4.88024874,          4.88613122,          4.89724618
,,,,,,   79.400000,    2.380352,         26.10886882,         26.10886882,         26.10886882,          2.05197118,          2.05442193,          2.05791714,          4.72309905,          4.72309905,          4.72309905,          2.62656458,          2.62706626,          2.63111306,          0.59620854,          0.59620854,          0.59620854,          0.03487479,          0.03491978,          0.03500612,         59.32113186,         59.32113186,         59.32113186,          4.66221858,          4.66778684,          4.67572820
,,,,,,   79.600000,    2.386348,         25.39611611,         25.39611611,         25.39611611,          1.96245735,          1.96477713,          1.96693468,          4.76740890,          4.76740890,          4.76740890,          2.62875508,          2.62926323,          2.63336069,          0.58110517,          0.58110517,          0.58110517,          0.03328343,          0.03332600,          0.03338858,         57.70170905,         57.70170905,         57.70170905,          4.45883703,          4.46410773,          4.46900984
,,,,,,   79.800000,    2.392344,         24.71652343,         24.71652343,         24.71652343,          1.87884576,          1.88104134,          1.88191579,          4.81068600,          4.81068600,          4.81068600,          2.63087142,          2.63138593,          2.63553345,          0.56662330,          0.56662330,          0.56662330,          0.03179825,          0.03183852,          0.03187841,         56.15762809,         56.15762809,         56.15762809,          4.26886579,          4.27385430,          4.27584111
,,,,,,   80.000000,    2.398340,         24.06807938,         24.06807938,         24.06807938,          1.80064537,          1.80272301,          1.80236475,          4.85296875,          4.85296875,          4.85296875,          2.63291635,          2.63343716,          2.63763417,          0.55273021,          0.55273021,          0.55273021,          0.03041033,          0.03044843,          0.03046663,         54.68431897,         54.68431897,         54.68431897,          4.09118918,          4.09590972,          4.09509572
,,,,,,   80.200000,    2.404336,         23.44892330,         23.44892330,         23.44892330,          1.72741322,          1.72937871,          1.72783431,          4.89429379,          4.89429379,          4.89429379,          2.63489267,          2.63541970,          2.63966564,          0.53939527,          0.53939527,          0.53939527,          0.02911167,          0.02914771,          0.02914513,         53.27755409,         53.27755409,         53.27755409,          3.92480072,          3.92926646,          3.92575747
,,,,,,   80.400000,    2.410331,         22.85733193,         22.85733193,         22.85733193,          1.65874910,          1.66060782,          1.65792038,          4.93469611,          4.93469611,          4.93469611,          2.63680313,          2.63733630,          2.64163065,          0.52658981,          0.52658981,          0.52658981,          0.02789503,          0.02792911,          0.02790660,         51.93341812,         51.93341812,         51.93341812,          3.76879117,          3.77301431,          3.76690826
,,,,,,   80.600000,    2.416327,         22.29170753,         22.29170753,         22.29170753,          1.59429101,          1.59604794,          1.59225738,          4.97420912,          4.97420912,          4.97420912,          2.63865042,          2.63918967,          2.64353192,          0.51428695,          0.51428695,          0.51428695,          0.02675385,          0.02678607,          0.02674442,         50.64828088,         50.64828088,         50.64828088,          3.62233799,          3.62632985,          3.61771745
,,,,,,   80.800000,    2.422323,         21.75056708,         21.75056708,         21.75056708,          1.53371099,          1.53537075,          1.53051409,          5.01286475,          5.01286475,          5.01286475,          2.64043719,          2.64098245,          2.64537212,          0.50246149,          0.50246149,          0.50246149,          0.02568221,          0.02571266,          0.02565262,         49.41877285,         49.41877285,         49.41877285,          3.48469605,          3.48846714,          3.47743247
,,,,,,   81.000000,    2.428319,         21.23253259,         21.23253259,         21.23253259,          1.47671152,          1.47827842,          1.47238998,          5.05069351,          5.05069351,          5.05069351,          2.64216599,          2.64271720,          2.64715382,          0.49108979,          0.49108979,          0.49108979,          0.02467474,          0.02470350,          0.02462574,         48.24176313,         48.24176313,         48.24176313,          3.35518935,          3.35874946,          3.34537052
,,,,,,   81.200000,    2.434315,         20.73632228,         20.73632228,         20.73632228,          1.42302231,          1.42450036,          1.41761202,          5.08772458,          5.08772458,          5.08772458,          2.64383928,          2.64439637,          2.64887951,          0.48014962,          0.48014962,          0.48014962,          0.02372656,          0.02375371,          0.02365887,         47.11433946,         47.11433946,         47.11433946,          3.23320381,          3.23656204,          3.22091126
,,,,,,   81.400000,    2.440311,         20.26074272,         20.26074272,         20.26074272,          1.37239749,          1.37379042,          1.36593180,          5.12398586,          5.12398586,          5.12398586,          2.64545944,          2.64602237,          2.65055160,          0.46962011,          0.46962011,          0.46962011,          0.02283323,          0.02285883,          0.02274751,         46.03379022,         46.03379022,         46.03379022,          3.11818077,          3.12134560,          3.10349027
,,,,,,   81.600000,    2.446306,         19.80468154,         19.80468154,         19.80468154,          1.32461306,          1.32592436,          1.31712298,          5.15950405,          5.15950405,          5.15950405,          2.64702875,          2.64759746,          2.65217239,          0.45948162,          0.45948162,          0.45948162,          0.02199070,          0.02201484,          0.02188759,         44.99758810,         44.99758810,         44.99758810,          3.00961128,          3.01259063,          2.99259330
,,,,,,   81.800000,    2.452302,         19.36710100,         19.36710100,         19.36710100,          1.27946468,          1.28069759,          1.27097907,          5.19430471,          5.19430471,          5.19430471,          2.64854941,          2.64912384,          2.65374409,          0.44971565,          0.44971565,          0.44971565,          0.02119531,          0.02121803,          0.02107537,         44.00337526,         44.00337526,         44.00337526,          2.90703107,          2.90983233,          2.88775120
,,,,,,   82.000000,    2.458298,         18.94703203,         18.94703203,         18.94703203,          1.23676568,          1.23792325,          1.22731144,          5.22841232,          5.22841232,          5.22841232,          2.65002350,          2.65060360,          2.65526881,          0.44030481,          0.44030481,          0.44030481,          0.02044367,          0.02046504,          0.02030746,         43.04894988,         43.04894988,         43.04894988,          2.81001604,          2.81264612,          2.78853535
,,,,,,   82.200000,    2.464294,         18.54356884,         18.54356884,         18.54356884,          1.19634535,          1.19743042,          1.18594750,          5.26185030,          5.26185030,          5.26185030,          2.65145302,          2.65203876,          2.65674857,          0.43123266,          0.43123266,          0.43123266,          0.01973272,          0.01975280,          0.01958074,         42.13225398,         42.13225398,         42.13225398,          2.71817828,          2.72064363,          2.69455367
,,,,,,   82.400000,    2.470290,         18.15586405,         18.15586405,         18.15586405,          1.15804729,          1.15906252,          1.14672920,          5.29464113,          5.29464113,          5.29464113,          2.65283989,          2.65343121,          2.65818531,          0.42248374,          0.42248374,          0.42248374,          0.01905964,          0.01907847,          0.01889236,         41.25136224,         41.25136224,         41.25136224,          2.63116247,          2.63346915,          2.60544700
,,,,,,   82.600000,    2.476286,         17.78312422,         17.78312422,         17.78312422,          1.12172810,          1.12267599,          1.10951154,          5.32680633,          5.32680633,          5.32680633,          2.65418592,          2.65478278,          2.65958085,          0.41404344,          0.41404344,          0.41404344,          0.01842184,          0.01843948,          0.01823972,         40.40447191,         40.40447191,         40.40447191,          2.54864280,          2.55079647,          2.52088594
,,,,,,   82.800000,    2.482282,         17.42460576,         17.42460576,         17.42460576,          1.08725610,          1.08813899,          1.07416139,          5.35836655,          5.35836655,          5.35836655,          2.65549284,          2.65609521,          2.66093696,          0.40589795,          0.40589795,          0.40589795,          0.01781696,          0.01783346,          0.01762041,         39.58989350,         39.58989350,         39.58989350,          2.47032007,          2.47232604,          2.44056799
,,,,,,   83.000000,    2.488277,         17.07961125,         17.07961125,         17.07961125,          1.05451024,          1.05533031,          1.04055633,          5.38934160,          5.38934160,          5.38934160,          2.65676232,          2.65737015,          2.66225530,          0.39803426,          0.39803426,          0.39803426,          0.01724283,          0.01725821,          0.01703224,         38.80604242,         38.80604242,         38.80604242,          2.39591922,          2.39778249,          2.36421500
,,,,,,   83.200000,    2.494273,         16.74748600,         16.74748600,         16.74748600,          1.02337906,          1.02413838,          1.00858367,          5.41975048,          5.41975048,          5.41975048,          2.65799592,          2.65860919,          2.66353745,          0.39044002,          0.39044002,          0.39044002,          0.01669743,          0.01671175,          0.01647317,         38.05143118,         38.05143118,         38.05143118,          2.32518706,          2.32691229,          2.29157093
,,,,,,   83.400000,    2.500269,         16.42761497,         16.42761497,         16.42761497,          0.99375987,          0.99446038,          0.97813953,          5.44961144,          5.44961144,          5.44961144,          2.65919514,          2.65981380,          2.66478495,          0.38310358,          0.38310358,          0.38310358,          0.01617893,          0.01619221,          0.01594135,         37.32466237,         37.32466237,         37.32466237,          2.25789024,          2.25948185,          2.22239976
,,,,,,   83.600000,    2.506265,         16.11941991,         16.11941991,         16.11941991,          0.96555791,          0.96620143,          0.94912806,          5.47894200,          5.47894200,          5.47894200,          2.66036141,          2.66098544,          2.66599921,          0.37601391,          0.37601391,          0.37601391,          0.01568561,          0.01569791,          0.01543503,         36.62442217,         36.62442217,         36.62442217,          2.19381347,          2.19527559,          2.15648373
,,,,,,   83.800000,    2.512261,         15.82235676,         15.82235676,         15.82235676,          0.93868566,          0.93927390,          0.92146073,          5.50775898,          5.50775898,          5.50775898,          2.66149608,          2.66212544,          2.66718162,          0.36916055,          0.36916055,          0.36916055,          0.01521591,          0.01522725,          0.01495264,         35.94947441,         35.94947441,         35.94947441,          2.13275788,          2.13409441,          2.09362166
,,,,,,   84.000000,    2.518257,         15.53591321,         15.53591321,         15.53591321,          0.91306217,          0.91359676,          0.89505563,          5.53607857,          5.53607857,          5.53607857,          2.66260045,          2.66323511,          2.66833348,          0.36253358,          0.36253358,          0.36253358,          0.01476838,          0.01477879,          0.01449271,         35.29865512,         35.29865512,         35.29865512,          2.07453957,          2.07575418,          2.03362749
,,,,,,   84.200000,    2.524252,         15.25960655,         15.25960655,         15.25960655,          0.88861252,          0.88909496,          0.86983696,          5.56391631,          5.56391631,          5.56391631,          2.66367573,          2.66431567,          2.66945602,          0.35612363,          0.35612363,          0.35612363,          0.01434167,          0.01435118,          0.01405387,         34.67086752,         34.67086752,         34.67086752,          2.01898829,          2.02008444,          1.97632895
,,,,,,   84.400000,    2.530248,         14.99298159,         14.99298159,         14.99298159,          0.86526726,          0.86569900,          0.84573445,          5.59128714,          5.59128714,          5.59128714,          2.66472311,          2.66536830,          2.67055044,          0.34992177,          0.34992177,          0.34992177,          0.01393454,          0.01394318,          0.01363486,         34.06507743,         34.06507743,         34.06507743,          1.96594627,          1.96692721,          1.92156639
,,,,,,   84.600000,    2.536244,         14.73560884,         14.73560884,         14.73560884,          0.84296198,          0.84334436,          0.82268289,          5.61820546,          5.61820546,          5.61820546,          2.66574369,          2.66639411,          2.67161785,          0.34391955,          0.34391955,          0.34391955,          0.01354582,          0.01355362,          0.01323451,         33.48030897,         33.48030897,         33.48030897,          1.91526714,          1.91613594,          1.86919167
,,,,,,   84.800000,    2.542240,         14.48708274,         14.48708274,         14.48708274,          0.82163684,          0.82197114,          0.80062173,          5.64468510,          5.64468510,          5.64468510,          2.66673854,          2.66739415,          2.67265933,          0.33810894,          0.33810894,          0.33810894,          0.01317446,          0.01318144,          0.01285174,         32.91564071,         32.91564071,         32.91564071,          1.86681497,          1.86757454,          1.81906721
,,,,,,   85.000000,    2.548236,         14.24702011,         14.24702011,         14.24702011,          0.80123623,          0.80152367,          0.77949468,          5.67073939,          5.67073939,          5.67073939,          2.66770866,          2.66836945,          2.67367589,          0.33248230,          0.33248230,          0.33248230,          0.01281945,          0.01282563,          0.01248553,         32.37020203,         32.37020203,         32.37020203,          1.82046341,          1.82111648,          1.77106511
,,,,,,   85.200000,    2.554232,         14.01505866,         14.01505866,         14.01505866,          0.78170842,          0.78195013,          0.75924935,          5.69638114,          5.69638114,          5.69638114,          2.66865501,          2.66932096,          2.67466851,          0.32703237,          0.32703237,          0.32703237,          0.01247986,          0.01248528,          0.01213495,         31.84316979,         31.84316979,         31.84316979,          1.77609488,          1.77664405,          1.72506635
,,,,,,   85.400000,    2.560228,         13.79085565,         13.79085565,         13.79085565,          0.76300520,          0.76320225,          0.73983695,          5.72162271,          5.72162271,          5.72162271,          2.66957851,          2.67024960,          2.67563812,          0.32175226,          0.32175226,          0.32175226,          0.01215484,          0.01215951,          0.01179913,         31.33376524,         31.33376524,         31.33376524,          1.73359990,          1.73404761,          1.68096004
,,,,,,   85.600000,    2.566223,         13.57408661,         13.57408661,         13.57408661,          0.74508165,          0.74523507,          0.72121198,          5.74647602,          5.74647602,          5.74647602,          2.67048003,          2.67115624,          2.67658559,          0.31663541,          0.31663541,          0.31663541,          0.01184358,          0.01184752,          0.01147725,         30.84125120,         30.84125120,         30.84125120,          1.69287637,          1.69322493,          1.63864283
,,,,,,   85.800000,    2.572219,         13.36444423,         13.36444423,         13.36444423,          0.72789585,          0.72800659,          0.70333198,          5.77095252,          5.77095252,          5.77095252,          2.67136040,          2.67204172,          2.67751176,          0.31167555,          0.31167555,          0.31167555,          0.01154533,          0.01154856,          0.01116855,         30.36492940,         30.36492940,         30.36492940,          1.65382904,          1.65408065,          1.59801825
,,,,,,   86.000000,    2.578215,         13.16163722,         13.16163722,         13.16163722,          0.71140863,          0.71147761,          0.68615730,          5.79506329,          5.79506329,          5.79506329,          2.67222043,          2.67290683,          2.67841744,          0.30686673,          0.30686673,          0.30686673,          0.01125939,          0.01126193,          0.01087233,         29.90413803,         29.90413803,         29.90413803,          1.61636897,          1.61652569,          1.55899621
,,,,,,   86.200000,    2.584211,         12.96538936,         12.96538936,         12.96538936,          0.69558342,          0.69561149,          0.66965087,          5.81881900,          5.81881900,          5.81881900,          2.67306085,          2.67375233,          2.67930340,          0.30220329,          0.30220329,          0.30220329,          0.01098511,          0.01098698,          0.01058791,         29.45824949,         29.45824949,         29.45824949,          1.58041300,          1.58047678,          1.52149247
,,,,,,   86.400000,    2.590207,         12.77543855,         12.77543855,         12.77543855,          0.68038596,          0.68037395,          0.65377800,          5.84222992,          5.84222992,          5.84222992,          2.67388240,          2.67457893,          2.68017036,          0.29767982,          0.29767982,          0.29767982,          0.01072188,          0.01072308,          0.01031468,         29.02666829,         29.02666829,         29.02666829,          1.54588333,          1.54585604,          1.48542824
,,,,,,   86.600000,    2.596203,         12.59153596,         12.59153596,         12.59153596,          0.66578420,          0.66573288,          0.63850622,          5.86530600,          5.86530600,          5.86530600,          2.67468577,          2.67538734,          2.68101902,          0.29329115,          0.29329115,          0.29329115,          0.01046912,          0.01046968,          0.01005206,         28.60882905,         28.60882905,         28.60882905,          1.51270715,          1.51259054,          1.45072971
,,,,,,   86.800000,    2.602199,         12.41344523,         12.41344523,         12.41344523,          0.65174811,          0.65165821,          0.62380509,          5.88805683,          5.88805683,          5.88805683,          2.67547161,          2.67617821,          2.68185004,          0.28903237,          0.28903237,          0.28903237,          0.01022629,          0.01022623,          0.00979951,         28.20419477,         28.20419477,         28.20419477,          1.48081619,          1.48061193,          1.41732774
,,,,,,   87.000000,    2.608194,         12.24094174,         12.24094174,         12.24094174,          0.63824952,          0.63812173,          0.60964606,          5.91049165,          5.91049165,          5.91049165,          2.67624054,          2.67695216,          2.68266406,          0.28489879,          0.28489879,          0.28489879,          0.00999291,          0.00999223,          0.00955651,         27.81225506,         27.81225506,         27.81225506,          1.45014646,          1.44985611,          1.38515745
,,,,,,   87.200000,    2.614190,         12.07381187,         12.07381187,         12.07381187,          0.62526197,          0.62509695,          0.59600233,          5.93261942,          5.93261942,          5.93261942,          2.67699319,          2.67770981,          2.68346170,          0.28088591,          0.28088591,          0.28088591,          0.00976848,          0.00976721,          0.00932260,         27.43252459,         27.43252459,         27.43252459,          1.42063788,          1.42026294,          1.35415797
,,,,,,   87.400000,    2.620186,         11.91185241,         11.91185241,         11.91185241,          0.61276065,          0.61255903,          0.58284873,          5.95444877,          5.95444877,          5.95444877,          2.67773010,          2.67845172,          2.68424352,          0.27698945,          0.27698945,          0.27698945,          0.00955258,          0.00955072,          0.00909731,         27.06454165,         27.06454165,         27.06454165,          1.39223402,          1.39177592,          1.32427209
,,,,,,   87.600000,    2.626182,         11.75486994,         11.75486994,         11.75486994,          0.60072221,          0.60048457,          0.57016159,          5.97598804,          5.97598804,          5.97598804,          2.67845184,          2.67917845,          2.68501008,          0.27320532,          0.27320532,          0.27320532,          0.00934479,          0.00934236,          0.00888024,         26.70786676,         26.70786676,         26.70786676,          1.36488186,          1.36434193,          1.29544606
,,,,,,   87.800000,    2.632178,         11.60268025,         11.60268025,         11.60268025,          0.58912469,          0.58885160,          0.55791867,          5.99724531,          5.99724531,          5.99724531,          2.67915894,          2.67989052,          2.68576193,          0.26952960,          0.26952960,          0.26952960,          0.00914471,          0.00914172,          0.00867097,         26.36208140,         26.36208140,         26.36208140,          1.33853150,          1.33791102,          1.26762928
,,,,,,   88.000000,    2.638174,         11.45510785,         11.45510785,         11.45510785,          0.57794742,          0.57763941,          0.54609898,          6.01822839,          6.01822839,          6.01822839,          2.67985188,          2.68058843,          2.68649955,          0.26595856,          0.26595856,          0.26595856,          0.00895197,          0.00894843,          0.00846915,         26.02678682,         26.02678682,         26.02678682,          1.31313599,          1.31243616,          1.24077416
