../../../pdielec -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command.csv -hessian crystal -masses program -program crystal Na2SO42.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   89.26,         0.497111,                2100.592235,   267.4557,     5.0
   5,  118.10,         0.995309,                4205.778012,   535.4963,     5.0
   8,  145.87,         4.023222,               17000.527864,  2164.5744,     5.0
  10,  170.52,         0.306644,                1295.754966,   164.9806,     5.0
  13,  213.27,         3.287984,               13893.704165,  1769.0014,     5.0
  15,  244.82,         3.382395,               14292.647813,  1819.7964,     5.0
  18,  320.65,         0.469851,                1985.401376,   252.7892,     5.0
  20,  386.93,         0.252536,                1067.116382,   135.8695,     5.0
  21,  439.57,         2.970752,               12553.208649,  1598.3242,     5.0
  22,  440.83,         9.325304,               39405.005909,  5017.2012,     5.0
  25,  481.29,         2.008389,                8486.648684,  1080.5537,     5.0
  27,  618.77,        20.456442,               86440.743006, 11005.9772,     5.0
  30,  914.05,         8.354441,               35302.525941,  4494.8572,     5.0
  32, 1111.12,        26.432955,              111695.093928, 14221.4611,     5.0
  34, 1129.18,        22.568179,               95364.097073, 12142.1340,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    2.000000,    0.059958,          0.00020210,          0.00018273,          0.00026919,          0.00017492,          0.00018683,          0.00017850,          0.00038603,          2.23903841,          2.23322236,          2.28082694,          2.23404971,          2.23890050,          2.23817899,          2.35365821,          0.00006058,          0.00005470,          0.00008144,          0.00005238,          0.00005600,          0.00005350,          0.00011864,          0.00022096,          0.00019978,          0.00029431,          0.00019124,          0.00020426,          0.00019516,          0.00042205
,,,,,,    2.200000,    0.065954,          0.00024457,          0.00022112,          0.00032576,          0.00021167,          0.00022608,          0.00021601,          0.00046715,          2.23904349,          2.23322695,          2.28083377,          2.23405410,          2.23890520,          2.23818348,          2.35366816,          0.00006665,          0.00006018,          0.00008960,          0.00005762,          0.00006161,          0.00005885,          0.00013052,          0.00026740,          0.00024176,          0.00035616,          0.00023143,          0.00024718,          0.00023617,          0.00051074
,,,,,,    2.400000,    0.071950,          0.00029110,          0.00026318,          0.00038774,          0.00025194,          0.00026909,          0.00025710,          0.00055602,          2.23904906,          2.23323197,          2.28084125,          2.23405891,          2.23891034,          2.23818839,          2.35367906,          0.00007272,          0.00006566,          0.00009776,          0.00006287,          0.00006722,          0.00006421,          0.00014241,          0.00031827,          0.00028774,          0.00042392,          0.00027545,          0.00029420,          0.00028109,          0.00060790
,,,,,,    2.600000,    0.077946,          0.00034170,          0.00030891,          0.00045512,          0.00029572,          0.00031585,          0.00030178,          0.00065264,          2.23905510,          2.23323744,          2.28084938,          2.23406415,          2.23891594,          2.23819373,          2.35369091,          0.00007879,          0.00007114,          0.00010592,          0.00006812,          0.00007283,          0.00006957,          0.00015430,          0.00037358,          0.00033774,          0.00049759,          0.00032332,          0.00034532,          0.00032995,          0.00071354
,,,,,,    2.800000,    0.083942,          0.00039635,          0.00035831,          0.00052792,          0.00034302,          0.00036635,          0.00035005,          0.00075702,          2.23906164,          2.23324334,          2.28085816,          2.23406980,          2.23892198,          2.23819950,          2.35370370,          0.00008487,          0.00007662,          0.00011409,          0.00007337,          0.00007844,          0.00007494,          0.00016619,          0.00043334,          0.00039174,          0.00057718,          0.00037503,          0.00040054,          0.00038272,          0.00082767
,,,,,,    3.000000,    0.089938,          0.00045508,          0.00041138,          0.00060614,          0.00039383,          0.00042062,          0.00040191,          0.00086918,          2.23906866,          2.23324968,          2.28086760,          2.23407587,          2.23892847,          2.23820570,          2.35371745,          0.00009095,          0.00008211,          0.00012226,          0.00007862,          0.00008406,          0.00008030,          0.00017809,          0.00049755,          0.00044977,          0.00066270,          0.00043058,          0.00045987,          0.00043941,          0.00095029
,,,,,,    3.200000,    0.095934,          0.00051788,          0.00046813,          0.00068978,          0.00044817,          0.00047864,          0.00045736,          0.00098910,          2.23907616,          2.23325645,          2.28087768,          2.23408235,          2.23893541,          2.23821233,          2.35373215,          0.00009703,          0.00008759,          0.00013043,          0.00008387,          0.00008967,          0.00008567,          0.00019000,          0.00056621,          0.00051181,          0.00075415,          0.00048999,          0.00052331,          0.00050004,          0.00108141
,,,,,,    3.400000,    0.101929,          0.00058476,          0.00052856,          0.00077885,          0.00050603,          0.00054042,          0.00051641,          0.00111681,          2.23908415,          2.23326367,          2.28088843,          2.23408926,          2.23894279,          2.23821939,          2.35374779,          0.00010311,          0.00009308,          0.00013861,          0.00008913,          0.00009529,          0.00009104,          0.00020191,          0.00063933,          0.00057788,          0.00085153,          0.00055325,          0.00059086,          0.00056460,          0.00122104
,,,,,,    3.600000,    0.107925,          0.00065572,          0.00059267,          0.00087336,          0.00056741,          0.00060597,          0.00057906,          0.00125232,          2.23909263,          2.23327132,          2.28089982,          2.23409659,          2.23895063,          2.23822687,          2.35376439,          0.00010920,          0.00009857,          0.00014680,          0.00009439,          0.00010092,          0.00009642,          0.00021383,          0.00071691,          0.00064798,          0.00095486,          0.00062037,          0.00066252,          0.00063310,          0.00136918
,,,,,,    3.800000,    0.113921,          0.00073077,          0.00066047,          0.00097332,          0.00063234,          0.00067529,          0.00064532,          0.00139562,          2.23910159,          2.23327942,          2.28091187,          2.23410434,          2.23895892,          2.23823479,          2.35378195,          0.00011530,          0.00010407,          0.00015499,          0.00009965,          0.00010654,          0.00010179,          0.00022576,          0.00079896,          0.00072210,          0.00106415,          0.00069134,          0.00073831,          0.00070554,          0.00152586
,,,,,,    4.000000,    0.119917,          0.00080991,          0.00073196,          0.00107872,          0.00070079,          0.00074839,          0.00071519,          0.00154674,          2.23911104,          2.23328795,          2.28092457,          2.23411251,          2.23896765,          2.23824313,          2.35380045,          0.00012139,          0.00010957,          0.00016319,          0.00010492,          0.00011217,          0.00010718,          0.00023770,          0.00088549,          0.00080026,          0.00117939,          0.00076619,          0.00081823,          0.00078193,          0.00169108
,,,,,,    4.200000,    0.125913,          0.00089315,          0.00080714,          0.00118959,          0.00077279,          0.00082526,          0.00078867,          0.00170568,          2.23912097,          2.23329692,          2.28093793,          2.23412110,          2.23897684,          2.23825191,          2.35381991,          0.00012750,          0.00011507,          0.00017139,          0.00011019,          0.00011780,          0.00011256,          0.00024964,          0.00097650,          0.00088246,          0.00130060,          0.00084491,          0.00090227,          0.00086227,          0.00186485
,,,,,,    4.400000,    0.131909,          0.00098050,          0.00088602,          0.00130592,          0.00084834,          0.00090591,          0.00086578,          0.00187245,          2.23913140,          2.23330633,          2.28095194,          2.23413011,          2.23898647,          2.23826111,          2.35384032,          0.00013360,          0.00012057,          0.00017960,          0.00011547,          0.00012344,          0.00011795,          0.00026160,          0.00107201,          0.00096871,          0.00142779,          0.00092750,          0.00099045,          0.00094657,          0.00204719
,,,,,,    4.600000,    0.137905,          0.00107197,          0.00096861,          0.00142773,          0.00092743,          0.00099035,          0.00094651,          0.00204707,          2.23914231,          2.23331618,          2.28096661,          2.23413954,          2.23899656,          2.23827074,          2.35386169,          0.00013972,          0.00012608,          0.00018782,          0.00012074,          0.00012907,          0.00012334,          0.00027356,          0.00117200,          0.00105900,          0.00156097,          0.00101398,          0.00108277,          0.00103483,          0.00223810
,,,,,,    4.800000,    0.143900,          0.00116755,          0.00105491,          0.00155503,          0.00101008,          0.00107858,          0.00103087,          0.00222954,          2.23915371,          2.23332648,          2.28098193,          2.23414940,          2.23900709,          2.23828081,          2.35388401,          0.00014583,          0.00013159,          0.00019604,          0.00012602,          0.00013472,          0.00012874,          0.00028553,          0.00127651,          0.00115335,          0.00170014,          0.00110434,          0.00117923,          0.00112707,          0.00243760
