../../../pdielec -processors 4 -method ap -method maxwell -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO_cart 1 0 0 -LO_cart 0 1 0 -LO_cart 0 0 1 -LO 1 0 0 -LO 0 1 0 -LO 0 0 1 -csv command.csv -program abinit Na2SO42.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   85.20,         0.604913,                2556.119055,   325.4552,     5.0
   4,   93.46,         0.000000,                   0.000002,     0.0000,     5.0
   5,  104.82,         0.000000,                   0.000015,     0.0000,     5.0
   6,  106.11,         0.000000,                   0.000096,     0.0000,     5.0
   7,  107.62,         0.974362,                4117.262731,   524.2262,     5.0
   8,  169.65,         0.000000,                   0.000022,     0.0000,     5.0
   9,  170.29,         2.772131,               11713.915871,  1491.4621,     5.0
  10,  181.55,         0.000000,                   0.000019,     0.0000,     5.0
  11,  193.25,         0.624387,                2638.409275,   335.9327,     5.0
  12,  215.43,         0.000000,                   0.000001,     0.0000,     5.0
  13,  270.30,         2.578097,               10894.006775,  1387.0680,     5.0
  15,  310.24,         2.623786,               11087.068458,  1411.6494,     5.0
  17,  356.69,         0.000000,                   0.000002,     0.0000,     5.0
  18,  387.96,         0.167583,                 708.140656,    90.1633,     5.0
  19,  404.71,         0.000000,                   0.000001,     0.0000,     5.0
  20,  452.70,         0.190638,                 805.558381,   102.5669,     5.0
  21,  532.53,         5.767675,               24371.888749,  3103.1253,     5.0
  22,  535.74,         0.000000,                   0.000001,     0.0000,     5.0
  23,  541.06,         4.249280,               17955.755665,  2286.1978,     5.0
  24,  560.29,         0.000000,                   0.000002,     0.0000,     5.0
  25,  572.94,         2.081734,                8796.574935,  1120.0147,     5.0
  27,  655.44,        20.297456,               85768.929732, 10920.4393,     5.0
  28,  681.06,         0.000000,                   0.000001,     0.0000,     5.0
  30, 1033.63,         8.108230,               34262.135258,  4362.3905,     5.0
  32, 1230.28,        25.520433,              107839.141133, 13730.5059,     5.0
  33, 1244.38,         0.000000,                   0.000001,     0.0000,     5.0
  34, 1251.07,        23.002629,               97199.911202, 12375.8771,     5.0
  35, 1265.69,         0.000000,                   0.000002,     0.0000,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),maxwell_plate(0 0 1)_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),maxwell_plate(0 0 1)_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    2.600000,    0.077946,          0.00061951,          0.00053505,          0.00032825,          0.00051732,          2.25868373,          2.21816607,          2.18478711,          2.21744622,          0.00014348,          0.00012280,          0.00007477,          0.00011871,          0.00067732,          0.00058498,          0.00035889,          0.00056560
,,,,,,    2.800000,    0.083942,          0.00071864,          0.00062066,          0.00038076,          0.00060011,          2.25869562,          2.21817625,          2.18479331,          2.21745606,          0.00015455,          0.00013227,          0.00008054,          0.00012787,          0.00078570,          0.00067858,          0.00041630,          0.00065611
,,,,,,    3.000000,    0.089938,          0.00082515,          0.00071265,          0.00043719,          0.00068907,          2.25870840,          2.21818718,          2.18479997,          2.21746663,          0.00016563,          0.00014175,          0.00008630,          0.00013704,          0.00090216,          0.00077916,          0.00047798,          0.00075337
,,,,,,    3.200000,    0.095934,          0.00093907,          0.00081103,          0.00049752,          0.00078422,          2.25872206,          2.21819888,          2.18480709,          2.21747793,          0.00017671,          0.00015124,          0.00009208,          0.00014622,          0.00102670,          0.00088672,          0.00054395,          0.00085740
,,,,,,    3.400000,    0.101929,          0.00106040,          0.00091581,          0.00056178,          0.00088556,          2.25873660,          2.21821132,          2.18481467,          2.21748996,          0.00018780,          0.00016074,          0.00009785,          0.00015540,          0.00115935,          0.00100127,          0.00061420,          0.00096820
,,,,,,    3.600000,    0.107925,          0.00118915,          0.00102700,          0.00062996,          0.00099310,          2.25875203,          2.21822453,          2.18482272,          2.21750272,          0.00019891,          0.00017024,          0.00010363,          0.00016459,          0.00130012,          0.00112284,          0.00068875,          0.00108578
,,,,,,    3.800000,    0.113921,          0.00132533,          0.00114460,          0.00070207,          0.00110686,          2.25876835,          2.21823850,          2.18483122,          2.21751622,          0.00021002,          0.00017975,          0.00010942,          0.00017379,          0.00144901,          0.00125142,          0.00076759,          0.00121015
,,,,,,    4.000000,    0.119917,          0.00146896,          0.00126864,          0.00077812,          0.00122684,          2.25878555,          2.21825322,          2.18484019,          2.21753045,          0.00022114,          0.00018926,          0.00011521,          0.00018300,          0.00160605,          0.00138703,          0.00085073,          0.00134133
,,,,,,    4.200000,    0.125913,          0.00162005,          0.00139911,          0.00085811,          0.00135307,          2.25880364,          2.21826870,          2.18484962,          2.21754542,          0.00023227,          0.00019879,          0.00012100,          0.00019222,          0.00177124,          0.00152968,          0.00093819,          0.00147934
,,,,,,    4.400000,    0.131909,          0.00177862,          0.00153604,          0.00094205,          0.00148555,          2.25882262,          2.21828495,          2.18485951,          2.21756113,          0.00024342,          0.00020832,          0.00012680,          0.00020144,          0.00194460,          0.00167938,          0.00102996,          0.00162418
,,,,,,    4.600000,    0.137905,          0.00194468,          0.00167943,          0.00102994,          0.00162429,          2.25884249,          2.21830196,          2.18486986,          2.21757757,          0.00025458,          0.00021787,          0.00013260,          0.00021068,          0.00212616,          0.00183616,          0.00112605,          0.00177587
,,,,,,    4.800000,    0.143900,          0.00211824,          0.00182930,          0.00112180,          0.00176931,          2.25886325,          2.21831972,          2.18488068,          2.21759474,          0.00026574,          0.00022743,          0.00013841,          0.00021993,          0.00231592,          0.00200002,          0.00122648,          0.00193443
,,,,,,    5.000000,    0.149896,          0.00229933,          0.00198567,          0.00121762,          0.00192063,          2.25888490,          2.21833826,          2.18489196,          2.21761266,          0.00027692,          0.00023699,          0.00014422,          0.00022919,          0.00251390,          0.00217097,          0.00133125,          0.00209987
,,,,,,    5.200000,    0.155892,          0.00248795,          0.00214854,          0.00131742,          0.00207826,          2.25890745,          2.21835755,          2.18490371,          2.21763132,          0.00028812,          0.00024657,          0.00015004,          0.00023847,          0.00272013,          0.00234904,          0.00144037,          0.00227221
,,,,,,    5.400000,    0.161888,          0.00268414,          0.00231794,          0.00142121,          0.00224222,          2.25893089,          2.21837761,          2.18491592,          2.21765071,          0.00029933,          0.00025616,          0.00015587,          0.00024775,          0.00293462,          0.00253425,          0.00155384,          0.00245146
,,,,,,    5.600000,    0.167884,          0.00288790,          0.00249387,          0.00152899,          0.00241252,          2.25895522,          2.21839844,          2.18492859,          2.21767085,          0.00031055,          0.00026576,          0.00016170,          0.00025705,          0.00315740,          0.00272660,          0.00167168,          0.00263766
,,,,,,    5.800000,    0.173880,          0.00309926,          0.00267635,          0.00164078,          0.00258918,          2.25898045,          2.21842003,          2.18494174,          2.21769173,          0.00032179,          0.00027537,          0.00016754,          0.00026636,          0.00338848,          0.00292611,          0.00179389,          0.00283081
,,,,,,    6.000000,    0.179875,          0.00331823,          0.00286541,          0.00175657,          0.00277223,          2.25900658,          2.21844239,          2.18495534,          2.21771335,          0.00033304,          0.00028500,          0.00017339,          0.00027569,          0.00362789,          0.00313281,          0.00192050,          0.00303093
,,,,,,    6.200000,    0.185871,          0.00354484,          0.00306106,          0.00187639,          0.00296167,          2.25903360,          2.21846552,          2.18496942,          2.21773572,          0.00034431,          0.00029464,          0.00017924,          0.00028502,          0.00387564,          0.00334672,          0.00205149,          0.00323805
,,,,,,    6.400000,    0.191867,          0.00377911,          0.00326332,          0.00200023,          0.00315753,          2.25906153,          2.21848941,          2.18498396,          2.21775883,          0.00035560,          0.00030429,          0.00018510,          0.00029438,          0.00413178,          0.00356785,          0.00218690,          0.00345219
,,,,,,    6.600000,    0.197863,          0.00402106,          0.00347220,          0.00212812,          0.00335983,          2.25909035,          2.21851408,          2.18499897,          2.21778269,          0.00036690,          0.00031396,          0.00019097,          0.00030375,          0.00439631,          0.00379622,          0.00232672,          0.00367337
,,,,,,    6.800000,    0.203859,          0.00427072,          0.00368772,          0.00226006,          0.00356859,          2.25912008,          2.21853952,          2.18501445,          2.21780730,          0.00037822,          0.00032364,          0.00019684,          0.00031314,          0.00466926,          0.00403186,          0.00247096,          0.00390161
,,,,,,    7.000000,    0.209855,          0.00452810,          0.00390992,          0.00239605,          0.00378384,          2.25915072,          2.21856574,          2.18503040,          2.21783265,          0.00038956,          0.00033334,          0.00020273,          0.00032254,          0.00495067,          0.00427479,          0.00261965,          0.00413694
,,,,,,    7.200000,    0.215851,          0.00479324,          0.00413879,          0.00253612,          0.00400558,          2.25918225,          2.21859273,          2.18504682,          2.21785876,          0.00040092,          0.00034305,          0.00020862,          0.00033196,          0.00524055,          0.00452503,          0.00277279,          0.00437939
