 
Percentage energies in vibrational modes
 Freq(cm-1),  %mol-cme,  %mol-rot,      %vib,    %mol-0,    %mol-1,    %mol-2,    %mol-3
     566.61,      0.17,      1.18,     98.65,     22.48,     22.48,     27.52,     27.52
     566.98,      0.41,      1.33,     98.26,     25.22,     25.22,     24.78,     24.78
     678.58,      0.02,      0.18,     99.80,     49.83,     49.83,      0.17,      0.17
     680.70,      0.03,      0.21,     99.76,     49.48,     49.48,      0.52,      0.52
     719.66,      0.01,      0.02,     99.96,      0.58,      0.58,     49.42,     49.42
     721.35,      0.01,      0.04,     99.94,      0.63,      0.63,     49.37,     49.37
     749.81,      0.01,      0.10,     99.89,      0.15,      0.15,     49.85,     49.85
     749.82,      0.00,      0.08,     99.92,      0.19,      0.19,     49.81,     49.81
     764.92,      0.00,      0.02,     99.98,     49.43,     49.43,      0.57,      0.57
     765.74,      0.01,      0.02,     99.97,     49.77,     49.77,      0.23,      0.23
     779.05,      0.01,      0.02,     99.97,      0.55,      0.55,     49.45,     49.45
     779.52,      0.01,      0.04,     99.95,      0.68,      0.68,     49.32,     49.32
     802.19,      0.00,      0.02,     99.98,     49.53,     49.53,      0.47,      0.47
     802.71,      0.00,      0.02,     99.97,     49.14,     49.14,      0.86,      0.86
     827.31,      0.00,      0.05,     99.94,     48.47,     48.47,      1.53,      1.53
     828.64,      0.00,      0.05,     99.94,     49.74,     49.74,      0.26,      0.26
     849.73,      0.00,      0.01,     99.98,      1.51,      1.51,     48.49,     48.49
     850.43,      0.00,      0.01,     99.98,      0.25,      0.25,     49.75,     49.75
     874.26,      0.01,      0.08,     99.92,     45.03,     45.03,      4.97,      4.97
     874.31,      0.01,      0.07,     99.92,     49.58,     49.58,      0.42,      0.42
     878.07,      0.01,      0.20,     99.78,      0.41,      0.41,     49.59,     49.59
     878.81,      0.02,      0.19,     99.80,      5.12,      5.12,     44.88,     44.88
     915.20,      0.01,      0.09,     99.90,     49.67,     49.67,      0.33,      0.33
     915.87,      0.02,      0.08,     99.89,     49.39,     49.39,      0.61,      0.61
     924.93,      0.00,      0.04,     99.96,      0.62,      0.62,     49.38,     49.38
     925.32,      0.00,      0.06,     99.94,      0.28,      0.28,     49.72,     49.72
     958.39,      0.00,      0.01,     99.99,     49.76,     49.76,      0.24,      0.24
     959.90,      0.00,      0.01,     99.99,     49.39,     49.39,      0.61,      0.61
     964.89,      0.00,      0.00,     99.99,      0.17,      0.17,     49.83,     49.83
     966.47,      0.00,      0.00,    100.00,      0.73,      0.73,     49.27,     49.27
     989.64,      0.00,      0.03,     99.97,     27.83,     27.83,     22.17,     22.17
     990.35,      0.00,      0.03,     99.97,     22.01,     22.01,     27.99,     27.99
     991.66,      0.00,      0.02,     99.98,     27.92,     27.92,     22.08,     22.08
     991.82,      0.00,      0.01,     99.99,     21.86,     21.86,     28.14,     28.14
    1021.21,      0.01,      0.05,     99.94,     49.63,     49.63,      0.37,      0.37
    1021.48,      0.00,      0.04,     99.96,     49.82,     49.82,      0.18,      0.18
    1034.12,      0.01,      0.03,     99.96,      0.10,      0.10,     49.90,     49.90
    1034.42,      0.01,      0.03,     99.96,      0.09,      0.09,     49.91,     49.91
    1040.47,      0.00,      0.02,     99.97,      0.83,      0.83,     49.17,     49.17
    1040.65,      0.00,      0.02,     99.97,      0.34,      0.34,     49.66,     49.66
    1050.31,      0.00,      0.03,     99.97,     48.99,     48.99,      1.01,      1.01
    1050.88,      0.00,      0.02,     99.97,     49.76,     49.76,      0.24,      0.24
    1070.40,      0.01,      0.08,     99.92,      0.56,      0.56,     49.44,     49.44
    1071.87,      0.01,      0.08,     99.92,      0.72,      0.72,     49.28,     49.28
    1089.79,      0.00,      0.04,     99.96,     49.61,     49.61,      0.39,      0.39
    1090.20,      0.00,      0.04,     99.95,     49.56,     49.56,      0.44,      0.44
    1092.69,      0.00,      0.01,     99.98,     49.92,     49.92,      0.08,      0.08
    1094.65,      0.00,      0.01,     99.99,     49.74,     49.74,      0.26,      0.26
    1138.96,      0.00,      0.02,     99.98,      0.46,      0.46,     49.54,     49.54
    1140.25,      0.00,      0.01,     99.99,      0.42,      0.42,     49.58,     49.58
    1150.16,      0.01,      0.14,     99.85,     44.56,     44.56,      5.44,      5.44
    1152.05,      0.01,      0.12,     99.87,     35.13,     35.13,     14.87,     14.87
    1153.65,      0.00,      0.02,     99.98,      4.23,      4.23,     45.77,     45.77
    1154.14,      0.01,      0.05,     99.94,     13.20,     13.20,     36.80,     36.80
    1166.63,      0.01,      0.05,     99.94,      3.40,      3.40,     46.60,     46.60
    1167.07,      0.01,      0.06,     99.92,      2.11,      2.11,     47.89,     47.89
    1173.52,      0.00,      0.00,     99.99,     47.67,     47.67,      2.33,      2.33
    1173.62,      0.00,      0.01,     99.99,     49.44,     49.44,      0.56,      0.56
    1191.07,      0.00,      0.01,     99.99,     49.63,     49.63,      0.37,      0.37
    1191.13,      0.00,      0.02,     99.98,     48.48,     48.48,      1.52,      1.52
    1200.82,      0.01,      0.04,     99.95,      0.83,      0.83,     49.17,     49.17
    1204.08,      0.01,      0.04,     99.95,      0.51,      0.51,     49.49,     49.49
    1251.58,      0.00,      0.03,     99.97,     47.34,     47.34,      2.66,      2.66
    1253.22,      0.00,      0.01,     99.99,      2.56,      2.56,     47.44,     47.44
    1253.31,      0.00,      0.01,     99.98,      2.76,      2.76,     47.24,     47.24
    1254.36,      0.00,      0.02,     99.98,     47.58,     47.58,      2.42,      2.42
    1276.33,      0.00,      0.01,     99.99,     49.72,     49.72,      0.28,      0.28
    1276.75,      0.00,      0.00,    100.00,     49.65,     49.65,      0.35,      0.35
    1291.41,      0.00,      0.02,     99.98,      0.26,      0.26,     49.74,     49.74
    1291.60,      0.00,      0.02,     99.98,      0.25,      0.25,     49.75,     49.75
    1307.56,      0.00,      0.00,    100.00,     49.33,     49.33,      0.67,      0.67
    1308.97,      0.00,      0.00,    100.00,     49.11,     49.11,      0.89,      0.89
    1325.19,      0.00,      0.01,     99.99,     10.07,     10.07,     39.93,     39.93
    1325.77,      0.00,      0.01,     99.99,      4.77,      4.77,     45.23,     45.23
    1330.10,      0.00,      0.01,     99.99,     44.40,     44.40,      5.60,      5.60
    1330.74,      0.00,      0.00,     99.99,     37.48,     37.48,     12.52,     12.52
    1341.80,      0.00,      0.00,    100.00,     10.42,     10.42,     39.58,     39.58
    1342.28,      0.00,      0.00,    100.00,     11.72,     11.72,     38.28,     38.28
    1343.93,      0.00,      0.00,    100.00,      4.49,      4.49,     45.51,     45.51
    1344.41,      0.00,      0.01,     99.99,     18.83,     18.83,     31.17,     31.17
    1348.47,      0.00,      0.00,    100.00,     35.69,     35.69,     14.31,     14.31
    1349.93,      0.00,      0.00,    100.00,     23.45,     23.45,     26.55,     26.55
    1355.45,      0.00,      0.01,     99.99,      0.46,      0.46,     49.54,     49.54
    1355.75,      0.00,      0.01,     99.99,      1.85,      1.85,     48.15,     48.15
    1363.63,      0.00,      0.00,    100.00,     48.18,     48.18,      1.82,      1.82
    1364.40,      0.00,      0.01,     99.99,     47.42,     47.42,      2.58,      2.58
    1372.01,      0.00,      0.00,    100.00,      1.21,      1.21,     48.79,     48.79
    1373.74,      0.00,      0.00,    100.00,     25.28,     25.28,     24.72,     24.72
    1377.28,      0.00,      0.00,    100.00,     45.18,     45.18,      4.82,      4.82
    1379.40,      0.00,      0.00,    100.00,     11.60,     11.60,     38.40,     38.40
    1380.18,      0.00,      0.01,     99.99,      5.89,      5.89,     44.11,     44.11
