../../../../pdielec -processors 4 -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -csv command1.csv -masses program -hessian crystal -program crystal ZnO_CPHF.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.258071,               68700.105030,  8747.1690,     5.0
   7,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
   8,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  304.800000,    9.137674,          0.49208089,          2.72855417,          3.56560327,          2.45253272,          2.83172082,          3.09904737,          0.00312940,          0.01864561,          0.02548985,          1.66200405,          9.21569637,         12.04283113
,,,,,,  305.000000,    9.143670,          0.49360788,          2.74525828,          3.58605638,          2.45278327,          2.83321289,          3.10108739,          0.00313721,          0.01875240,          0.02562769,          1.66716145,          9.27211450,         12.11191154
,,,,,,  305.200000,    9.149666,          0.49514056,          2.76210595,          3.60667302,          2.45303444,          2.83471349,          3.10313843,          0.00314505,          0.01886011,          0.02576665,          1.67233807,          9.32901755,         12.18154427
,,,,,,  305.400000,    9.155662,          0.49667895,          2.77909884,          3.62745494,          2.45328625,          2.83622269,          3.10520058,          0.00315292,          0.01896876,          0.02590675,          1.67753401,          9.38641105,         12.25173524
,,,,,,  305.600000,    9.161658,          0.49822310,          2.79623860,          3.64840392,          2.45353868,          2.83774059,          3.10727392,          0.00316081,          0.01907836,          0.02604801,          1.68274937,          9.44430064,         12.32249044
,,,,,,  305.800000,    9.167653,          0.49977302,          2.81352694,          3.66952175,          2.45379175,          2.83926724,          3.10935856,          0.00316873,          0.01918892,          0.02619043,          1.68798422,          9.50269201,         12.39381597
,,,,,,  306.000000,    9.173649,          0.50132874,          2.83096555,          3.69081028,          2.45404545,          2.84080272,          3.11145459,          0.00317668,          0.01930046,          0.02633403,          1.69323868,          9.56159096,         12.46571799
,,,,,,  306.200000,    9.179645,          0.50289029,          2.84855618,          3.71227134,          2.45429979,          2.84234713,          3.11356210,          0.00318466,          0.01941297,          0.02647882,          1.69851283,          9.62100333,         12.53820276
,,,,,,  306.400000,    9.185641,          0.50445771,          2.86630058,          3.73390681,          2.45455476,          2.84390052,          3.11568118,          0.00319267,          0.01952649,          0.02662481,          1.70380676,          9.68093510,         12.61127661
,,,,,,  306.600000,    9.191637,          0.50603100,          2.88420056,          3.75571860,          2.45481038,          2.84546298,          3.11781193,          0.00320070,          0.01964101,          0.02677203,          1.70912057,          9.74139230,         12.68494598
,,,,,,  306.800000,    9.197633,          0.50761021,          2.90225792,          3.77770864,          2.45506664,          2.84703460,          3.11995445,          0.00320877,          0.01975655,          0.02692047,          1.71445436,          9.80238105,         12.75921737
,,,,,,  307.000000,    9.203628,          0.50919537,          2.92047450,          3.79987888,          2.45532354,          2.84861544,          3.12210884,          0.00321686,          0.01987312,          0.02707016,          1.71980823,          9.86390759,         12.83409740
,,,,,,  307.200000,    9.209624,          0.51078650,          2.93885217,          3.82223131,          2.45558110,          2.85020561,          3.12427519,          0.00322498,          0.01999073,          0.02722112,          1.72518226,          9.92597820,         12.90959276
,,,,,,  307.400000,    9.215620,          0.51238363,          2.95739282,          3.84476794,          2.45583930,          2.85180517,          3.12645361,          0.00323313,          0.02010940,          0.02737334,          1.73057657,          9.98859930,         12.98571025
,,,,,,  307.600000,    9.221616,          0.51398678,          2.97609839,          3.86749080,          2.45609816,          2.85341421,          3.12864419,          0.00324131,          0.02022914,          0.02752686,          1.73599124,         10.05177738,         13.06245676
,,,,,,  307.800000,    9.227612,          0.51559600,          2.99497082,          3.89040197,          2.45635767,          2.85503282,          3.13084705,          0.00324951,          0.02034997,          0.02768168,          1.74142637,         10.11551903,         13.13983926
,,,,,,  308.000000,    9.233608,          0.51721131,          3.01401208,          3.91350353,          2.45661784,          2.85666109,          3.13306228,          0.00325775,          0.02047188,          0.02783782,          1.74688207,         10.17983094,         13.21786484
,,,,,,  308.200000,    9.239604,          0.51883273,          3.03322420,          3.93679763,          2.45687866,          2.85829910,          3.13528999,          0.00326601,          0.02059491,          0.02799529,          1.75235843,         10.24471990,         13.29654069
