File name                      :  dipoles.traj
Time step                      :  1.0 fs
Nyquist frequency              :  16678.2047599076 cm-1
Frequency step                 :  8.143654667923633 cm-1
Temperature                    :  300.0 K
Volume                         :  943.1593756602 angstrom^3
Trajectory length              :  33916
Not using blocking, fft length :  4096
Block time period              :  4096.0 fs
Block nyquist frequency        :  4.071827333961816 cm-1
Number of blocks               :  8
No windowing               : 
Static permittivity
2.0080814727472873,0.022595517662823333,0.024107079114410207,
0.022595517662823333,2.5508719461012817,0.06896389352368523,
0.024107079114410207,0.06896389352368526,2.744734377624874,
Average Dipoles Squared
0.4850771108714789,0.010872700989789428,0.01160004682607608,
0.010872700989789428,0.7462615902425455,0.03318462557768255,
0.01160004682607608,0.03318462557768255,0.8395459434741401,
f(cm1) , absorption(cm-1) , exx.real , exx.imag , eyy.real , eyy.imag , ezz.real , ezz.imag , exy.real , exy.imag , exz.real , exz.imag , eyz.real , eyz.imag ,
0.0 , -0.0 , 1.9988476054149005 , 0.0 , 2.5425931377931033 , 0.0 , 2.7362073206256134 , 0.0 , 0.023006713000812487 , 0.0 , 0.02303695983875165 , 0.0 , 0.06774850019395388 , 0.0 ,
4.071827333961816 , 0.24838669996086724 , 1.998717967142491 , -0.0012337519759756345 , 2.54211088839744 , -0.005765594495214136 , 2.7383954901129868 , -0.007563637609937116 , 0.022124948399799345 , -0.0017906495164313086 , 0.02419757770823361 , -0.0007298025224107184 , 0.06831699541654587 , 0.001271819483797646 ,
8.143654667923633 , 1.0421030588394857 , 2.0014290163435247 , -0.0032356358072950747 , 2.5455596665206466 , -0.008929697146947215 , 2.737160995047553 , -0.01838406896454811 , 0.022468156895451202 , -0.0032333185645931567 , 0.016932544026289326 , 0.003623716002172095 , 0.0720344436670471 , 0.0008691680790808838 ,
12.215482001885448 , 2.4017249458415098 , 2.0015727314588423 , -0.006837933153576517 , 2.552599117973629 , -0.021073301960395415 , 2.7358985030109464 , -0.01902670769730538 , 0.020194088101497157 , -0.005482933432095617 , 0.02168284564741351 , 0.011869313432257325 , 0.07486752869315473 , -0.0032950247281603477 ,
16.287309335847265 , 4.677717331878796 , 2.0051371226239416 , -0.00643458342444166 , 2.548435363657534 , -0.03505125705640337 , 2.751015720208934 , -0.027078139646608077 , 0.0190024390125028 , -0.0031000047905872714 , 0.028630681663010464 , 0.016588282775999864 , 0.07488854567367129 , -0.011728085338471105 ,
20.359136669809082 , 9.146523299265075 , 2.0130899152207435 , -0.01760678643766313 , 2.5385717125081553 , -0.041681854068092286 , 2.744764581892549 , -0.04796402094982084 , 0.022420465013855518 , -0.0029944690887329212 , 0.0386955626626704 , 0.0050060554247982475 , 0.06450135680418784 , -0.016961898101263202 ,
24.430964003770896 , 9.405653382074465 , 1.999820922233621 , -0.027991921506295904 , 2.5316492445233965 , -0.029024445401075138 , 2.7419069212543743 , -0.034892996259905176 , 0.02478257284820842 , -0.00653129830458267 , 0.025459499497928615 , 0.0018548252511162082 , 0.0581755444800896 , -0.012547534580649713 ,
28.502791337732713 , 9.728115039775119 , 2.000166396001519 , -0.015804091116235968 , 2.5519535854219604 , -0.022701139140682714 , 2.767962814083274 , -0.042975083927108526 , 0.024504144506528644 , -0.011308767963955512 , 0.026639213193041394 , -0.001266838618275503 , 0.052088733318145786 , -0.010004421345077306 ,
32.57461867169453 , 14.96811267600488 , 2.0075099960088356 , -0.02505902643299677 , 2.5586490156927084 , -0.02918583713516423 , 2.769601689350372 , -0.05545323352173701 , 0.022696675712223238 , -0.01587642262843685 , -0.0007905262450627906 , 0.010243277850606714 , 0.04716870173600883 , 0.0052995985117786516 ,
36.646446005656344 , 16.3024639034298 , 2.006903500798254 , -0.023331927883544407 , 2.576895950106455 , -0.025548891088410526 , 2.7857734972328556 , -0.05732120049840125 , 0.015623404953050812 , -0.0211769857971705 , 0.028458711434617992 , 0.03977863740246489 , 0.0711354843829645 , 0.019746807547687362 ,
40.718273339618165 , 23.335268198078776 , 2.0087872761253562 , -0.038645834970217105 , 2.5891210343272903 , -0.03655257397939487 , 2.797454450530047 , -0.06161694362401107 , 0.006095367688317276 , -0.0148226282900563 , 0.029049669067208666 , 0.01173432766049898 , 0.0901221096591674 , -0.014117822001682977 ,
44.79010067357998 , 22.26215548648053 , 1.9906168397497472 , -0.021840673734753256 , 2.6092702366622857 , -0.03497562384768831 , 2.8366606332894904 , -0.061841576688994156 , 0.010244344445981409 , -0.00742372910319533 , 0.026482862894978157 , 0.043719534851820736 , 0.054361021478393105 , -0.025423418597999615 ,
48.86192800754179 , 33.33428530904283 , 2.024345143070464 , -0.015411365466322423 , 2.6185782005590226 , -0.05568415893569633 , 2.867735904839023 , -0.09177104158420811 , 0.012313036881913677 , -0.008839784979092706 , 0.0661568424866769 , 0.012765515193256586 , 0.05452908290997157 , -0.0056078303100870275 ,
52.93375534150361 , 38.47004819316752 , 2.0158880160765573 , -0.03791703458203028 , 2.6244564563872324 , -0.026242656515813582 , 2.913044806931108 , -0.10934108240930543 , 0.013124628950968645 , -0.0067807464535945185 , 0.013679744944554166 , -0.01243398698721627 , 0.05157350875778026 , -0.005359702511861539 ,
57.005582675465426 , 53.64609508967126 , 2.0159353774981525 , -0.01705673412447963 , 2.695595082507338 , -0.025292356366780365 , 2.969162131703081 , -0.18231420063865553 , 0.01567074696167518 , -0.006511131295296153 , 0.004235452852595225 , 0.0354253430240541 , 0.05413732992797298 , 0.012934277684112773 ,
