../../../pdielec -processors 4 -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -masses program -csv command.csv -program gulp na2so42.gout -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   81.18,         1.546494,                6534.863232,   832.0446,     5.0
   4,  102.21,         0.000000,                   0.000001,     0.0000,     5.0
   6,  120.93,         0.000000,                   0.000009,     0.0000,     5.0
   7,  121.77,         1.165047,                4923.024028,   626.8189,     5.0
   9,  159.50,         0.204811,                 865.451272,   110.1927,     5.0
  11,  196.15,         1.876415,                7928.981298,  1009.5493,     5.0
  13,  213.91,         1.368763,                5783.844869,   736.4220,     5.0
  15,  245.38,         0.272789,                1152.698611,   146.7661,     5.0
  16,  245.85,         0.000000,                   0.000006,     0.0000,     5.0
  18,  382.72,         0.351909,                1487.027155,   189.3342,     5.0
  20,  446.64,         0.253350,                1070.556386,   136.3075,     5.0
  21,  473.67,         0.153506,                 648.656071,    82.5895,     5.0
  23,  558.97,         0.009330,                  39.423242,     5.0195,     5.0
  25,  621.84,         1.585956,                6701.616177,   853.2763,     5.0
  27,  640.68,         1.552273,                6559.284068,   835.1540,     5.0
  28,  641.72,         0.000000,                   0.000001,     0.0000,     5.0
  30, 1015.63,         0.131875,                 557.250524,    70.9513,     5.0
  32, 1194.80,         4.984047,               21060.589590,  2681.5176,     5.0
  33, 1203.72,         4.975015,               21022.424324,  2676.6582,     5.0
  34, 1208.11,         0.000000,                   0.000001,     0.0000,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    2.000000,    0.059958,          0.00024296,          0.00035069,          0.00031849,          0.00036243,          0.00045426,          0.00037013,          0.00068175,          2.13169049,          2.15145206,          2.14596188,          2.15021937,          2.16379713,          2.15174603,          2.20479663,          0.00008721,          0.00012646,          0.00011470,          0.00013065,          0.00016427,          0.00013348,          0.00024887,          0.00032598,          0.00047051,          0.00042732,          0.00048627,          0.00060947,          0.00049660,          0.00091469
,,,,,,    2.200000,    0.065954,          0.00029402,          0.00042439,          0.00038543,          0.00043861,          0.00054976,          0.00044793,          0.00082510,          2.13169780,          2.15146266,          2.14597150,          2.15023032,          2.16381089,          2.15175721,          2.20481746,          0.00009594,          0.00013912,          0.00012619,          0.00014374,          0.00018074,          0.00014685,          0.00027381,          0.00039448,          0.00056940,          0.00051712,          0.00058848,          0.00073760,          0.00060098,          0.00110702
,,,,,,    2.400000,    0.071950,          0.00034994,          0.00050514,          0.00045876,          0.00052208,          0.00065440,          0.00053317,          0.00098217,          2.13170581,          2.15147427,          2.14598203,          2.15024231,          2.16382597,          2.15176947,          2.20484029,          0.00010467,          0.00015179,          0.00013768,          0.00015684,          0.00019721,          0.00016023,          0.00029878,          0.00046951,          0.00067774,          0.00061551,          0.00070046,          0.00087799,          0.00071534,          0.00131776
,,,,,,    2.600000,    0.077946,          0.00041075,          0.00059294,          0.00053849,          0.00061284,          0.00076818,          0.00062585,          0.00115299,          2.13171452,          2.15148689,          2.14599348,          2.15025535,          2.16384236,          2.15178279,          2.20486511,          0.00011341,          0.00016447,          0.00014918,          0.00016994,          0.00021369,          0.00017361,          0.00032376,          0.00055110,          0.00079554,          0.00072248,          0.00082223,          0.00103066,          0.00083970,          0.00154695
,,,,,,    2.800000,    0.083942,          0.00047644,          0.00068781,          0.00062462,          0.00071089,          0.00089113,          0.00072599,          0.00133758,          2.13172393,          2.15150053,          2.14600585,          2.15026943,          2.16386006,          2.15179718,          2.20489192,          0.00012215,          0.00017716,          0.00016068,          0.00018305,          0.00023019,          0.00018701,          0.00034877,          0.00063923,          0.00092282,          0.00083805,          0.00095379,          0.00119561,          0.00097405,          0.00179461
,,,,,,    3.000000,    0.089938,          0.00054701,          0.00078973,          0.00071717,          0.00081626,          0.00102325,          0.00083360,          0.00153596,          2.13173403,          2.15151517,          2.14601914,          2.15028456,          2.16387908,          2.15181263,          2.20492072,          0.00013090,          0.00018985,          0.00017219,          0.00019617,          0.00024670,          0.00020041,          0.00037380,          0.00073392,          0.00105957,          0.00096222,          0.00109516,          0.00137288,          0.00111843,          0.00206076
,,,,,,    3.200000,    0.095934,          0.00062248,          0.00089874,          0.00081614,          0.00092894,          0.00116456,          0.00094868,          0.00174815,          2.13174484,          2.15153084,          2.14603334,          2.15030074,          2.16389942,          2.15182916,          2.20495152,          0.00013965,          0.00020255,          0.00018370,          0.00020930,          0.00026322,          0.00021383,          0.00039885,          0.00083517,          0.00120582,          0.00109500,          0.00124635,          0.00156247,          0.00127283,          0.00234546
,,,,,,    3.400000,    0.101929,          0.00070284,          0.00101482,          0.00092154,          0.00104896,          0.00131508,          0.00107124,          0.00197418,          2.13175634,          2.15154751,          2.14604847,          2.15031797,          2.16392107,          2.15184676,          2.20498432,          0.00014840,          0.00021526,          0.00019523,          0.00022244,          0.00027976,          0.00022725,          0.00042393,          0.00094299,          0.00136157,          0.00123641,          0.00140737,          0.00176442,          0.00143727,          0.00264872
,,,,,,    3.600000,    0.107925,          0.00078810,          0.00113800,          0.00103337,          0.00117631,          0.00147481,          0.00120131,          0.00221408,          2.13176854,          2.15156520,          2.14606452,          2.15033625,          2.16394405,          2.15186543,          2.20501912,          0.00015716,          0.00022798,          0.00020676,          0.00023559,          0.00029631,          0.00024068,          0.00044904,          0.00105738,          0.00152684,          0.00138646,          0.00157824,          0.00197873,          0.00161177,          0.00297060
,,,,,,    3.800000,    0.113921,          0.00087826,          0.00126829,          0.00115165,          0.00131102,          0.00164379,          0.00133888,          0.00246789,          2.13178145,          2.15158391,          2.14608149,          2.15035557,          2.16396834,          2.15188518,          2.20505593,          0.00016592,          0.00024071,          0.00021830,          0.00024875,          0.00031288,          0.00025413,          0.00047417,          0.00117835,          0.00170164,          0.00154515,          0.00175897,          0.00220544,          0.00179635,          0.00331112
