../../../pdielec -program phonopy vasp OUTCAR -matrix ptfe -vmin 0 -vmax 1000 -mf 0.01 -method ap -method maxwell -method bruggeman_iter -sphere -plate 0 0 1 -needle 0 0 1 -csv command.csv -sigma 5
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   91.30,         0.000000,                   0.000000,     0.0000,     5.0
   4,   91.30,         0.000000,                   0.000009,     0.0000,     5.0
   6,  350.41,        17.095344,               72238.083496,  9197.6385,     5.0
   7,  372.03,        16.403289,               69313.736756,  8825.2991,     5.0
   8,  372.03,        16.403059,               69312.765242,  8825.1754,     5.0
   9,  402.01,         0.000000,                   0.000010,     0.0000,     5.0
  10,  402.01,         0.000000,                   0.000000,     0.0000,     5.0
  11,  509.34,         0.000000,                   0.000001,     0.0000,     5.0
,,,,,,cm-1,thz,ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),bruggeman_iter_sphere_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),bruggeman_iter_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),bruggeman_iter_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),ap_noshape_real_dielectric(mf=0.01),maxwell_sphere_real_dielectric(mf=0.01),maxwell_plate(0 0 1)_real_dielectric(mf=0.01),maxwell_needle[0 0 1]_real_dielectric(mf=0.01),bruggeman_iter_sphere_real_dielectric(mf=0.01),bruggeman_iter_plate(0 0 1)_real_dielectric(mf=0.01),bruggeman_iter_needle[0 0 1]_real_dielectric(mf=0.01),ap_noshape_imag_dielectric(mf=0.01),maxwell_sphere_imag_dielectric(mf=0.01),maxwell_plate(0 0 1)_imag_dielectric(mf=0.01),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01),bruggeman_iter_sphere_imag_dielectric(mf=0.01),bruggeman_iter_plate(0 0 1)_imag_dielectric(mf=0.01),bruggeman_iter_needle[0 0 1]_imag_dielectric(mf=0.01),ap_noshape_absorption_coefficent_cm-1(mf=0.01),maxwell_sphere_absorption_coefficent_cm-1(mf=0.01),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(mf=0.01),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(mf=0.01),bruggeman_iter_sphere_absorption_coefficent_cm-1(mf=0.01),bruggeman_iter_plate(0 0 1)_absorption_coefficent_cm-1(mf=0.01),bruggeman_iter_needle[0 0 1]_absorption_coefficent_cm-1(mf=0.01)
,,,,,,    2.000000,    0.059958,          0.00004660,          0.00000740,          0.00002870,          0.00002143,          0.00000749,          0.00000556,          0.00000856,          2.03703239,          2.01474371,          2.02621984,          2.02059435,          2.01479373,          2.01427488,          2.01506752,          0.00000166,          0.00000026,          0.00000102,          0.00000076,          0.00000026,          0.00000020,          0.00000030,          0.00000634,          0.00000101,          0.00000390,          0.00000291,          0.00000102,          0.00000076,          0.00000116
,,,,,,    2.200000,    0.065954,          0.00005639,          0.00000895,          0.00003473,          0.00002593,          0.00000907,          0.00000673,          0.00001036,          2.03703253,          2.01474373,          2.02621993,          2.02059441,          2.01479375,          2.01427490,          2.01506755,          0.00000182,          0.00000029,          0.00000112,          0.00000084,          0.00000029,          0.00000022,          0.00000033,          0.00000767,          0.00000122,          0.00000472,          0.00000353,          0.00000123,          0.00000092,          0.00000141
,,,,,,    2.400000,    0.071950,          0.00006711,          0.00001065,          0.00004133,          0.00003086,          0.00001079,          0.00000801,          0.00001233,          2.03703268,          2.01474376,          2.02622002,          2.02059448,          2.01479377,          2.01427492,          2.01506758,          0.00000199,          0.00000031,          0.00000122,          0.00000091,          0.00000032,          0.00000024,          0.00000036,          0.00000913,          0.00000145,          0.00000562,          0.00000420,          0.00000147,          0.00000109,          0.00000168
,,,,,,    2.600000,    0.077946,          0.00007876,          0.00001250,          0.00004851,          0.00003622,          0.00001267,          0.00000940,          0.00001447,          2.03703285,          2.01474378,          2.02622012,          2.02059456,          2.01479380,          2.01427494,          2.01506761,          0.00000215,          0.00000034,          0.00000132,          0.00000099,          0.00000034,          0.00000026,          0.00000039,          0.00001071,          0.00000170,          0.00000660,          0.00000493,          0.00000172,          0.00000128,          0.00000197
,,,,,,    2.800000,    0.083942,          0.00009135,          0.00001450,          0.00005626,          0.00004201,          0.00001469,          0.00001091,          0.00001678,          2.03703303,          2.01474381,          2.02622023,          2.02059464,          2.01479383,          2.01427496,          2.01506764,          0.00000232,          0.00000037,          0.00000143,          0.00000106,          0.00000037,          0.00000028,          0.00000042,          0.00001242,          0.00000197,          0.00000765,          0.00000571,          0.00000200,          0.00000148,          0.00000228
,,,,,,    3.000000,    0.089938,          0.00010487,          0.00001664,          0.00006458,          0.00004823,          0.00001686,          0.00001252,          0.00001927,          2.03703322,          2.01474384,          2.02622035,          2.02059473,          2.01479386,          2.01427498,          2.01506767,          0.00000249,          0.00000039,          0.00000153,          0.00000114,          0.00000040,          0.00000030,          0.00000045,          0.00001426,          0.00000226,          0.00000878,          0.00000656,          0.00000229,          0.00000170,          0.00000262
,,,,,,    3.200000,    0.095934,          0.00011932,          0.00001894,          0.00007348,          0.00005487,          0.00001919,          0.00001425,          0.00002192,          2.03703343,          2.01474387,          2.02622048,          2.02059482,          2.01479389,          2.01427500,          2.01506771,          0.00000265,          0.00000042,          0.00000163,          0.00000121,          0.00000042,          0.00000031,          0.00000048,          0.00001622,          0.00000258,          0.00000999,          0.00000746,          0.00000261,          0.00000194,          0.00000298
,,,,,,    3.400000,    0.101929,          0.00013470,          0.00002138,          0.00008295,          0.00006195,          0.00002166,          0.00001608,          0.00002475,          2.03703364,          2.01474391,          2.02622061,          2.02059492,          2.01479393,          2.01427503,          2.01506775,          0.00000282,          0.00000044,          0.00000173,          0.00000129,          0.00000045,          0.00000033,          0.00000051,          0.00001832,          0.00000291,          0.00001128,          0.00000842,          0.00000295,          0.00000219,          0.00000337
,,,,,,    3.600000,    0.107925,          0.00015102,          0.00002397,          0.00009300,          0.00006945,          0.00002429,          0.00001803,          0.00002775,          2.03703388,          2.01474395,          2.02622076,          2.02059503,          2.01479396,          2.01427506,          2.01506779,          0.00000298,          0.00000047,          0.00000183,          0.00000137,          0.00000048,          0.00000035,          0.00000055,          0.00002053,          0.00000326,          0.00001265,          0.00000944,          0.00000330,          0.00000245,          0.00000377
,,,,,,    3.800000,    0.113921,          0.00016826,          0.00002671,          0.00010362,          0.00007739,          0.00002706,          0.00002009,          0.00003092,          2.03703412,          2.01474398,          2.02622091,          2.02059514,          2.01479400,          2.01427509,          2.01506784,          0.00000315,          0.00000050,          0.00000193,          0.00000144,          0.00000050,          0.00000037,          0.00000058,          0.00002288,          0.00000363,          0.00001409,          0.00001052,          0.00000368,          0.00000273,          0.00000420
