../../../pdielec -processors 4 -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 qua_hf_2d_f_ir-int.out -optical_tensor 2.018 0 0 0 2.018 0 0 0 2.071 -masses program -csv command.csv -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  143.36,         0.000137,                   0.577966,     0.0736,     5.0
   4,  143.36,         0.000125,                   0.526914,     0.0671,     5.0
   5,  219.76,         0.000015,                   0.062798,     0.0080,     5.0
   6,  285.80,         0.220859,                 933.263851,   118.8268,     5.0
   7,  285.80,         0.219970,                 929.504963,   118.3482,     5.0
   8,  383.15,         0.000003,                   0.012340,     0.0016,     5.0
   9,  395.26,         5.330176,               22523.190806,  2867.7417,     5.0
  10,  428.18,         2.826487,               11943.604000,  1520.7069,     5.0
  11,  428.18,         2.822143,               11925.247717,  1518.3697,     5.0
  12,  492.09,        10.485444,               44307.294148,  5641.3799,     5.0
  13,  492.09,        10.459705,               44198.527799,  5627.5313,     5.0
  14,  502.25,         0.000007,                   0.030802,     0.0039,     5.0
  15,  544.53,        10.684156,               45146.971138,  5748.2909,     5.0
  16,  739.67,         0.596466,                2520.427559,   320.9108,     5.0
  17,  739.67,         0.602299,                2545.073342,   324.0488,     5.0
  18,  824.10,         3.254740,               13753.228986,  1751.1155,     5.0
  19,  847.31,         4.970620,               21003.852794,  2674.2936,     5.0
  20,  847.31,         4.960699,               20961.928146,  2668.9556,     5.0
  21, 1124.43,        41.149179,              173879.971699, 22139.0856,     5.0
  22, 1124.43,        41.187535,              174042.049294, 22159.7220,     5.0
  23, 1131.32,        43.940335,              185674.281211, 23640.7837,     5.0
  24, 1139.50,         0.000004,                   0.018537,     0.0024,     5.0
  25, 1233.44,         0.611846,                2585.415876,   329.1854,     5.0
  26, 1233.44,         0.606878,                2564.422943,   326.5125,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    3.200000,    0.095934,          0.00002860,          0.00002541,          0.00003302,          2.16197729,          2.15488444,          2.17175522,          0.00000707,          0.00000627,          0.00000819,          0.00004201,          0.00003732,          0.00004851
,,,,,,    3.400000,    0.101929,          0.00003229,          0.00002869,          0.00003728,          2.16197787,          2.15488495,          2.17175589,          0.00000752,          0.00000667,          0.00000870,          0.00004743,          0.00004214,          0.00005476
,,,,,,    3.600000,    0.107925,          0.00003620,          0.00003216,          0.00004180,          2.16197849,          2.15488550,          2.17175661,          0.00000796,          0.00000706,          0.00000921,          0.00005318,          0.00004724,          0.00006139
,,,,,,    3.800000,    0.113921,          0.00004034,          0.00003584,          0.00004657,          2.16197915,          2.15488608,          2.17175737,          0.00000840,          0.00000745,          0.00000972,          0.00005925,          0.00005264,          0.00006840
,,,,,,    4.000000,    0.119917,          0.00004470,          0.00003971,          0.00005160,          2.16197984,          2.15488669,          2.17175817,          0.00000884,          0.00000784,          0.00001023,          0.00006565,          0.00005832,          0.00007579
,,,,,,    4.200000,    0.125913,          0.00004928,          0.00004378,          0.00005689,          2.16198056,          2.15488734,          2.17175901,          0.00000929,          0.00000824,          0.00001075,          0.00007238,          0.00006430,          0.00008356
,,,,,,    4.400000,    0.131909,          0.00005408,          0.00004805,          0.00006244,          2.16198132,          2.15488801,          2.17175989,          0.00000973,          0.00000863,          0.00001126,          0.00007944,          0.00007057,          0.00009171
,,,,,,    4.600000,    0.137905,          0.00005911,          0.00005252,          0.00006825,          2.16198212,          2.15488872,          2.17176081,          0.00001017,          0.00000902,          0.00001177,          0.00008683,          0.00007713,          0.00010024
,,,,,,    4.800000,    0.143900,          0.00006437,          0.00005718,          0.00007431,          2.16198295,          2.15488946,          2.17176177,          0.00001061,          0.00000941,          0.00001228,          0.00009454,          0.00008399,          0.00010915
,,,,,,    5.000000,    0.149896,          0.00006984,          0.00006205,          0.00008064,          2.16198381,          2.15489022,          2.17176277,          0.00001106,          0.00000981,          0.00001279,          0.00010259,          0.00009114,          0.00011844
,,,,,,    5.200000,    0.155892,          0.00007554,          0.00006711,          0.00008722,          2.16198472,          2.15489102,          2.17176381,          0.00001150,          0.00001020,          0.00001330,          0.00011096,          0.00009857,          0.00012810
,,,,,,    5.400000,    0.161888,          0.00008147,          0.00007238,          0.00009406,          2.16198565,          2.15489186,          2.17176490,          0.00001194,          0.00001059,          0.00001382,          0.00011966,          0.00010630,          0.00013815
,,,,,,    5.600000,    0.167884,          0.00008762,          0.00007784,          0.00010116,          2.16198663,          2.15489272,          2.17176602,          0.00001238,          0.00001098,          0.00001433,          0.00012869,          0.00011433,          0.00014858
,,,,,,    5.800000,    0.173880,          0.00009399,          0.00008350,          0.00010851,          2.16198764,          2.15489361,          2.17176719,          0.00001283,          0.00001138,          0.00001484,          0.00013805,          0.00012264,          0.00015938
