../../../pdielec -matrix ptfe -method ap -method maxwell -sphere -plate -1 -1 -2 -vmin 0 -vmax 2000 -vf 0.1 calcite.gout -masses program -csv command1.csv
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  114.77,         2.386157,               10082.942949,  1283.8002,     5.0
   4,  114.77,         2.386165,               10082.976755,  1283.8045,     5.0
   5,  127.38,         3.359475,               14195.797145,  1807.4650,     5.0
   9,  249.29,         1.226152,                5181.227434,   659.6944,     5.0
  10,  249.29,         1.226152,                5181.226351,   659.6942,     5.0
  15,  320.71,         5.824938,               24613.856703,  3133.9336,     5.0
  16,  320.71,         5.824945,               24613.889414,  3133.9377,     5.0
  17,  338.14,         4.139440,               17491.616624,  2227.1018,     5.0
  20,  620.12,         3.383380,               14296.810138,  1820.3264,     5.0
  21,  620.12,         3.383372,               14296.778406,  1820.3224,     5.0
  22,  731.95,        26.890139,              113626.969350, 14467.4351,     5.0
  26, 1463.56,        16.971396,               71714.329831,  9130.9521,     5.0
  27, 1463.56,        16.971390,               71714.305879,  9130.9490,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_absorption_coeficient_cm-1(vf=0.1),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coeficient_cm-1(vf=0.1),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(-1 -1 -2)_real_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_imag_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_absorption_coeficient_cm-1(vf=0.1),maxwell_plate(-1 -1 -2)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1)
,,,,,    4.200000,    0.125913,          2.48440306,          0.00051998,          0.00378087,          0.00278302,          2.28043183,          0.00017490,          0.00132737,          0.00097705,          2.37661836,          0.00037632,          0.00279764,          0.00205928
,,,,,    4.400000,    0.131909,          2.48444558,          0.00054487,          0.00415047,          0.00305507,          2.28044614,          0.00018326,          0.00145703,          0.00107249,          2.37664914,          0.00039433,          0.00307112,          0.00226059
,,,,,    4.600000,    0.137905,          2.48449009,          0.00056978,          0.00453743,          0.00333991,          2.28046112,          0.00019162,          0.00159276,          0.00117240,          2.37668135,          0.00041236,          0.00335746,          0.00247136
,,,,,    4.800000,    0.143900,          2.48453659,          0.00059471,          0.00494179,          0.00363755,          2.28047677,          0.00019999,          0.00173457,          0.00127678,          2.37671500,          0.00043040,          0.00365667,          0.00269160
,,,,,    5.000000,    0.149896,          2.48458508,          0.00061965,          0.00536357,          0.00394801,          2.28049308,          0.00020836,          0.00188247,          0.00138565,          2.37675010,          0.00044845,          0.00396877,          0.00292133
,,,,,    5.200000,    0.155892,          2.48463556,          0.00064462,          0.00580280,          0.00427132,          2.28051006,          0.00021673,          0.00203646,          0.00149900,          2.37678663,          0.00046652,          0.00429378,          0.00316056
,,,,,    5.400000,    0.161888,          2.48468804,          0.00066960,          0.00625950,          0.00460748,          2.28052772,          0.00022511,          0.00219655,          0.00161684,          2.37682461,          0.00048460,          0.00463172,          0.00340931
,,,,,    5.600000,    0.167884,          2.48474252,          0.00069461,          0.00673370,          0.00495654,          2.28054604,          0.00023350,          0.00236275,          0.00173917,          2.37686404,          0.00050270,          0.00498261,          0.00366759
,,,,,    5.800000,    0.173880,          2.48479899,          0.00071964,          0.00722544,          0.00531849,          2.28056503,          0.00024189,          0.00253507,          0.00186601,          2.37690491,          0.00052081,          0.00534648,          0.00393543
,,,,,    6.000000,    0.179875,          2.48485746,          0.00074470,          0.00773474,          0.00569338,          2.28058470,          0.00025029,          0.00271350,          0.00199735,          2.37694722,          0.00053894,          0.00572334,          0.00421283
,,,,,    6.200000,    0.185871,          2.48491794,          0.00076978,          0.00826164,          0.00608122,          2.28060503,          0.00025869,          0.00289807,          0.00213320,          2.37699099,          0.00055709,          0.00611323,          0.00449982
,,,,,    6.400000,    0.191867,          2.48498042,          0.00079489,          0.00880618,          0.00648204,          2.28062604,          0.00026710,          0.00308877,          0.00227358,          2.37703621,          0.00057526,          0.00651617,          0.00479641
,,,,,    6.600000,    0.197863,          2.48504490,          0.00082002,          0.00936837,          0.00689586,          2.28064772,          0.00027551,          0.00328562,          0.00241848,          2.37708287,          0.00059345,          0.00693218,          0.00510263
,,,,,    6.800000,    0.203859,          2.48511139,          0.00084518,          0.00994827,          0.00732271,          2.28067007,          0.00028393,          0.00348863,          0.00256790,          2.37713100,          0.00061166,          0.00736128,          0.00541849
,,,,,    7.000000,    0.209855,          2.48517990,          0.00087036,          0.01054591,          0.00776262,          2.28069309,          0.00029236,          0.00369780,          0.00272187,          2.37718057,          0.00062988,          0.00780352,          0.00574401
,,,,,    7.200000,    0.215851,          2.48525041,          0.00089558,          0.01116132,          0.00821561,          2.28071679,          0.00030079,          0.00391314,          0.00288038,          2.37723160,          0.00064813,          0.00825891,          0.00607921
,,,,,    7.400000,    0.221846,          2.48532294,          0.00092082,          0.01179455,          0.00868172,          2.28074116,          0.00030923,          0.00413467,          0.00304344,          2.37728410,          0.00066640,          0.00872749,          0.00642412
,,,,,    7.600000,    0.227842,          2.48539749,          0.00094610,          0.01244564,          0.00916097,          2.28076621,          0.00031768,          0.00436239,          0.00321106,          2.37733805,          0.00068469,          0.00920928,          0.00677875
,,,,,    7.800000,    0.233838,          2.48547406,          0.00097141,          0.01311462,          0.00965339,          2.28079193,          0.00032613,          0.00459631,          0.00338325,          2.37739346,          0.00070300,          0.00970431,          0.00714314
,,,,,    8.000000,    0.239834,          2.48555265,          0.00099675,          0.01380155,          0.01015903,          2.28081833,          0.00033459,          0.00483645,          0.00356001,          2.37745033,          0.00072134,          0.01021263,          0.00751730
,,,,,    8.200000,    0.245830,          2.48563326,          0.00102212,          0.01450646,          0.01067790,          2.28084540,          0.00034306,          0.00508282,          0.00374135,          2.37750867,          0.00073970,          0.01073425,          0.00790126
,,,,,    8.400000,    0.251826,          2.48571591,          0.00104753,          0.01522940,          0.01121004,          2.28087315,          0.00035154,          0.00533541,          0.00392728,          2.37756848,          0.00075808,          0.01126922,          0.00829503
,,,,,    8.600000,    0.257822,          2.48580058,          0.00107297,          0.01597042,          0.01175548,          2.28090158,          0.00036003,          0.00559426,          0.00411782,          2.37762976,          0.00077649,          0.01181757,          0.00869866
