../../../pdielec -matrix ptfe -method ap -method maxwell -sphere -plate -1 -1 -2 -vmin 0 -vmax 2000 -vf 0.1 calcite.gout -masses program -csv command1.csv
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  114.77,         2.386157,               10082.942949,  1283.8002,     5.0
   4,  114.77,         2.386165,               10082.976755,  1283.8045,     5.0
   5,  127.38,         3.359475,               14195.797145,  1807.4650,     5.0
   9,  249.29,         1.226152,                5181.227434,   659.6944,     5.0
  10,  249.29,         1.226152,                5181.226351,   659.6942,     5.0
  15,  320.71,         5.824938,               24613.856703,  3133.9336,     5.0
  16,  320.71,         5.824945,               24613.889414,  3133.9377,     5.0
  17,  338.14,         4.139440,               17491.616624,  2227.1018,     5.0
  20,  620.12,         3.383380,               14296.810138,  1820.3264,     5.0
  21,  620.12,         3.383372,               14296.778406,  1820.3224,     5.0
  22,  731.95,        26.890139,              113626.969350, 14467.4351,     5.0
  26, 1463.56,        16.971396,               71714.329831,  9130.9521,     5.0
  27, 1463.56,        16.971390,               71714.305879,  9130.9490,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_absorption_coeficient_cm-1(vf=0.1),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coeficient_cm-1(vf=0.1),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(-1 -1 -2)_real_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_imag_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_absorption_coeficient_cm-1(vf=0.1),maxwell_plate(-1 -1 -2)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1)
,,,,,  483.600000,   14.497963,          1.98082728,          0.00256317,          2.40328063,          1.76900381,          1.97373675,          0.00276665,          2.59871899,          1.91286184,          1.97377448,          0.00258270,          2.42591876,          1.78566726
,,,,,  483.800000,   14.503959,          1.98103216,          0.00256103,          2.40214622,          1.76816880,          1.97395779,          0.00276249,          2.59574263,          1.91067100,          1.97398081,          0.00257880,          2.42313051,          1.78361489
,,,,,  484.000000,   14.509955,          1.98123686,          0.00255892,          2.40103105,          1.76734794,          1.97417850,          0.00275836,          2.59279234,          1.90849936,          1.97418683,          0.00257494,          2.42036955,          1.78158261
,,,,,  484.200000,   14.515951,          1.98144140,          0.00255683,          2.39993509,          1.76654123,          1.97439888,          0.00275427,          2.58986806,          1.90634686,          1.97439254,          0.00257110,          2.41763578,          1.77957034
,,,,,  484.400000,   14.521947,          1.98164577,          0.00255476,          2.39885834,          1.76574866,          1.97461893,          0.00275020,          2.58696970,          1.90421344,          1.97459794,          0.00256729,          2.41492909,          1.77757800
,,,,,  484.600000,   14.527943,          1.98184998,          0.00255271,          2.39780078,          1.76497022,          1.97483866,          0.00274617,          2.58409719,          1.90209904,          1.97480305,          0.00256352,          2.41224941,          1.77560554
,,,,,  484.800000,   14.533938,          1.98205402,          0.00255068,          2.39676241,          1.76420589,          1.97505807,          0.00274216,          2.58125046,          1.90000362,          1.97500785,          0.00255978,          2.40959663,          1.77365289
,,,,,  485.000000,   14.539934,          1.98225791,          0.00254868,          2.39574322,          1.76345569,          1.97527715,          0.00273819,          2.57842943,          1.89792713,          1.97521235,          0.00255606,          2.40697067,          1.77171998
,,,,,  485.200000,   14.545930,          1.98246163,          0.00254669,          2.39474320,          1.76271960,          1.97549593,          0.00273424,          2.57563404,          1.89586950,          1.97541656,          0.00255238,          2.40437145,          1.76980674
,,,,,  485.400000,   14.551926,          1.98266520,          0.00254473,          2.39376234,          1.76199761,          1.97571439,          0.00273033,          2.57286422,          1.89383069,          1.97562048,          0.00254873,          2.40179886,          1.76791312
,,,,,  485.600000,   14.557922,          1.98286861,          0.00254279,          2.39280064,          1.76128971,          1.97593253,          0.00272644,          2.57011989,          1.89181065,          1.97582410,          0.00254511,          2.39925283,          1.76603904
,,,,,  485.800000,   14.563918,          1.98307186,          0.00254087,          2.39185808,          1.76059592,          1.97615037,          0.00272259,          2.56740099,          1.88980933,          1.97602744,          0.00254153,          2.39673328,          1.76418445
,,,,,  486.000000,   14.569913,          1.98327497,          0.00253898,          2.39093466,          1.75991621,          1.97636790,          0.00271876,          2.56470745,          1.88782667,          1.97623049,          0.00253797,          2.39424011,          1.76234928
,,,,,  486.200000,   14.575909,          1.98347792,          0.00253710,          2.39003039,          1.75925059,          1.97658513,          0.00271497,          2.56203921,          1.88586264,          1.97643326,          0.00253444,          2.39177326,          1.76053348
,,,,,  486.400000,   14.581905,          1.98368072,          0.00253525,          2.38914524,          1.75859905,          1.97680205,          0.00271120,          2.55939620,          1.88391717,          1.97663575,          0.00253094,          2.38933263,          1.75873699
,,,,,  486.600000,   14.587901,          1.98388338,          0.00253342,          2.38827922,          1.75796160,          1.97701868,          0.00270746,          2.55677836,          1.88199023,          1.97683796,          0.00252747,          2.38691815,          1.75695974
,,,,,  486.800000,   14.593897,          1.98408589,          0.00253161,          2.38743233,          1.75733822,          1.97723500,          0.00270375,          2.55418562,          1.88008177,          1.97703990,          0.00252404,          2.38452975,          1.75520169
,,,,,  487.000000,   14.599893,          1.98428826,          0.00252982,          2.38660456,          1.75672891,          1.97745104,          0.00270007,          2.55161792,          1.87819174,          1.97724156,          0.00252063,          2.38216734,          1.75346277
,,,,,  487.200000,   14.605889,          1.98449048,          0.00252805,          2.38579591,          1.75613368,          1.97766678,          0.00269642,          2.54907521,          1.87632011,          1.97744295,          0.00251725,          2.37983085,          1.75174293
,,,,,  487.400000,   14.611884,          1.98469257,          0.00252631,          2.38500638,          1.75555253,          1.97788222,          0.00269280,          2.54655741,          1.87446681,          1.97764407,          0.00251390,          2.37752021,          1.75004212
,,,,,  487.600000,   14.617880,          1.98489451,          0.00252459,          2.38423597,          1.75498544,          1.97809738,          0.00268921,          2.54406448,          1.87263181,          1.97784493,          0.00251059,          2.37523535,          1.74836028
,,,,,  487.800000,   14.623876,          1.98509632,          0.00252288,          2.38348467,          1.75443243,          1.97831226,          0.00268564,          2.54159635,          1.87081507,          1.97804552,          0.00250730,          2.37297619,          1.74669736
,,,,,  488.000000,   14.629872,          1.98529800,          0.00252120,          2.38275250,          1.75389349,          1.97852685,          0.00268211,          2.53915296,          1.86901655,          1.97824585,          0.00250404,          2.37074266,          1.74505331
,,,,,  488.200000,   14.635868,          1.98549954,          0.00251954,          2.38203944,          1.75336863,          1.97874116,          0.00267860,          2.53673427,          1.86723620,          1.97844593,          0.00250081,          2.36853470,          1.74342808
,,,,,  488.400000,   14.641864,          1.98570095,          0.00251791,          2.38134550,          1.75285783,          1.97895519,          0.00267512,          2.53434021,          1.86547399,          1.97864574,          0.00249760,          2.36635224,          1.74182161
,,,,,  488.600000,   14.647859,          1.98590222,          0.00251629,          2.38067069,          1.75236112,          1.97916894,          0.00267167,          2.53197073,          1.86372986,          1.97884530,          0.00249443,          2.36419521,          1.74023387
,,,,,  488.800000,   14.653855,          1.98610338,          0.00251470,          2.38001501,          1.75187849,          1.97938242,          0.00266825,          2.52962578,          1.86200379,          1.97904461,          0.00249129,          2.36206355,          1.73866480
,,,,,  489.000000,   14.659851,          1.98630440,          0.00251312,          2.37937845,          1.75140993,          1.97959563,          0.00266485,          2.52730530,          1.86029574,          1.97924367,          0.00248817,          2.35995719,          1.73711435
,,,,,  489.200000,   14.665847,          1.98650530,          0.00251157,          2.37876104,          1.75095546,          1.97980856,          0.00266149,          2.52500924,          1.85860566,          1.97944248,          0.00248509,          2.35787608,          1.73558249
,,,,,  489.400000,   14.671843,          1.98670607,          0.00251004,          2.37816276,          1.75051508,          1.98002123,          0.00265815,          2.52273756,          1.85693353,          1.97964104,          0.00248203,          2.35582015,          1.73406916
,,,,,  489.600000,   14.677839,          1.98690673,          0.00250853,          2.37758362,          1.75008880,          1.98023364,          0.00265484,          2.52049020,          1.85527929,          1.97983937,          0.00247900,          2.35378933,          1.73257432
,,,,,  489.800000,   14.683835,          1.98710726,          0.00250704,          2.37702364,          1.74967660,          1.98044578,          0.00265155,          2.51826712,          1.85364292,          1.98003745,          0.00247600,          2.35178358,          1.73109793
,,,,,  490.000000,   14.689830,          1.98730768,          0.00250557,          2.37648282,          1.74927852,          1.98065765,          0.00264830,          2.51606825,          1.85202439,          1.98023529,          0.00247303,          2.34980284,          1.72963995
,,,,,  490.200000,   14.695826,          1.98750798,          0.00250413,          2.37596116,          1.74889454,          1.98086927,          0.00264507,          2.51389357,          1.85042365,          1.98043290,          0.00247009,          2.34784704,          1.72820033
,,,,,  490.400000,   14.701822,          1.98770816,          0.00250270,          2.37545868,          1.74852467,          1.98108064,          0.00264187,          2.51174302,          1.84884068,          1.98063027,          0.00246717,          2.34591614,          1.72677903
,,,,,  490.600000,   14.707818,          1.98790823,          0.00250130,          2.37497538,          1.74816892,          1.98129174,          0.00263870,          2.50961656,          1.84727544,          1.98082741,          0.00246429,          2.34401007,          1.72537602
,,,,,  490.800000,   14.713814,          1.98810819,          0.00249992,          2.37451128,          1.74782731,          1.98150260,          0.00263555,          2.50751414,          1.84572789,          1.98102432,          0.00246143,          2.34212880,          1.72399125
,,,,,  491.000000,   14.719810,          1.98830804,          0.00249856,          2.37406638,          1.74749982,          1.98171321,          0.00263244,          2.50543573,          1.84419801,          1.98122101,          0.00245860,          2.34027225,          1.72262469
,,,,,  491.200000,   14.725806,          1.98850778,          0.00249722,          2.37364069,          1.74718648,          1.98192356,          0.00262935,          2.50338126,          1.84268577,          1.98141747,          0.00245579,          2.33844040,          1.72127630
,,,,,  491.400000,   14.731801,          1.98870742,          0.00249590,          2.37323422,          1.74688729,          1.98213368,          0.00262628,          2.50135072,          1.84119113,          1.98161370,          0.00245302,          2.33663318,          1.71994604
,,,,,  491.600000,   14.737797,          1.98890695,          0.00249460,          2.37284700,          1.74660226,          1.98234354,          0.00262325,          2.49934405,          1.83971406,          1.98180972,          0.00245027,          2.33485055,          1.71863388
,,,,,  491.800000,   14.743793,          1.98910638,          0.00249332,          2.37247902,          1.74633141,          1.98255317,          0.00262024,          2.49736122,          1.83825454,          1.98200552,          0.00244755,          2.33309245,          1.71733979
,,,,,  492.000000,   14.749789,          1.98930571,          0.00249207,          2.37213031,          1.74607473,          1.98276256,          0.00261726,          2.49540218,          1.83681253,          1.98220110,          0.00244486,          2.33135886,          1.71606373
,,,,,  492.200000,   14.755785,          1.98950494,          0.00249084,          2.37180088,          1.74583224,          1.98297171,          0.00261430,          2.49346690,          1.83538802,          1.98239647,          0.00244219,          2.32964971,          1.71480566
,,,,,  492.400000,   14.761781,          1.98970407,          0.00248962,          2.37149074,          1.74560395,          1.98318062,          0.00261138,          2.49155535,          1.83398096,          1.98259162,          0.00243956,          2.32796498,          1.71356556
,,,,,  492.600000,   14.767776,          1.98990310,          0.00248843,          2.37119990,          1.74538987,          1.98338930,          0.00260848,          2.48966748,          1.83259134,          1.98278657,          0.00243695,          2.32630460,          1.71234340
,,,,,  492.800000,   14.773772,          1.99010204,          0.00248726,          2.37092839,          1.74519002,          1.98359776,          0.00260560,          2.48780326,          1.83121913,          1.98298131,          0.00243436,          2.32466855,          1.71113914
,,,,,  493.000000,   14.779768,          1.99030089,          0.00248611,          2.37067623,          1.74500441,          1.98380598,          0.00260275,          2.48596266,          1.82986430,          1.98317584,          0.00243181,          2.32305679,          1.70995275
,,,,,  493.200000,   14.785764,          1.99049964,          0.00248498,          2.37044342,          1.74483304,          1.98401398,          0.00259993,          2.48414563,          1.82852683,          1.98337017,          0.00242928,          2.32146927,          1.70878421
,,,,,  493.400000,   14.791760,          1.99069831,          0.00248388,          2.37022999,          1.74467594,          1.98422175,          0.00259714,          2.48235216,          1.82720669,          1.98356430,          0.00242678,          2.31990596,          1.70763349
,,,,,  493.600000,   14.797756,          1.99089689,          0.00248279,          2.37003595,          1.74453311,          1.98442930,          0.00259437,          2.48058221,          1.82590387,          1.98375823,          0.00242431,          2.31836682,          1.70650056
,,,,,  493.800000,   14.803752,          1.99109538,          0.00248173,          2.36986133,          1.74440458,          1.98463663,          0.00259163,          2.47883575,          1.82461833,          1.98395196,          0.00242186,          2.31685181,          1.70538540
,,,,,  494.000000,   14.809747,          1.99129379,          0.00248068,          2.36970615,          1.74429035,          1.98484374,          0.00258892,          2.47711274,          1.82335006,          1.98414550,          0.00241944,          2.31536091,          1.70428798
,,,,,  494.200000,   14.815743,          1.99149211,          0.00247966,          2.36957042,          1.74419044,          1.98505064,          0.00258623,          2.47541316,          1.82209904,          1.98433885,          0.00241704,          2.31389407,          1.70320827
,,,,,  494.400000,   14.821739,          1.99169036,          0.00247866,          2.36945416,          1.74410487,          1.98525732,          0.00258356,          2.47373698,          1.82086524,          1.98453201,          0.00241468,          2.31245127,          1.70214625
,,,,,  494.600000,   14.827735,          1.99188852,          0.00247768,          2.36935741,          1.74403366,          1.98546379,          0.00258093,          2.47208417,          1.81964864,          1.98472498,          0.00241234,          2.31103247,          1.70110191
,,,,,  494.800000,   14.833731,          1.99208661,          0.00247672,          2.36928019,          1.74397681,          1.98567005,          0.00257832,          2.47045471,          1.81844923,          1.98491776,          0.00241002,          2.30963765,          1.70007521
,,,,,  495.000000,   14.839727,          1.99228462,          0.00247578,          2.36922251,          1.74393435,          1.98587610,          0.00257574,          2.46884858,          1.81726699,          1.98511036,          0.00240774,          2.30826678,          1.69906614
,,,,,  495.200000,   14.845723,          1.99248256,          0.00247486,          2.36918440,          1.74390630,          1.98608195,          0.00257318,          2.46726573,          1.81610189,          1.98530278,          0.00240548,          2.30691982,          1.69807467
,,,,,  495.400000,   14.851718,          1.99268042,          0.00247397,          2.36916588,          1.74389267,          1.98628759,          0.00257065,          2.46570616,          1.81495392,          1.98549502,          0.00240324,          2.30559675,          1.69710079
,,,,,  495.600000,   14.857714,          1.99287822,          0.00247309,          2.36916699,          1.74389349,          1.98649304,          0.00256814,          2.46416984,          1.81382307,          1.98568708,          0.00240104,          2.30429755,          1.69614447
,,,,,  495.800000,   14.863710,          1.99307594,          0.00247224,          2.36918775,          1.74390877,          1.98669828,          0.00256566,          2.46265674,          1.81270931,          1.98587896,          0.00239885,          2.30302219,          1.69520571
,,,,,  496.000000,   14.869706,          1.99327360,          0.00247141,          2.36922818,          1.74393853,          1.98690333,          0.00256321,          2.46116686,          1.81161264,          1.98607068,          0.00239670,          2.30177065,          1.69428448
,,,,,  496.200000,   14.875702,          1.99347119,          0.00247060,          2.36928832,          1.74398280,          1.98710818,          0.00256078,          2.45970015,          1.81053303,          1.98626222,          0.00239457,          2.30054291,          1.69338076
,,,,,  496.400000,   14.881698,          1.99366872,          0.00246981,          2.36936819,          1.74404159,          1.98731284,          0.00255838,          2.45825662,          1.80947047,          1.98645359,          0.00239247,          2.29933894,          1.69249454
,,,,,  496.600000,   14.887693,          1.99386619,          0.00246904,          2.36946782,          1.74411492,          1.98751731,          0.00255600,          2.45683623,          1.80842495,          1.98664479,          0.00239039,          2.29815872,          1.69162581
,,,,,  496.800000,   14.893689,          1.99406359,          0.00246829,          2.36958724,          1.74420283,          1.98772158,          0.00255365,          2.45543896,          1.80739646,          1.98683583,          0.00238834,          2.29700225,          1.69077455
,,,,,  497.000000,   14.899685,          1.99426094,          0.00246757,          2.36972648,          1.74430532,          1.98792568,          0.00255132,          2.45406482,          1.80638498,          1.98702671,          0.00238632,          2.29586948,          1.68994075
,,,,,  497.200000,   14.905681,          1.99445822,          0.00246686,          2.36988558,          1.74442243,          1.98812958,          0.00254902,          2.45271377,          1.80539050,          1.98721743,          0.00238432,          2.29476042,          1.68912440
,,,,,  497.400000,   14.911677,          1.99465546,          0.00246618,          2.37006457,          1.74455418,          1.98833331,          0.00254675,          2.45138580,          1.80441301,          1.98740799,          0.00238235,          2.29367505,          1.68832548
,,,,,  497.600000,   14.917673,          1.99485264,          0.00246551,          2.37026347,          1.74470059,          1.98853685,          0.00254450,          2.45008089,          1.80345250,          1.98759839,          0.00238040,          2.29261334,          1.68754398
,,,,,  497.800000,   14.923669,          1.99504976,          0.00246487,          2.37048233,          1.74486168,          1.98874022,          0.00254228,          2.44879905,          1.80250895,          1.98778864,          0.00237848,          2.29157530,          1.68677989
,,,,,  498.000000,   14.929664,          1.99524684,          0.00246425,          2.37072117,          1.74503749,          1.98894340,          0.00254008,          2.44754024,          1.80158237,          1.98797873,          0.00237659,          2.29056089,          1.68603321
,,,,,  498.200000,   14.935660,          1.99544387,          0.00246365,          2.37098004,          1.74522804,          1.98914642,          0.00253791,          2.44630446,          1.80067274,          1.98816868,          0.00237472,          2.28957012,          1.68530393
,,,,,  498.400000,   14.941656,          1.99564085,          0.00246308,          2.37125897,          1.74543335,          1.98934926,          0.00253576,          2.44509170,          1.79978006,          1.98835847,          0.00237288,          2.28860298,          1.68459203
,,,,,  498.600000,   14.947652,          1.99583778,          0.00246252,          2.37155799,          1.74565345,          1.98955193,          0.00253364,          2.44390195,          1.79890431,          1.98854812,          0.00237106,          2.28765944,          1.68389752
,,,,,  498.800000,   14.953648,          1.99603467,          0.00246199,          2.37187714,          1.74588838,          1.98975443,          0.00253154,          2.44273520,          1.79804549,          1.98873763,          0.00236927,          2.28673951,          1.68322038
,,,,,  499.000000,   14.959644,          1.99623152,          0.00246147,          2.37221647,          1.74613815,          1.98995677,          0.00252947,          2.44159145,          1.79720359,          1.98892699,          0.00236751,          2.28584318,          1.68256061
,,,,,  499.200000,   14.965640,          1.99642833,          0.00246098,          2.37257601,          1.74640279,          1.99015894,          0.00252743,          2.44047067,          1.79637861,          1.98911622,          0.00236577,          2.28497045,          1.68191820
,,,,,  499.400000,   14.971635,          1.99662510,          0.00246051,          2.37295579,          1.74668235,          1.99036095,          0.00252541,          2.43937287,          1.79557055,          1.98930530,          0.00236405,          2.28412129,          1.68129316
,,,,,  499.600000,   14.977631,          1.99682183,          0.00246006,          2.37335587,          1.74697683,          1.99056279,          0.00252341,          2.43829805,          1.79477939,          1.98949425,          0.00236236,          2.28329573,          1.68068548
,,,,,  499.800000,   14.983627,          1.99701853,          0.00245963,          2.37377628,          1.74728629,          1.99076448,          0.00252144,          2.43724619,          1.79400515,          1.98968307,          0.00236070,          2.28249374,          1.68009515
,,,,,  500.000000,   14.989623,          1.99721520,          0.00245923,          2.37421706,          1.74761074,          1.99096602,          0.00251950,          2.43621730,          1.79324780,          1.98987175,          0.00235906,          2.28171533,          1.67952218
,,,,,  500.200000,   14.995619,          1.99741183,          0.00245884,          2.37467826,          1.74795022,          1.99116739,          0.00251758,          2.43521137,          1.79250735,          1.99006031,          0.00235745,          2.28096050,          1.67896657
,,,,,  500.400000,   15.001615,          1.99760843,          0.00245848,          2.37515992,          1.74830476,          1.99136862,          0.00251568,          2.43422839,          1.79178381,          1.99024873,          0.00235587,          2.28022925,          1.67842831
,,,,,  500.600000,   15.007610,          1.99780501,          0.00245814,          2.37566209,          1.74867439,          1.99156970,          0.00251381,          2.43326838,          1.79107716,          1.99043703,          0.00235431,          2.27952157,          1.67790740
,,,,,  500.800000,   15.013606,          1.99800156,          0.00245782,          2.37618481,          1.74905916,          1.99177062,          0.00251197,          2.43233132,          1.79038741,          1.99062521,          0.00235277,          2.27883748,          1.67740386
,,,,,  501.000000,   15.019602,          1.99819808,          0.00245752,          2.37672812,          1.74945908,          1.99197140,          0.00251015,          2.43141722,          1.78971456,          1.99081327,          0.00235126,          2.27817698,          1.67691767
,,,,,  501.200000,   15.025598,          1.99839458,          0.00245724,          2.37729208,          1.74987420,          1.99217204,          0.00250835,          2.43052607,          1.78905861,          1.99100120,          0.00234978,          2.27754006,          1.67644886
,,,,,  501.400000,   15.031594,          1.99859106,          0.00245699,          2.37787673,          1.75030454,          1.99237253,          0.00250658,          2.42965789,          1.78841956,          1.99118902,          0.00234832,          2.27692675,          1.67599741
,,,,,  501.600000,   15.037590,          1.99878752,          0.00245675,          2.37848212,          1.75075016,          1.99257288,          0.00250484,          2.42881267,          1.78779741,          1.99137672,          0.00234688,          2.27633703,          1.67556333
,,,,,  501.800000,   15.043586,          1.99898396,          0.00245654,          2.37910830,          1.75121108,          1.99277310,          0.00250312,          2.42799042,          1.78719217,          1.99156431,          0.00234548,          2.27577093,          1.67514664
,,,,,  502.000000,   15.049581,          1.99918038,          0.00245635,          2.37975532,          1.75168733,          1.99297318,          0.00250142,          2.42719115,          1.78660384,          1.99175179,          0.00234409,          2.27522845,          1.67474733
,,,,,  502.200000,   15.055577,          1.99937679,          0.00245618,          2.38042323,          1.75217897,          1.99317312,          0.00249975,          2.42641485,          1.78603243,          1.99193915,          0.00234274,          2.27470960,          1.67436541
,,,,,  502.400000,   15.061573,          1.99957319,          0.00245604,          2.38111208,          1.75268602,          1.99337293,          0.00249811,          2.42566154,          1.78547793,          1.99212641,          0.00234140,          2.27421439,          1.67400090
,,,,,  502.600000,   15.067569,          1.99976958,          0.00245591,          2.38182193,          1.75320852,          1.99357261,          0.00249648,          2.42493123,          1.78494036,          1.99231357,          0.00234010,          2.27374283,          1.67365380
,,,,,  502.800000,   15.073565,          1.99996596,          0.00245581,          2.38255283,          1.75374652,          1.99377216,          0.00249489,          2.42422391,          1.78441972,          1.99250062,          0.00233881,          2.27329495,          1.67332412
,,,,,  503.000000,   15.079561,          2.00016233,          0.00245573,          2.38330483,          1.75430005,          1.99397159,          0.00249332,          2.42353961,          1.78391602,          1.99268757,          0.00233756,          2.27287074,          1.67301187
,,,,,  503.200000,   15.085556,          2.00035869,          0.00245567,          2.38407799,          1.75486916,          1.99417089,          0.00249177,          2.42287833,          1.78342927,          1.99287442,          0.00233633,          2.27247024,          1.67271706
,,,,,  503.400000,   15.091552,          2.00055505,          0.00245563,          2.38487237,          1.75545389,          1.99437006,          0.00249025,          2.42224008,          1.78295947,          1.99306117,          0.00233512,          2.27209344,          1.67243971
,,,,,  503.600000,   15.097548,          2.00075141,          0.00245562,          2.38568802,          1.75605427,          1.99456912,          0.00248875,          2.42162488,          1.78250663,          1.99324783,          0.00233394,          2.27174038,          1.67217983
,,,,,  503.800000,   15.103544,          2.00094777,          0.00245562,          2.38652500,          1.75667035,          1.99476806,          0.00248728,          2.42103274,          1.78207077,          1.99343439,          0.00233278,          2.27141107,          1.67193744
,,,,,  504.000000,   15.109540,          2.00114412,          0.00245565,          2.38738337,          1.75730218,          1.99496688,          0.00248583,          2.42046367,          1.78165189,          1.99362086,          0.00233165,          2.27110553,          1.67171254
,,,,,  504.200000,   15.115536,          2.00134049,          0.00245570,          2.38826319,          1.75794979,          1.99516559,          0.00248441,          2.41991769,          1.78125000,          1.99380725,          0.00233055,          2.27082379,          1.67150515
,,,,,  504.400000,   15.121532,          2.00153685,          0.00245578,          2.38916451,          1.75861324,          1.99536418,          0.00248301,          2.41939480,          1.78086512,          1.99399354,          0.00232947,          2.27056586,          1.67131529
,,,,,  504.600000,   15.127527,          2.00173323,          0.00245587,          2.39008741,          1.75929257,          1.99556266,          0.00248164,          2.41889504,          1.78049725,          1.99417975,          0.00232841,          2.27033176,          1.67114298
,,,,,  504.800000,   15.133523,          2.00192961,          0.00245599,          2.39103195,          1.75998782,          1.99576104,          0.00248029,          2.41841842,          1.78014642,          1.99436588,          0.00232738,          2.27012153,          1.67098823
,,,,,  505.000000,   15.139519,          2.00212600,          0.00245613,          2.39199818,          1.76069904,          1.99595930,          0.00247896,          2.41796495,          1.77981263,          1.99455192,          0.00232638,          2.26993519,          1.67085107
,,,,,  505.200000,   15.145515,          2.00232240,          0.00245629,          2.39298617,          1.76142628,          1.99615747,          0.00247767,          2.41753466,          1.77949590,          1.99473789,          0.00232540,          2.26977276,          1.67073151
,,,,,  505.400000,   15.151511,          2.00251882,          0.00245648,          2.39399599,          1.76216959,          1.99635553,          0.00247639,          2.41712756,          1.77919625,          1.99492378,          0.00232445,          2.26963428,          1.67062957
,,,,,  505.600000,   15.157507,          2.00271525,          0.00245668,          2.39502770,          1.76292901,          1.99655348,          0.00247514,          2.41674368,          1.77891368,          1.99510959,          0.00232352,          2.26951976,          1.67054528
,,,,,  505.800000,   15.163503,          2.00291170,          0.00245691,          2.39608138,          1.76370460,          1.99675134,          0.00247392,          2.41638304,          1.77864822,          1.99529533,          0.00232262,          2.26942925,          1.67047866
,,,,,  506.000000,   15.169498,          2.00310817,          0.00245716,          2.39715708,          1.76449640,          1.99694911,          0.00247271,          2.41604566,          1.77839988,          1.99548100,          0.00232174,          2.26936277,          1.67042972
,,,,,  506.200000,   15.175494,          2.00330466,          0.00245744,          2.39825488,          1.76530447,          1.99714677,          0.00247154,          2.41573157,          1.77816869,          1.99566660,          0.00232088,          2.26932036,          1.67039850
,,,,,  506.400000,   15.181490,          2.00350117,          0.00245774,          2.39937485,          1.76612885,          1.99734435,          0.00247039,          2.41544079,          1.77795465,          1.99585213,          0.00232006,          2.26930204,          1.67038502
,,,,,  506.600000,   15.187486,          2.00369771,          0.00245806,          2.40051705,          1.76696961,          1.99754183,          0.00246926,          2.41517335,          1.77775779,          1.99603760,          0.00231925,          2.26930786,          1.67038931
,,,,,  506.800000,   15.193482,          2.00389427,          0.00245840,          2.40168157,          1.76782678,          1.99773922,          0.00246816,          2.41492927,          1.77757813,          1.99622300,          0.00231848,          2.26933785,          1.67041138
,,,,,  507.000000,   15.199478,          2.00409086,          0.00245876,          2.40286847,          1.76870043,          1.99793653,          0.00246708,          2.41470858,          1.77741569,          1.99640834,          0.00231773,          2.26939204,          1.67045127
,,,,,  507.200000,   15.205473,          2.00428749,          0.00245915,          2.40407783,          1.76959062,          1.99813375,          0.00246603,          2.41451132,          1.77727048,          1.99659363,          0.00231700,          2.26947048,          1.67050901
,,,,,  507.400000,   15.211469,          2.00448414,          0.00245956,          2.40530972,          1.77049739,          1.99833089,          0.00246500,          2.41433750,          1.77714254,          1.99677885,          0.00231630,          2.26957321,          1.67058462
,,,,,  507.600000,   15.217465,          2.00468083,          0.00246000,          2.40656422,          1.77142080,          1.99852795,          0.00246400,          2.41418717,          1.77703189,          1.99696403,          0.00231562,          2.26970025,          1.67067814
,,,,,  507.800000,   15.223461,          2.00487755,          0.00246045,          2.40784141,          1.77236091,          1.99872492,          0.00246302,          2.41406035,          1.77693854,          1.99714914,          0.00231497,          2.26985167,          1.67078959
,,,,,  508.000000,   15.229457,          2.00507431,          0.00246093,          2.40914136,          1.77331778,          1.99892182,          0.00246207,          2.41395708,          1.77686252,          1.99733421,          0.00231435,          2.27002749,          1.67091901
,,,,,  508.200000,   15.235453,          2.00527110,          0.00246144,          2.41046416,          1.77429146,          1.99911865,          0.00246114,          2.41387739,          1.77680386,          1.99751923,          0.00231375,          2.27022777,          1.67106643
,,,,,  508.400000,   15.241449,          2.00546794,          0.00246196,          2.41180987,          1.77528201,          1.99931540,          0.00246023,          2.41382131,          1.77676259,          1.99770420,          0.00231317,          2.27045255,          1.67123188
,,,,,  508.600000,   15.247444,          2.00566483,          0.00246251,          2.41317860,          1.77628950,          1.99951208,          0.00245935,          2.41378888,          1.77673872,          1.99788912,          0.00231263,          2.27070187,          1.67141540
,,,,,  508.800000,   15.253440,          2.00586175,          0.00246308,          2.41457040,          1.77731398,          1.99970869,          0.00245850,          2.41378015,          1.77673229,          1.99807401,          0.00231210,          2.27097578,          1.67161703
,,,,,  509.000000,   15.259436,          2.00605872,          0.00246368,          2.41598538,          1.77835551,          1.99990523,          0.00245767,          2.41379513,          1.77674332,          1.99825885,          0.00231160,          2.27127434,          1.67183679
